Music;Artist;Text
Seeunãoteamassetantoassim;IveteSangalo;Meu coração Sem direção Voando só por voar Sem saber onde chegar Sonhando em te encontrar E as estrelas Que hoje eu descobri No seu olhar As estrelas vão me guiar  Se eu não te amasse tanto assim Talvez perdesse os sonhos Dentro de mim E vivesse na escuridão Se eu não te amasse tanto assim Talvez não visse flores Por onde eu vi Dentro do meu coração  Hoje eu sei Eu te amei No vento de um temporal Mas fui mais Muito além Do tempo do vendaval Nos desejos Num beijo Que eu jamais provei igual E as estrelas dão um sinal  Se eu não te amasse tanto assim Talvez perdesse os sonhos Dentro de mim E vivesse na escuridão Se eu não te amasse tanto assim Talvez não visse flores Por onde eu vi Dentro do meu coração...
QuemDeNósDois;AnaCarolina;Eu e você Não é assim tão complicado Não é difícil perceber  Quem de nós dois Vai dizer que é impossível O amor acontecer  Se eu disser Que já nem sinto nada Que a estrada sem você É mais segura Eu sei você vai rir da minha cara Eu já conheço o teu sorriso Leio o teu olhar Teu sorriso é só disfarce O que eu já nem preciso  Sinto dizer que amo mesmo Tá ruim pra disfarçar Entre nós dois Não cabe mais nenhum segredo Além do que já combinamos  No vão das coisas que a gente disse Não cabe mais sermos somente amigos E quando eu falo que eu já nem quero A frase fica pelo avesso Meio na contra mão E quando finjo que esqueço Eu não esqueci nada  E cada vez que eu fujo, eu me aproximo mais E te perder de vista assim é ruim demais E é por isso que atravesso o teu futuro E faço das lembranças um lugar seguro Não é que eu queira reviver nenhum passado Nem revirar um sentimento revirado Mas toda vez que eu procuro uma saída Acabo entrando sem querer na sua vida  Eu procurei qualquer desculpa pra não te encarar Pra não dizer de novo e sempre a mesma coisa Falar só por falar Que eu já não tô nem aí pra essa conversa Que a história de nós dois não me interessa Se eu tento esconder meias verdades Você conhece o meu sorriso Lê o meu olhar Meu sorriso é só disfarce O que eu já nem preciso  E cada vez que eu fujo, eu me aproximo mais E te perder de vista assim é ruim demais E é por isso que atravesso o teu futuro E faço das lembranças um lugar seguro Não é que eu queira reviver nenhum passado Nem revirar um sentimento revirado Mas toda vez que eu procuro uma saída Acabo entrando sem querer na sua vida
Tribalistas;VelhaInfância;Você é assim Um sonho pra mim E quando eu não te vejo Eu penso em você Desde o amanhecer Até quando eu me deito Eu gosto de você E gosto de ficar com você Meu riso é tão feliz contigo O meu melhor amigo é o meu amor E a gente canta E a gente dança E a gente não se cansa De ser criança A gente brinca Na nossa velha infância Eu gosto de você E gosto de ficar com você Meu riso é tão feliz contigo O meu melhor amigo é o meu amor E a gente canta E a gente dança E a gente não se cansa De ser criança A gente brinca Na nossa velha infância Seus olhos meu clarão Me guiam dentro da escuridão Seus pés me abrem o caminho Eu sigo e nunca me sinto só Você é assim Um sonho pra mim Você é assim Você é assim Um sonho pra mim Você é assim Você é assim Um sonho pra mim Você é assim Você é assim Um sonho pra mim Você é assim Você é assim Um sonho pra mim Você é assim
FuiEu;ZezéDiCamargoeLuciano;É mais um dia sem você Mais uma noite que eu espero Se alguém no mundo quis você Fui eu Te dei os sonhos que sonhei Te imaginei pra vida inteira Se alguém fez tudo por você Fui eu Diz agora o que é que eu faço pra viver Se a cada dia é mais difícil te esquecer Tudo isso faz doer demais Eu queria só voltar atrás Ficar contigo Diz agora o que é que eu faço pra aceitar Será que existe outra pessoa em meu lugar? Mas o tempo vai te convencer E um dia vai reconhecer Que sem mim não pode mais viver (yeh yeh yeah yeah) Sentimento dói por dentro E a solidão não quer parar de machucar Sentimento dói por dentro Meu coração não quer ninguém no teu lugar Te dei os sonhos que eu sonhei Te imaginei pra vida inteira Se alguém fez tudo por você Fui eu (fui eu) Diz agora o que é que eu faço pra viver Se a cada dia é mais difícil te esquecer Tudo isso faz doer demais Eu queria só voltar atrás Ficar contigo Diz agora o que é que eu faço pra aceitar Será que existe outra pessoa em meu lugar? Mas o tempo vai te convencer E um dia vai reconhecer Que sem mim não pode mais viver Sentimento dói por dentro E a solidão não quer parar de machucar Sentimento dói por dentro Meu coração não quer ninguém no seu lugar Sentimento dói por dentro (dói por dentro) E a solidão não quer parar de machucar Sentimento dói por dentro Meu coração não quer ninguém no teu lugar Sentimento (sentimento) dói por dentro (dói por dentro) E a solidão não quer parar de machucar (não quer parar de machucar) Sentimento dói por dentro Meu coração não quer ninguém no teu lugar
NossoAmoréOuro/PãodeMel;ZezéDiCamargoeLuciano;Nosso amor é ouro, joia rara de se ver É chuva de sonhos coloridos com prazer Somos o desejo e a paixão, nós somos um querer Coração na boca e um sorriso no olhar O suor na pele e a música no ar Nós dois em nosso ninho Entregues ao sabor de amar Nosso amor é sangue e coração Sonho que eu jamais quero acordar Apaixonadamente apaixonados Como o peixe e o mar Somos a semente e o chão Somos como a arca e o tesouro Nosso amor é forte, é diamante Nosso amor é ouro (agora vocês, assim ó) Coração na boca e um sorriso no olhar O suor na pele e a música no ar Nós dois em nosso ninho Entregues ao sabor de amar Nosso amor é sangue e coração Sonho que eu jamais quero acordar Apaixonadamente apaixonados Como o peixe e o mar Somos a semente e o chão Somos como a arca e o tesouro Nosso amor é forte, é diamante Nosso amor é ouro (só vocês) Nosso amor é sangue e coração Sonho que eu jamais quero acordar Apaixonadamente apaixonados Como o peixe e o mar Somos a semente e o chão Somos como a arca e o tesouro Nosso amor é forte, é diamante Nosso amor é ouro Nosso amor é forte, é diamante Nosso amor é ouro E continua as mãos pra cima E o balanço A galera lá em cima, eu quero ver E vem, e vem, hey hey hey Você é minha luz, estrada meu caminho Sem você não sei andar sozinho Sou tão dependente de você Chama que alimenta o fogo da paixão Chuva que molhou meu coração Sou tão dependente de você Vem meu céu, meu pão de mel Meu bem querer (canta São Paulo, vai) Vem meu céu, meu pão de mel Meu bem querer Ai, ai, ai, ai, ai, esse amor É bom demais Ai, ai, ai, ai, ai, esse amor Marcou demais Ai, ai, ai, ai, ai, esse amor Ficou em mim Ai, ai, ai, ai, ai, esse amor Não vai ter fim (e o balanço, cadê) Você é minha luz, estrada meu caminho Sem você não sei andar sozinho Sou tão dependente de você Chama que alimenta o fogo da paixão Chuva que molhou meu coração Sou tão dependente de você Vem meu céu, meu pão de mel Meu bem querer Vem meu céu, meu pão de mel Meu bem querer Ai, ai, ai, ai, ai, esse amor É bom demais Ai, ai, ai, ai, ai, esse amor Marcou demais Ai, ai, ai, ai, ai, esse amor Ficou em mim Ai, ai, ai, ai, ai, esse amor Não vai ter fim Ai, ai, ai, ai, ai, esse amor É bom demais Ai, ai, ai, ai, ai, esse amor Marcou demais Ai, ai, ai, ai, esse amor, esse amor Ficou em mim Ai, ai, ai, ai, esse amor, esse amor Não vai ter fim Esse amor não vai ter fim Esse amor não vai ter fim
ToquedeMágica;PedroeThiago;QUANDO A NOITE CHEGAR!  TÔ PENSANDO EM VOCÊ!  QUANDO O SOL ACORDAR   TÔ PENSANDO EM VOCÊ  SE O CORAÇÃO CHORAR  TÔ PENSANDO EM VOCÊ  SE O AMOR ME ENCONTRAR  TÔ PENSANDO EM VOCÊ  OLHA PRA MIM  TENTE ENTENDER  HAJA O QUE HOUVER  EU NÃO VOU TE ESQUECER  VOU PARAR O MUNDO PRA VOCê  TODAS AS ESTRELAS TE TRAZER  NUM TOQUE DE MAGICA, BABY  VOU RODAR O MUNDO  PRA ENCONTRAR  O SONHO MAS LINDO PRA TE DAR  NUM TOQUE DE MAGICA, BABY
Amoriloveyou;MarisaMonte;Deixa eu dizer que te amo Deixa eu pensar em você. Isso me acalma Me acolhe a alma Isso me ajuda a viver  Hoje contei pras paredes Coisas do meu coração Passeei no tempo Caminhei nas horas Mais do que passo a paixão É um espelho sem razão Quer amor fique aqui?  Deixa eu dizer que te amo Deixa eu gostar de você Isso me acalma Me acolhe a alma Isso me ajuda a viver  Hoje contei pras paredes Coisas do meu coração Passeei no tempo Caminhei nas horas Mais do que passo a paixão É um espelho sem razão Quer amor fique aqui?  Meu peito agora dispara Vivo em constante alegria É o amor que está aqui  Amor I love you Amor I love you Amor I love you Amor I love you(bis)  Tinha suspirado Tinha beijado o papel devotamente Era a primeira vez que lhe escreviam aquelas sentimentalidades E o seu orgulho dilatava-se ao calor amoroso que saia delas Como um corpo ressequido que se estira num banho tépido Sentia um acréscimo de estima por si mesma! E parecia-lhe que entrava enfim numa existência superiormente interessante... Onde cada hora tinha seu intuito diferente Cada passo conduzia um êxtase... E a alma se cobria de um luxo radioso de sensações...  Amor I love you Amor I love you Amor I love you Amor I love you(bis)
Tõnemai;Luka;De mãos atadas, de pés descalços Com você meu mundo andava de pernas pro ar Sempre armada, segui seus passos Atei seus braços pra você não me abandonar  Já nem lembro seu nome Seu telefone eu fiz questão de apagar Aceitei os meus erros, me reinventei e virei a página Agora eu tô em outra  Tô nem aí, tô nem aí Pode ficar com seu mundinho Eu não tô nem aí Tô nem aí, tô nem aí Não vem falar dos seus problemas Que eu não vou ouvir  Boca fechada, sem embaraços Eu te dei todas as chances de ser um bom rapaz Mas fui vencida pelo cansaço Nosso amor foi enterrado e descansa em paz  Já nem lembro seu nome Seu telefone eu fiz questão de apagar Aceitei os meus erros, me reinventei e virei a página Agora eu tô em outra  Tô nem aí, tô nem aí Pode ficar com seu mundinho Eu não tô nem aí Tô nem aí, tô nem aí Não vem falar dos seus problemas Que eu não vou ouvir  Tô nem aí, tô nem aí Pode ficar com seu mundinho Eu não to nem aí  Tô nem aí, tô nem aí Não vem falar dos seus problemas Que eu não vou ouvir
VouDeixar;Skank;Vou deixar  A vida me levar Pra onde ela quiser Estou no meu lugar Você já sabe onde é é é Não conte o tempo por nós dois Pois, a qualquer hora posso estar de volta Depois que a noite terminar  Vou deixar  A vida me levar Pra onde ela quiser Seguir a direção De uma estrela qualquer Não quero hora pra voltar, não Conheço bem a solidão, me solta E deixa a sorte me buscar  Eu já estou na sua estrada Sozinho não enxergo nada Mas vou ficar aqui Até que o dia amanheça a Vou me esquecer de mim E você, se puder, não me esqueça!  Vou deixar  O coração bater Na madrugada sem fim Deixar o sol te ver Ajoelhada por mim, sim Não tenho hora pra voltar, não Eu agradeço tanto a sua escolta Mas deixa a noite terminar  Eu já estou na sua estrada Sozinho não enxergo nada Mas vou ficar aqui Até que o dia amanheça a Vou me esquecer de mim E você, se puder, não me esqueça!  Não, não, não quero hora pra voltar, não Conheço bem a solidão, me solta E deixa a sorte me buscar Não, não, não tenho hora pra voltar, não Eu agradeço tanto a sua escolta Mas deixa a noite terminar!
OSol;JotaQuest;Ei dor...eu não te escuto mais, Você, não me leva a nada. Ei medo...eu não te escuto mais, Você, não me leva a nada. E se quiser saber pra onde eu vou, Pra onde tenha sol, é pra lá que eu vou E se quiser saber pra onde eu vou, Pra onde tenha sol, é pra lá que eu vou  Ei dor...eu não te escuto mais Você não me leva a nada Ei medo...eu não te escuto mais Você não me leva a nada E se quiser saber pra onde eu vou Pra onde tenha sol, é pra lá que eu vou É pra lá que eu vou E se quiser saber pra onde eu vou Pra onde tenha sol, é pra lá que eu vou É pra lá que eu vou  Yeah Caminho do sol baby naranara laralara Caminho do sol baby  E se quiser saber pra onde eu vou Pra onde tenha sol, é pra lá que eu vou E se quiser saber pra onde eu vou Pra onde tenha sol, é pra lá que eu vou É pra lá que eu vou E se quiser saber pra onde eu vou Pra onde tenha sol, é pra lá que eu vou É pra lá que eu vou E se quiser saber pra onde eu vou Pra onde tenha sol, é pra lá que eu vou É pra lá que eu vou E se quiser saber pra onde eu vou Pra onde tenha sol, é pra lá que eu vou É pra lá que eu vou naranara laralara É pra lá que eu vou Lalaralara Onde tenha sol, é pra lá que eu vou
