Music;Artist;Text;
HumildeResidência;MichelTeló;Vou te esperar aqui, Mas vê se atende o telefone mesmo se for a cobrar. Hoje eu não vou sair, Porque meu carro tá quebrado eu não tô podendo gastar. Quando chegar aqui, Me dê um grito lá na frente, eu vou correndo te buscar. Não tem ninguém aqui. Mas vou deixar a luz acesa.  Já te passei meu celular e o endereço. Aquele dia que te vi saí de casa. Eu tô ligado que você sempre me deu uma moral Até dizia que me amava. Agora tá mudada se formou na faculdade. No meu cursinho eu não cheguei nem na metade. Você tá muito diferente eu vou atrás, você na frente Tô louco pra te pegar.  Vou te esperar. Na minha humilde residência, Pra gente fazer amor. Mas eu te peço. Só um pouquinho de paciência, A cama ta quebrada e não tem cobertor.;
VidroFumê;BrunoeMarrone;Foi num telefonema anonimo Uma voz disfarçada Me falou que eu estava sendo traído Eu nem quis acreditar Pensei que era só um trote Mas no fundo do meu peito Já desconfiava dessa minha sorte  No calor de um momento Na loucura do meu pensamento Eu fui atrás Em busca da verdade de um segredo Senti o amor estremecer Na hora que eu te vi entrando Num carro importado de vidro fumê  Quando você chegou em casa Eu te tratei naturalmente E quando fiz amor contigo A noite inteira lentamente  Foi a canção da despedida Foi de verdade, diferente Foi a última noite de amor da gente;
AcordandooPrédio;LuanSantana;Aonde foi parar o seu juízo? Já são 4 da manhã Daqui a pouco liga o síndico Será que tem como a moça gritar baixinho? Sei que tá bom mas as paredes tem ouvido  E era pra ser escondido Já que não é mais  Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo  Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo De novo, de novo  Deixa o mundo saber baby como você é E os problemas a gente resolve depois, né? Porque quando você desce A lua também desce pra ver Já me ganhou, agora é só me levar pra você  Aonde foi parar o seu juízo? Já são 4 da manhã Daqui a pouco liga o síndico Será que tem como a moça gritar baixinho? Sei que tá bom mas as paredes tem ouvido  E era pra ser escondido Já que não é mais  Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo  Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo De novo, de novo  Deixa o mundo saber baby como você é E os problemas a gente resolve depois, né? Porque quando você desce A lua também desce pra ver Já me ganhou, agora é só me levar pra você;
SeuPolícia;ZéNetoeCristiano;Seu polícia É que eu separei recentemente De paixão eu tô doente Será que o senhor me entende  Os vizinhos tão reclamando Do volume do meu som Mas enquanto ela não voltar Eu vou continuar  Me afogando no álcool O som do carro no talo Manda a multa que eu vou pagar Mas enquanto ela não voltar  Sofrimento é mato Coração em pedaços Compreenda por favor O meu amor me deixou   Seu polícia É que eu separei recentemente De paixão eu tô doente Será que o senhor me entende  Os vizinhos tão reclamando Do volume do meu som Mas enquanto ela não voltar Eu vou continuar  Me afogando no álcool O som do carro no talo Manda a multa que eu vou pagar Mas enquanto ela não voltar  Sofrimento é mato Coração em pedaços Compreenda por favor O meu amor me deixou  Me afogando no álcool O som do carro no talo Manda a multa que eu vou pagar Mas enquanto ela não voltar  Sofrimento é mato Coração em pedaços Compreenda por favor O meu amor me deixou;
Escreveaí;LuanSantana;"Te falo tanta coisa Enquanto tento segurar a lágrima Que insiste em cair  Entro no meu carro Abro o vidro E antes de ir embora eu te digo ""Olha aqui, ainda vou te esquecer... escreve aí""  Chego em casa E dou de cara com sua foto Uma ducha e um vinho pra acalmar E eu penso ""vou partir pra outra logo"" Mas quem é que eu tô tentando enganar? Mas quem é que eu tô tentando enganar?  É só você fazer assim Que eu volto É só você fazer assim Que eu volto Que eu volto  É que eu te amo E falo na sua cara Se tirar você de mim Não sobra nada O teu sorriso me desmonta inteiro Até num simples estalar de dedos Talvez você tenha deixado eu ir Pra ter o gosto de me ver aqui Fraco demais para continuar Juntando forças pra poder falar  Que eu volto é só Você sorrir Que eu volto é só Fazer assim  Que eu volto Que eu volto Que eu volto  Chego em casa E dou de cara com sua foto Uma ducha e um vinho pra acalmar E eu penso ""vou partir pra outra logo"" Mas quem é que eu tô tentando enganar? Mas quem é que eu tô tentando enganar?  É só você fazer assim Que eu volto É só você fazer assim Que eu volto Que eu volto  É que eu te amo E falo na sua cara Se tirar você de mim Não sobra nada O teu sorriso me desmonta inteiro Até num simples estalar de dedos Talvez você tenha deixado eu ir Pra ter o gosto de me ver aqui Fraco demais para continuar Juntando forças pra poder falar  Que eu volto é só Você sorrir Que eu volto é só Fazer assim Que eu volto é só Fazer assim  Que eu volto Que eu volto Que eu volto";
ApelidoCarinhoso;GusttavoLima;Amor, não é segredo entre a gente Que o meu término é recente E você está arrumando o que ela revirou  E esse sentimento pendente Que insiste em bagunçar a minha mente Vai passar um dia, mas ainda não passou  Eu sei que você poderia ter escolhido  Alguém menos complicado Que não tivesse no presente uma pessoa do passado Aceitar essa situação é uma prova de amor Mas eu preciso que você me faça só mais um favor  Ainda não me chame de meu nego Ainda não me chame de bebê Porque era assim que ela me chamava E o apelido carinhoso  É o mais difícil de esquecer;
CemMil;GusttavoLima;Não fale mais o meu nome Não me telefone Por favor, não pergunte por mim  Vê se me esquece e some Se eu te ver de longe Viro a cara, finjo que não vi  Mas eu não vou mentir Tá doendo lá no fundo Sem você, eu não consigo mais dormir  Vamos fazer assim Melhor não me procurar Porque eu morro de medo de te perdoar  Eu tô falando mal de você, iê Que você nunca soube fazer, iê Cem mil, com quem quiser, eu aposto Se ela bater o dedo, eu volto  Ela não vale um real Mas eu adoro;
Pravocê;PaulaFernandes;Eu quero ser pra você A alegria de uma chegada Clarão trazendo o dia Iluminando a sacada  Eu quero ser pra você A confiança o que te faz Te faz sonhar todo dia Sabendo que pode mais  Eu quero ser ao teu lado Encontro inesperado O arrepio de um beijo bom Eu quero ser sua paz a melodia capaz De fazer você dançar  Eu quero ser pra você A lua iluminando o sol Quero acordar todo dia Pra te fazer todo o meu amor  Eu quero ser pra você Braços abertos a te envolver E a cada novo sorriso teu Serei feliz por amar você  Se eu vivo pra você Se eu canto pra você Pra você;
CêTopa;LuanSantana;"Já pensou, se a gente for Um pouco mais ousado nesse nosso lance? Já pensou transformar Nossa amizade num lindo romance?  Presta atenção em tudo que a gente faz Já somos mais felizes que muitos casais Desapega do medo e deixa acontecer Eu tenho uma proposta para te fazer (escuta aqui)  Eu, você, dois filhos e um cachorro Um edredom, um filme bom no frio de agosto E, ai, cê topa?  Eu, você, dois filhos e um cachorro Um edredom, um filme bom no frio de agosto Diz aí ""cê topa?  Presta atenção em tudo que a gente faz Já somos mais felizes que muitos casais Desapega do medo e deixa acontecer Eu tenho uma proposta para te fazer   Eu, você, dois filhos e um cachorro Um edredom, um filme bom no frio de agosto E, ai, cê topa?  Eu, você, dois filhos e um cachorro Um edredom, um filme bom no frio de agosto Diz aí ""cê topa? """;
Assimvocêmataopapai;SorrisoMaroto;Ai ai ai ai ai ai, ai ai ai ai ai ai ai...  Essa mina tá me olhando Acho que tá dando mole Ela tá me provocando já faz tempo Isso não vai prestar, não vai  Ela é maravilhosa Tem um sorriso maroto O que será que ela tá querendo ? Vou chamar pra dançar, Vem cá mulher, vem cá Dançar, comigo agarradinho vem cá  Que você vai gostar, ah vai Isso, assim, vem pra mim Que delícia tá gostoso demais, Isso não vai prestar, Beija a minha boca  Ai, ai, ai, ai, ai, ai assim você mata o papai Ai, ai, ai, ai que boca gostosa eu quero mais Ai, ai, ai, ai, ai, ai assim você mata o papai Ai, ai, ai, ai você tá cheirosa demais  Essa mina tá me olhando Acho que tá dando mole Ela tá me provocando já faz tempo Isso não vai prestar, não vai  Ela é maravilhosa Tem um sorriso maroto O que será que ela tá querendo ? Vou chamar pra dançar, Vem cá mulher, vem cá Dançar, comigo agarradinho vem cá  Que você vai gostar, ah vai Isso, assim, vem pra mim Que delícia tá gostoso demais, Isso não vai prestar, Beija a minha boca  Ai, ai, ai, ai, ai, ai assim você mata o papai Ai, ai, ai, ai que boca gostosa eu quero mais Ai, ai, ai, ai, ai, ai assim você mata o papai Ai, ai, ai, ai você tá cheirosa demais;
