Music;Artist;Text;Language;Url;Search Status
BanhoDeLua;CellyCampello;Fui à praia me bronzear, me queimei, escureci Mamãe bronqueou, nada de sol Hoje só quero a luz do luar  (Refrão) Tomo um banho de lua, fico branca como a neve Se o luar é o meu amigo, censurar ninguém se atreve  É tão bom sonhar contigo, oh! Luar tão cândido!  Sob um banho de lua numa noite de esplendor Sinto a força da magia, da magia do amor!  É tão bom sonhar contigo, oh! Luar tão cândido!  Tim, tim, tim, raio de lua, tim, tim, tim, Baixando vem ao mundo Oh! lua, oh! Cândida lua vem  (refrão)  Tim, tim, tim, raio de lua, tim, tim, tim, Baixando vem ao mundo Oh! lua, oh! Cândida lua vem  Sob um banho de lua numa noite de esplendor Sinto a força da magia, da magia do amor! Mas é tão bom sonhar contigo, oh! Luar tão cândido!;PT-BR;https://api.vagalume.com.br/search.php?art= Celly Campello &mus=Banho-De-Lua&apikey=dc668952146a4a25b6d06586e7b69708;aprox
AsCurvasdaEstradadeSantos;RobertoCarlos;A música de autoria do compositor Roberto Carlos foi removida por solicitação dos titulares da obra.  Nossa equipe está em contato com os detentores deste conteúdo para liberar a publicação.  Publicação desabilitada a pedido do artista;PT-BR;https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=As-Curvas-da-Estrada-de-Santos&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Otrovadordetoledo;GildaLopes;Nas noites enluaradas Na formosa Toledo Alguém esconde segredo Um amor proibido E uma janela apagada É o que restou, mais nada! Dentre as lembranças que a noite Consigo guardou um dia E nas trovas de amor Que então vai dizendo Fala de um coração cheio de ternura Que esquecer procura Um amor negado E cala em segredo, infinda amargura E o trovador de Toledo Pelas noites escuta E toda gente pergunta Qual será o segredo De uma janela apagada De um balcão deserto De uma paixão sufocada Por quem está longe e perto Mas no seu coração cheio de amargura Guarda o trovador, uma esperança Sem saber o carinho que então procura Já é de outro e que a espera É inútil, inútil;PT-BR;https://api.vagalume.com.br/search.php?art= Gilda Lopes &mus=O-trovador-de-toledo&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Tremdasonze;Demôniosdagaroa;Quais, quais, quais, quais, quais, quais, Quaiscalingudum Quaiscalingudum Quaiscalingudum   Não posso ficar Nem mais um minuto com você Sinto muito amor Mas não pode ser. Moro em Jaçanã, Se eu perder esse trem,  Que sai agora às onze horas, Só amanhã de manhã.   Não posso ficar, Nem mais um minuto com você, Sinto muito amor, Mas não pode ser. Moro em Jaçanã, Se eu perder esse trem,  Que sai agora às onze horas, Só amanhã de manhã.  E além disso mulher, Tem outra coisa, Minha mãe não dorme Enquanto eu não chegar. Sou filho único, Tenho minha casa pra olhar.   Eu não posso ficar. Não posso ficar, Nem mais um minuto com você, Sinto muito amor Mas não pode ser. Moro em Jaçanã, Se eu perder esse trem,  Que sai agora às onze horas, Só amanhã de manhã.  E além disso mulher, Tem outra coisa, Minha mãe não dorme, Enquanto eu não chegar. Sou filho único, Tenho minha casa pra olhar. Quais, quais, quais, quais, quais, quais, Quaiscalingudum Quaiscalingudum Quaiscalingudum  Quais, quais, quais, quais, quais, quais, Quaiscalingudum Quaiscalingudum Quaiscalingudum;PT-BR;https://api.vagalume.com.br/search.php?art= Demonios da garoa &mus=Trem-das-onze&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Queroquevátudoproinferno;RobertoCarlos;De que vale o céu azul e o sol sempre a brilhar, Se você não vem e eu estou a lhe esperar. Só tenho você, no meu pensamento, E a sua ausência, é todo meu tormento. Quero que você, me aqueça neste inverno, E que tudo mais vá pro inferno.  De que vale a minha boa vida de play-boy, Se entro no meu carro e a solidão me dói. Onde quer que eu ande, tudo é tão triste, Não me interessa, o que de mais existe. Quero que você, me aqueça neste inverno, E que tudo mais vá pro inferno.  Não suporto mais, você longe de mim, Quero até morrer, do que viver assim. Só quero que você me aqueça neste inverno, E que tudo mais vá pro inferno.   INSTRUMENTAL   Não suporto mais, você longe de mim, Quero até morrer, do que viver assim. Só quero que você, me aqueça neste inverno, E que tudo mais vá pro inferno.   E que tudo mais vá pro inferno. UOOOOOO E que tudo mais vá pro inferno. UOOOOOO;PT-BR;https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=Quero-que-va-tudo-pro-inferno&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Prelúdioparaninargentegrande;LuizVieira;Quando estou nos braços teus Sinto o mundo bocejar Quando estou nos braços teus Sinto a vida descansar  No calor do teu carinho Sou menino passarinho... Com vontade de voar... Sou menino passarinho Com vontade de voar.  Repete tudo.;PT-BR;https://api.vagalume.com.br/search.php?art= Luiz Vieira &mus=Preludio-para-ninar-gente-grande&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Sonharcontigo;AdilsonRamos;Sonhar contigo, por toda vida Sonhar contigo, meu amor, minha querida Viver pensando em ti somente Viver te amando ser só teu eternamente  Este é o meu maior desejo Tomar tuas mãos, calar tua voz Num longo beijo E ter-te sempre, bem junto a mim Viver te amando, ser só teu até o fim;PT-BR;https://api.vagalume.com.br/search.php?art= Adilson Ramos &mus=Sonhar-contigo&apikey=dc668952146a4a25b6d06586e7b69708;aprox
OCalhambeque;RobertoCarlos;"Mandei meu cadillac pro mecânico outro dia Pois há muito tempo um conserto ele pedia Como vou viver sem meu carango pra correr Meu cadillac, bip, bip, quero consertar o cadillac  Com muita paciência o rapaz me ofereceu Um carro todo velho que por lá apareceu Enquanto o cadillac consertava eu usava O calhambeque, bip, bip,  quero buzinar o calhambeque  Saí da oficina um pouquinho desolado Confesso que estava até um pouco envergonhado Olhando para o lado com a cara de malvado O calhambeque, bip, bip, buzinei assim o calhambeque  E logo uma garota fez sinal para  parar E no meu calhambeque fez questão de passear Não sei o que pensei, mas eu não acreditei Que o calhambeque, bip, bip, o broto quis andar no calhambeque  E muitos outros brotos que encontrei pelo caminho Falavam ""que estouro, que beleza de carrinho"" E fui me acostumando e do carango fui gostando O calhambeque, bip, bip, quero conservar o calhambeque  Mas o cadillac finalmente ficou pronto Lavado, consertado, bem pintado, um encanto Mas o meu coração na hora exata de trocar O calhambeque, bip, bip Meu coração ficou com o calhambeque";PT-BR;https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=O-Calhambeque&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Coraçãodepapel;SérgioReis;Se você pensa que meu coração é de papel não vá pensando pois não é ele é igualzinho ao seu e sofre como eu  porque fazer chorar assim a quem lhe ama  Se você pensa em fazer chorar a quem lhe quer a quem só pensa em você um dia sentirá que amar é bom demais  não jogue o amor ao léu meu coração que não é de papel  Porque fazer chorar                             Porque fazer sofrer um coração que só lhe quer  O amor é lindo eu sei                                            e todo eu lhe dei você não quis jogou ao léu meu coração que não é de papel [BIS]  não é ah ah meu coração que não é de papel;PT-BR;https://api.vagalume.com.br/search.php?art= Sergio Reis &mus=Coracao-de-papel&apikey=dc668952146a4a25b6d06586e7b69708;aprox
ANoitedomeubem;DoloresDuran;Hoje eu quero a rosa mais linda que houver E a primeira estrela que vier Para enfeitar a noite do meu bem Hoje eu quero paz de criança dormindo E abandono de flores se abrindo Para enfeitar a noite do meu bem Quero a alegria de um barco voltando Quero ternura de mãos se encontrando Para enfeitar a noite do meu bem Ah! eu quero o amor, o amor mais profundo E quero toda beleza do mundo Para enfeitar a noite do meu bem Ah! como este bem demorou a chegar Eu já nem sei se terei no olhar Toda pureza que eu quero lhe dar.;PT-BR;https://api.vagalume.com.br/search.php?art= Dolores Duran &mus=A-Noite-do-meu-bem&apikey=dc668952146a4a25b6d06586e7b69708;aprox
