Music;Artist;Text;Language;Url;Search Status;
MeninaVeneno;Ritchie;Meia-noite no meu quarto, ela vai subir Ouço passos na escada, vejo a porta abrir Um abajur cor de carne*, um lençol azul Cortinas de seda, o seu corpo nu  Menina veneno o mundo é pequeno demais para nós dois Em toda cama que eu durmo Só dá você  Seus olhos verdes no espelho Brilham para mim Seu corpo inteiro é um prazer Do princípio ao sim  Sozinho no meu quarto Eu acordo sem você Fico falando pras paredes Até anoitecer  Menina veneno Você tem um jeito sereno de ser Em toda noite no meu quarto Vem me entorpecer Me entorpecer  Menina veneno O mundo é pequeno demais Pra nós dois Em toda cama que eu durmo Só dá você  Meia-noite no meu quarto Ela vai surgir Eu ouço passos na escada Eu vejo a porta abrir  Você vem não sei de onde Eu sei, vem me amar Eu nem sei qual seu nome Mas nem preciso chamar  Menina veneno Você tem um jeito sereno de ser Em toda noite no meu quarto Vem me entorpecer Me entorpecer  Menina veneno   *Segundo o site oficial do cantor;PT-BR;https://api.vagalume.com.br/search.php?art= Ritchie &mus=Menina-Veneno&apikey=dc668952146a4a25b6d06586e7b69708;exact
Balancê;GalCosta;Ô balancê balancê Quero dançar com você Entra na roda morena pra ver Ô balancê balancê       Quando por mim você passa Fingindo que não me vê Meu coração quase se despedaça No balancê balancê  Refrão  Você foi minha cartilha Você foi meu abc E por isso eu sou a maior maravilha No balancê balancê  Refrão  Eu levo a vida pensando Pensando só em você E o tempo passa e eu vou me acabando No balancê balancê;PT-BR;https://api.vagalume.com.br/search.php?art= Gal Costa &mus=Balance&apikey=dc668952146a4a25b6d06586e7b69708;exact
SoniferaIlha;Titãs;Não posso mais viver assim ao seu ladinho Por isso colo meu ouvido no radinho de pilha  Pra te sintonizar sozinha, numa ilha.   Sonífera ilha  Descansa meus olhos  Sossega minha boca  Me enche de luz   Sonífera ilha  Descansa meus olhos  Sossega minha boca  Me enche de luz  Eu quero mais viver  assim ao seu ladinho Por isso colo meu ouvido no radinho de pilha Pra te sintonizar...sozinha numa ilha  (Refrão)  Sonífera ilha descansa meus olhos  Sossega minha boca,me enche luz. Sonífera ilha ohho descansa meus olhos Sossega minha boca me enche luz. Sonífera ilha descansa meus olhos. Sossega minha boca, me enche de luz...;PT-BR;https://api.vagalume.com.br/search.php?art= Titas &mus=Sonifera-Ilha&apikey=dc668952146a4a25b6d06586e7b69708;exact
FazPartedoMeuShow;Cazuza;Te pego na escola E encho a tua bola Com todo o meu amor Te levo pra festa E testo o teu sexo Com ar de professor  Faço promessas malucas Tão curtas quanto um sonho bom Se eu te escondo a verdade, baby É pra te proteger da solidão  Faz parte do meu show Faz parte do meu show, meu amor  Confundo as tuas coxas Com as de outras moças Te mostro toda a dor Te faço um filho Te dou outra vida Pra te mostrar quem sou  Vago na lua deserta Das pedras do Arpoador Digo "alô" ao inimigo Encontro um abrigo No peito do meu traidor  Faz parte do meu show Faz parte do meu show, meu amor  Invento desculpas Provoco uma briga Digo que não estou Vivo num clip sem nexo Um pierrô-retrocesso Meio bossa nova e rock 'n' roll  Faz parte do meu show Faz parte do meu show, meu amor   © Warner Chappell 63586240;PT-BR;https://api.vagalume.com.br/search.php?art= Cazuza &mus=Faz-Parte-do-Meu-Show&apikey=dc668952146a4a25b6d06586e7b69708;exact
BemQueSeQuis;MarisaMonte;Bem que se quis depois de tudo ainda ser feliz mas já não há caminhos pra voltar. E o que é que a vida fez da nossa vida? O que é que a gente não faz por amor?  Mas tanto faz, já me esqueci de te esquecer porque o teu desejo é o meu melhor prazer e o meu destino é querer sempre mais, a minha estrada corre pro seu mar  Agora vem pra perto vem vem depressa vem sem fim, dentro de mim que eu quero sentir o teu corpo pesando sobre o meu, vem meu amor vem pra mim, me abraça devagar, me beija e me faz esquecer   Bem que se quis depois de tudo ainda ser feliz mas já não há caminhos pra voltar. E o que é que a vida fez da nossa vida? O que é que a gente não faz por amor?  Mas tanto faz, já me esqueci de te esquecer porque o teu desejo é o meu melhor prazer e o meu destino é querer sempre mais, a minha estrada corre pro seu mar  Agora vem pra perto vem vem depressa vem sem fim, dentro de mim que eu quero sentir o teu corpo pesando sobre o meu, vem meu amor vem pra mim, me abraça devagar, me beija e me faz esquecer...  Bem que se quis....;PT-BR;https://api.vagalume.com.br/search.php?art= Marisa Monte &mus=Bem-Que-Se-Quis&apikey=dc668952146a4a25b6d06586e7b69708;aprox
muitoestranho;Dalto;Hum! Mas se um dia eu chegar Muito estranho Deixa essa água no corpo Lembrar nosso banho Hum! Mas se um dia eu chegar Muito louco Deixa essa noite saber que um dia Foi pouco  Cuida bem de mim Então misture tudo dentro de nós Porque ninguém vai dormir nosso sonho  Hum! Minha cara, pra que tantos planos? Se quero te amar e te amar E te amar muitos anos Hum ! Tantas vezes eu quis Ficar solto Como se fosse uma lua A brincar no teu rosto  Cuida bem de mim Então misture tudo dentro de nós Porque ninguém vai dormir nosso sonho;PT-BR;https://api.vagalume.com.br/search.php?art= Dalto &mus=muito-estranho&apikey=dc668952146a4a25b6d06586e7b69708;exact
BailaComigo;RitaLee;Se Deus quiser,    um dia eu quero ser índio Viver pelado, pintado de verde     num eterno domingo      Ser um bicho preguiça e espantar turista  E tomar banho de sol, banho de sol, banho de sol, sol  Se Deus quiser um dia acabo voando Tão banal, assim como um pardal, meio de contrabando Desviar de estilingue, deixar que me xinguem E tomar banho de sol, banho de sol, banho de sol, banho de sol Baila     comigo,     como se baila na tribo Baila     comigo,     lá no meu esconderijo  Se Deus quiser um dia eu viro semente E quando a chuva molhar o jardim, ah, eu fico contente E na primavera vou brotar na terra E tomar banho de sol, banho de sol, banho de sol, sol  Se Deus quiser um dia eu morro bem velha Na hora "H" quando a bomba estourar quero ver da janela E entrar no pacote de camarote;PT-BR;https://api.vagalume.com.br/search.php?art= Rita Lee &mus=Baila-Comigo&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Comoeuquero;KidAbelha;Diz pra eu ficar muda faz cara de mistério Tira essa bermuda que eu quero você sério Tramas do sucesso mundo particular Solos de guitarra não vão me conquistar  Refrão: Uuuuu! Eu quero você como eu quero (Bis)  O que você precisa é de um retoque total Vou transformar o seu rascunho em arte final Agora não tem jeito "cê" tá numa cilada É cada um por si você por mim e mais nada  Refrão: Uuuuu! Eu quero você como eu quero (Bis)   Longe do meu domínio "cê" vai de mal a pior  Vem que eu te ensino como ser bem melhor (Bis)  Refrão: Uuuuu! Eu quero você como eu quero (Bis);PT-BR;https://api.vagalume.com.br/search.php?art= Kid Abelha &mus=Como-eu-quero&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Dona;RoupaNova;Dona desses traiçoeiros Sonhos sempre verdadeiros Oh Dona desses animais Dona dos seus ideais  Pelas ruas onde andas Onde mandas todos nós Somos sempre mensageiros Esperando tua voz Teus desejos, uma ordem Nada é nunca, nunca é não Por que tens essa certeza Dentro do teu coração  Tã, tã, tã, batem na porta Não precisa ver quem é Pra sentir a impaciência Do teu pulso de mulher Um olhar me atira à cama Um beijo me faz amar Não levanto, não me escondo Porque sei que és minha dona  Dona desses traiçoeiros Sonhos sempre verdadeiros Oh Dona desses animais Dona dos seus ideais  Não há pedra em teu caminho Não há ondas no teu mar Não há vento ou tempestade Que te impeçam de voar Entre a cobra e o passarinho Entre a pomba e o gavião Ou teu ódio ou teu carinho Nos carregam pela mão  É a moça da cantiga A mulher da criação Umas vezes nossa amiga Outras nossa perdição O poder que nos levanta A força que nos faz cair Qual de nós ainda não sabe Que isso tudo te faz dona Dona;PT-BR;https://api.vagalume.com.br/search.php?art= Roupa Nova &mus=Dona&apikey=dc668952146a4a25b6d06586e7b69708;exact
Quepaíséesse?;LegiãoUrbana;Zé Chinelão onde você estiver, eu te amo...'' Existirmos a que será que se destina Pois quando tu me deste a rosa pequenina Vi que és um homem lindo e que se acaso a sina De um menino infeliz não se nos ilumina Tão pouco turva-se a lágrima nordestina E apenas a matéria viva era tão fina E éramos olharmo-nos intacta retina Da cajuína cristalina em Teresina.  Que país é esse?(4x)  Nas favelas, no senado Sujeira pra todo lado Ninguém respeita a Constituição Mas todos acreditam no futuro da nação.  Que país é esse?(3x)..uau  Passarinho quer cantar quer cantar tbitibitibiti porque acabar de nascer... Tchu tchu tchu tchu! Tchu tchu tchu tchu!  Vamos mostrar agora os vídeos assassinatos do Chinelão Um assassinato mas brutal, criancinha levando prego no olho É a vídeo chinelada do Chinelão... É, vamo pegar aquela ali, ó, vamo pegar aquela ali ó, Vem cá que eu vou te maltratar,vem, vem, ai cuidado ai senão vai cair na porrada hein!!  Passarinho quer cantar O rabinho balançar Porque acaba de nascer, ÔÔÔÔ.  O Rio de Janeiro continua lindo O Rio de Janeiro continua sendo O Rio de Janeiro, fevereiro e março Alô, alô, Realengo - aquele abraço!, aquele abraço!, aquele abraço!  No Amazonas, no Araguaia iá, iá, iá, Na Baixada Fluminense Mato Grosso, nas Gerais E no Nordeste tudo em paz Na morte qu'eu descanso Mas o sangue anda solto Manchando os papéis, documentos fiéis Ao descanso do patrão.  Que país é esse?(4x)  Né? Vocês vão fazer alguma coisa pra consertar as suas próprias vidas? Eu cheguei a seguinte conclusão, não adianta consertar o resto, Consertar a gente, ajuda pra caramba.  Terceiro mundo, se for Piada no exterior Mas o Brasil vai ficar rico Vamos faturar um milhão...  Parô agora todo mundo vai pensar como o nosso país vai ficar rico, e como vamos faturar um milhão sem precisar matar ninguém!  Essa agora se chama metal contras as nuves!  Não sou escravo de ninguém Ninguém é senhor do meu domínio Sei o que devo defender E por valor eu tenho E temo o que agora se desfaz  Viajamos sete léguas Por entre abismos e florestas Por Deus nunca me vi tão só É a própria fé o que destrói Estes são dias desleais  Eu sou metal Raio, relâmpago e trovão Eu sou metal Eu sou o ouro em seu brasão Eu sou metal Sabe-me o sopro do dragão  Reconheço meu pesar Quando tudo é traição O que venho encontrar É a virtude em outras mãos.  Minha terra é a terra que é minha E sempre será Minha terra Tem a lua, tem estrelas E sempre terá  Quase acreditei na tua promessa E o que vejo é fome e destruição Perdi a minha sela e a minha espada Perdi o meu castelo e minha princesa  Quase acreditei, quase acreditei E, por honra, se existir verdade Existem os tolos e existe o ladrão E há quem se alimente do que é roubo. Mas vou guardar o meu tesouro Caso você esteja mentindo.  Olha o sopro do dragão (4x)  É a verdade o que assombra O descaso que condena A estupidez o que destrói Eu vejo tudo que se foi E o que não existe mais  Tenho os sentidos já dormentes O corpo quer, a alma entende Esta é a terra-de-ninguém Sei que devo resistir Eu quero a espada em minhas mãos  Eu sou metal - raio, relâmpago e trovão Eu sou metal: eu sou o ouro em seu brasão Eu sou metal: me sabe o sopro do dragão  Não me entrego sem lutar Tenho ainda coração Não aprendi a me render Que caia o inimigo então  Tudo passa Tudo passará (3x)  E nossa história Não estará Pelo avesso assim Sem final feliz Teremos coisas bonitas pra contar E até lá Vamos viver Temos muito ainda por fazer Não olhe pra trás Apenas começamos O mundo começa agora, ahh! Apenas começamos.;PT-BR;https://api.vagalume.com.br/search.php?art= Legiao Urbana &mus=Que-pais-e-esse?&apikey=dc668952146a4a25b6d06586e7b69708;aprox
DeusTeProtejaDeMim;Wando;Deus te proteja pela onda de alegria que me invade todo dia quando encontro com você Deus te proteja pelo beijo de pecado, tão gostoso e tão levado tão molhado de prazer E toda vez que você cruza meu caminho eu me esqueço que sozinho eu nasci e vou morrer No teu olhar eu vejo um mundo tão bonito tenho fé e acredito e deixo o amor acontecer Vem me seduzir, me confundir me agradar, você é louca eu sou mais louco que você Vem brincar com fogo me queimar e se queimar, queimando juntos a gente pode se acender Eu não vou deixar de amar por medo de sofrer se você quer me dar eu quero receber Vinho proibido de uma safra especial que me embriaga, me alucina e não faz mal  Deus te proteja pela falta de respeito do meu corpo no teu leito quando a gente faz amor Deus te proteja por meu jeito atrevido que provoca teu gemido mas de gosto que de dor O teu vestido esconde a parte mais formosa, benzo a Deus fêmea gostosa que o amor guardou pra mim Repete e fala essas loucuras sem sentido bem baixinho em meu ouvido me dá mais que eu quero sim Vem me seduzir, me confundir me agradar, você é louca eu sou mais louco que você, vem brincar com fogo, me queimar e se queimar, Queimando juntos a gente pode se acender. Eu não vou deixar de amar por medo de sofrer, Se você quer me dar eu quero receber Vinho proibido de uma safra especial que me embriaga, me alucina e não faz mal;PT-BR;https://api.vagalume.com.br/search.php?art= Wando &mus=Deus-Te-Proteja-De-Mim&apikey=dc668952146a4a25b6d06586e7b69708;exact
Nosbailesdavida;MiltonNascimento;Foi nos bailes da vida ou num bar           Em troca de pão                             Que muita gente boa pôs o pé na profissão                             De tocar um instrumento e de cantar  Não importando se quem pagou quis ouvir  Foi assim                       Cantar era buscar o caminho  Que vai dar no sol  Tenho comigo as lembranças do que eu era  Para cantar nada era longe, tudo tão bom  Té a estrada de terra na boléia de um caminhão  Era assim    Com a roupa encharcada e a alma  Repleta de chão  Todo artista tem de ir aonde o povo está  Se foi assim, assim será  Cantando me desfaço e não me canso             De viver, nem de cantar;PT-BR;https://api.vagalume.com.br/search.php?art= Milton Nascimento &mus=Nos-bailes-da-vida&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Banhodeespuma;RitaLee;Que tal nós dois numa banheira de espuma El cuerpo caliente, um dolce farniente Sem culpa nenhuma  Fazendo massagem, relaxando a tensão Em plena vagabundagem, com toda disposição Falando muita bobagem, esfregando com água e sabão  Que tal nós dois numa banheira de espuma El cuerpo caliente, um dolce farniente Sem culpa nenhuma    Fazendo massagem, relaxando a tensão Em plena vagabundagem, com toda disposição Falando muita bobagem, esfregando com água e sabão  Lá no reino de Afrodite o amor passa dos limites Quem quiser que se habilite, o que não falta é apetite  Que tal nós dois numa banheira de espuma ... ;PT-BR;https://api.vagalume.com.br/search.php?art= Rita Lee &mus=Banho-de-espuma&apikey=dc668952146a4a25b6d06586e7b69708;aprox
CoraçãodeEstudante;MiltonNascimento;Quero falar de uma coisa Adivinha onde ela anda Deve estar dentro do peito Ou caminha pelo ar Pode estar aqui do lado Bem mais perto que pensamos A folha da juventude É o nome certo desse amor  Já podaram seus momentos Desviaram seu destino Seu sorriso de menino Tantas vezes se escondeu Mas renova-se a esperança Nova aurora a cada dia E há que se cuidar do broto Pra que a vida nos dê flor e fruto  Coração de estudante Há que se cuidar da vida Há que se cuidar do mundo Tomar conta da amizade Alegria e muito sonho Espalhados no caminho Verdes, plantas, sentimento Folhas, coração, juventude e fé;PT-BR;https://api.vagalume.com.br/search.php?art= Milton Nascimento &mus=Coracao-de-Estudante&apikey=dc668952146a4a25b6d06586e7b69708;aprox
