Music,Artist,Text
Seeunãoteamassetantoassim,IveteSangalo,"['meu', 'coração', 'sem', 'direção', 'voando', 'voar', 'sem', 'saber', 'onde', 'chegar', 'sonhando', 'encontrar', 'estrelas', 'que', 'hoje', 'descobri', 'no', 'olhar', 'as', 'estrelas', 'vão', 'guiar', 'se', 'amasse', 'tanto', 'assim', 'talvez', 'perdesse', 'sonhos', 'dentro', 'mim', 'vivesse', 'escuridão', 'se', 'amasse', 'tanto', 'assim', 'talvez', 'visse', 'flores', 'por', 'onde', 'vi', 'dentro', 'coração', 'hoje', 'sei', 'eu', 'amei', 'no', 'vento', 'temporal', 'mas', 'muito', 'além', 'do', 'tempo', 'vendaval', 'nos', 'desejos', 'num', 'beijo', 'que', 'jamais', 'provei', 'igual', 'estrelas', 'dão', 'sinal', 'se', 'amasse', 'tanto', 'assim', 'talvez', 'perdesse', 'sonhos', 'dentro', 'mim', 'vivesse', 'escuridão', 'se', 'amasse', 'tanto', 'assim', 'talvez', 'visse', 'flores', 'por', 'onde', 'vi', 'dentro', 'coração']"
QuemDeNósDois,AnaCarolina,"['eu', 'não', 'assim', 'tão', 'complicado', 'não', 'difícil', 'perceber', 'quem', 'dois', 'vai', 'dizer', 'impossível', 'o', 'amor', 'acontecer', 'se', 'disser', 'que', 'sinto', 'nada', 'que', 'estrada', 'é', 'segura', 'eu', 'sei', 'vai', 'rir', 'cara', 'eu', 'conheço', 'sorriso', 'leio', 'olhar', 'teu', 'sorriso', 'disfarce', 'o', 'preciso', 'sinto', 'dizer', 'amo', 'tá', 'ruim', 'pra', 'disfarçar', 'entre', 'dois', 'não', 'cabe', 'nenhum', 'segredo', 'além', 'combinamos', 'no', 'vão', 'coisas', 'gente', 'disse', 'não', 'cabe', 'sermos', 'somente', 'amigos', 'falo', 'quero', 'frase', 'fica', 'avesso', 'meio', 'contra', 'mão', 'finjo', 'esqueço', 'eu', 'esqueci', 'nada', 'cada', 'vez', 'fujo', 'aproximo', 'perder', 'vista', 'assim', 'ruim', 'demais', 'atravesso', 'futuro', 'faço', 'lembranças', 'lugar', 'seguro', 'não', 'queira', 'reviver', 'nenhum', 'passado', 'nem', 'revirar', 'sentimento', 'revirado', 'mas', 'toda', 'vez', 'procuro', 'saída', 'acabo', 'entrando', 'querer', 'vida', 'eu', 'procurei', 'qualquer', 'desculpa', 'pra', 'encarar', 'pra', 'dizer', 'novo', 'sempre', 'mesma', 'coisa', 'falar', 'falar', 'que', 'tô', 'aí', 'pra', 'conversa', 'que', 'história', 'dois', 'interessa', 'se', 'tento', 'esconder', 'meias', 'verdades', 'você', 'conhece', 'sorriso', 'lê', 'olhar', 'meu', 'sorriso', 'disfarce', 'o', 'preciso', 'cada', 'vez', 'fujo', 'aproximo', 'perder', 'vista', 'assim', 'ruim', 'demais', 'atravesso', 'futuro', 'faço', 'lembranças', 'lugar', 'seguro', 'não', 'queira', 'reviver', 'nenhum', 'passado', 'nem', 'revirar', 'sentimento', 'revirado', 'mas', 'toda', 'vez', 'procuro', 'saída', 'acabo', 'entrando', 'querer', 'vida']"
Tribalistas,VelhaInfância,"['você', 'assim', 'um', 'sonho', 'pra', 'mim', 'vejo', 'eu', 'penso', 'desde', 'amanhecer', 'até', 'deito', 'eu', 'gosto', 'gosto', 'ficar', 'meu', 'riso', 'tão', 'feliz', 'contigo', 'o', 'melhor', 'amigo', 'amor', 'gente', 'canta', 'gente', 'dança', 'gente', 'cansa', 'de', 'ser', 'criança', 'gente', 'brinca', 'na', 'velha', 'infância', 'eu', 'gosto', 'gosto', 'ficar', 'meu', 'riso', 'tão', 'feliz', 'contigo', 'o', 'melhor', 'amigo', 'amor', 'gente', 'canta', 'gente', 'dança', 'gente', 'cansa', 'de', 'ser', 'criança', 'gente', 'brinca', 'na', 'velha', 'infância', 'seus', 'olhos', 'clarão', 'me', 'guiam', 'dentro', 'escuridão', 'seus', 'pés', 'abrem', 'caminho', 'eu', 'sigo', 'nunca', 'sinto', 'você', 'assim', 'um', 'sonho', 'pra', 'mim', 'você', 'assim', 'você', 'assim', 'um', 'sonho', 'pra', 'mim', 'você', 'assim', 'você', 'assim', 'um', 'sonho', 'pra', 'mim', 'você', 'assim', 'você', 'assim', 'um', 'sonho', 'pra', 'mim', 'você', 'assim', 'você', 'assim', 'um', 'sonho', 'pra', 'mim', 'você', 'assim']"
FuiEu,ZezéDiCamargoeLuciano,"['é', 'dia', 'mais', 'noite', 'espero', 'se', 'alguém', 'mundo', 'quis', 'fui', 'te', 'dei', 'sonhos', 'sonhei', 'te', 'imaginei', 'pra', 'vida', 'inteira', 'se', 'alguém', 'fez', 'tudo', 'fui', 'diz', 'agora', 'faço', 'pra', 'viver', 'se', 'cada', 'dia', 'difícil', 'esquecer', 'tudo', 'faz', 'doer', 'demais', 'eu', 'queria', 'voltar', 'atrás', 'ficar', 'contigo', 'diz', 'agora', 'faço', 'pra', 'aceitar', 'será', 'existe', 'outra', 'pessoa', 'lugar', 'mas', 'tempo', 'vai', 'convencer', 'dia', 'vai', 'reconhecer', 'que', 'mim', 'pode', 'viver', 'yeh', 'yeh', 'yeah', 'yeah', 'sentimento', 'dói', 'dentro', 'solidão', 'quer', 'parar', 'machucar', 'sentimento', 'dói', 'dentro', 'meu', 'coração', 'quer', 'ninguém', 'lugar', 'te', 'dei', 'sonhos', 'sonhei', 'te', 'imaginei', 'pra', 'vida', 'inteira', 'se', 'alguém', 'fez', 'tudo', 'fui', 'diz', 'agora', 'faço', 'pra', 'viver', 'se', 'cada', 'dia', 'difícil', 'esquecer', 'tudo', 'faz', 'doer', 'demais', 'eu', 'queria', 'voltar', 'atrás', 'ficar', 'contigo', 'diz', 'agora', 'faço', 'pra', 'aceitar', 'será', 'existe', 'outra', 'pessoa', 'lugar', 'mas', 'tempo', 'vai', 'convencer', 'dia', 'vai', 'reconhecer', 'que', 'mim', 'pode', 'viver', 'sentimento', 'dói', 'dentro', 'solidão', 'quer', 'parar', 'machucar', 'sentimento', 'dói', 'dentro', 'meu', 'coração', 'quer', 'ninguém', 'lugar', 'sentimento', 'dói', 'dentro', 'dói', 'dentro', 'solidão', 'quer', 'parar', 'machucar', 'sentimento', 'dói', 'dentro', 'meu', 'coração', 'quer', 'ninguém', 'lugar', 'sentimento', 'sentimento', 'dói', 'dentro', 'dói', 'dentro', 'solidão', 'quer', 'parar', 'machucar', 'quer', 'parar', 'machucar', 'sentimento', 'dói', 'dentro', 'meu', 'coração', 'quer', 'ninguém', 'lugar']"
NossoAmoréOuro/PãodeMel,ZezéDiCamargoeLuciano,"['nosso', 'amor', 'ouro', 'joia', 'rara', 'ver', 'é', 'chuva', 'sonhos', 'coloridos', 'prazer', 'somos', 'desejo', 'paixão', 'querer', 'coração', 'boca', 'sorriso', 'olhar', 'o', 'suor', 'pele', 'música', 'ar', 'nós', 'dois', 'ninho', 'entregues', 'sabor', 'amar', 'nosso', 'amor', 'sangue', 'coração', 'sonho', 'jamais', 'quero', 'acordar', 'apaixonadamente', 'apaixonados', 'como', 'peixe', 'mar', 'somos', 'semente', 'chão', 'somos', 'arca', 'tesouro', 'nosso', 'amor', 'forte', 'diamante', 'nosso', 'amor', 'ouro', 'agora', 'assim', 'ó', 'coração', 'boca', 'sorriso', 'olhar', 'o', 'suor', 'pele', 'música', 'ar', 'nós', 'dois', 'ninho', 'entregues', 'sabor', 'amar', 'nosso', 'amor', 'sangue', 'coração', 'sonho', 'jamais', 'quero', 'acordar', 'apaixonadamente', 'apaixonados', 'como', 'peixe', 'mar', 'somos', 'semente', 'chão', 'somos', 'arca', 'tesouro', 'nosso', 'amor', 'forte', 'diamante', 'nosso', 'amor', 'ouro', 'nosso', 'amor', 'sangue', 'coração', 'sonho', 'jamais', 'quero', 'acordar', 'apaixonadamente', 'apaixonados', 'como', 'peixe', 'mar', 'somos', 'semente', 'chão', 'somos', 'arca', 'tesouro', 'nosso', 'amor', 'forte', 'diamante', 'nosso', 'amor', 'ouro', 'nosso', 'amor', 'forte', 'diamante', 'nosso', 'amor', 'ouro', 'continua', 'mãos', 'pra', 'cima', 'balanço', 'galera', 'lá', 'cima', 'quero', 'ver', 'vem', 'vem', 'hey', 'hey', 'hey', 'você', 'luz', 'estrada', 'caminho', 'sem', 'sei', 'andar', 'sozinho', 'sou', 'tão', 'dependente', 'chama', 'alimenta', 'fogo', 'paixão', 'chuva', 'molhou', 'coração', 'sou', 'tão', 'dependente', 'vem', 'céu', 'pão', 'mel', 'meu', 'bem', 'querer', 'canta', 'são', 'paulo', 'vai', 'vem', 'céu', 'pão', 'mel', 'meu', 'bem', 'querer', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'é', 'bom', 'demais', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'marcou', 'demais', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'ficou', 'mim', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'não', 'vai', 'ter', 'fim', 'balanço', 'cadê', 'você', 'luz', 'estrada', 'caminho', 'sem', 'sei', 'andar', 'sozinho', 'sou', 'tão', 'dependente', 'chama', 'alimenta', 'fogo', 'paixão', 'chuva', 'molhou', 'coração', 'sou', 'tão', 'dependente', 'vem', 'céu', 'pão', 'mel', 'meu', 'bem', 'querer', 'vem', 'céu', 'pão', 'mel', 'meu', 'bem', 'querer', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'é', 'bom', 'demais', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'marcou', 'demais', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'ficou', 'mim', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'não', 'vai', 'ter', 'fim', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'é', 'bom', 'demais', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'marcou', 'demais', 'ai', 'ai', 'ai', 'ai', 'amor', 'amor', 'ficou', 'mim', 'ai', 'ai', 'ai', 'ai', 'amor', 'amor', 'não', 'vai', 'ter', 'fim', 'esse', 'amor', 'vai', 'ter', 'fim', 'esse', 'amor', 'vai', 'ter', 'fim']"
ToquedeMágica,PedroeThiago,"['quando', 'noite', 'chegar', 'tô', 'pensando', 'em', 'você', 'quando', 'o', 'sol', 'acordar', 'tô', 'pensando', 'em', 'você', 'se', 'o', 'coração', 'chorar', 'tô', 'pensando', 'em', 'você', 'se', 'o', 'amor', 'me', 'encontrar', 'tô', 'pensando', 'em', 'você', 'olha', 'pra', 'mim', 'tente', 'entender', 'haja', 'o', 'que', 'houver', 'eu', 'não', 'vou', 'te', 'esquecer', 'vou', 'parar', 'o', 'mundo', 'pra', 'você', 'todas', 'as', 'estrelas', 'te', 'trazer', 'num', 'toque', 'de', 'magica', 'baby', 'vou', 'rodar', 'o', 'mundo', 'pra', 'encontrar', 'o', 'sonho', 'mas', 'lindo', 'pra', 'te', 'dar', 'num', 'toque', 'de', 'magica', 'baby']"
Amoriloveyou,MarisaMonte,"['deixa', 'dizer', 'amo', 'deixa', 'pensar', 'isso', 'acalma', 'me', 'acolhe', 'alma', 'isso', 'ajuda', 'viver', 'hoje', 'contei', 'pras', 'paredes', 'coisas', 'coração', 'passeei', 'tempo', 'caminhei', 'horas', 'mais', 'passo', 'paixão', 'é', 'espelho', 'razão', 'quer', 'amor', 'fique', 'aqui', 'deixa', 'dizer', 'amo', 'deixa', 'gostar', 'isso', 'acalma', 'me', 'acolhe', 'alma', 'isso', 'ajuda', 'viver', 'hoje', 'contei', 'pras', 'paredes', 'coisas', 'coração', 'passeei', 'tempo', 'caminhei', 'horas', 'mais', 'passo', 'paixão', 'é', 'espelho', 'razão', 'quer', 'amor', 'fique', 'aqui', 'meu', 'peito', 'agora', 'dispara', 'vivo', 'constante', 'alegria', 'é', 'amor', 'aqui', 'amor', 'i', 'love', 'you', 'amor', 'i', 'love', 'you', 'amor', 'i', 'love', 'you', 'amor', 'i', 'love', 'you', 'bis', 'tinha', 'suspirado', 'tinha', 'beijado', 'papel', 'devotamente', 'era', 'primeira', 'vez', 'escreviam', 'sentimentalidades', 'orgulho', 'dilatava-se', 'calor', 'amoroso', 'saia', 'como', 'corpo', 'ressequido', 'estira', 'banho', 'tépido', 'sentia', 'acréscimo', 'estima', 'si', 'mesma', 'parecia-lhe', 'entrava', 'enfim', 'existência', 'superiormente', 'interessante', 'onde', 'cada', 'hora', 'intuito', 'diferente', 'cada', 'passo', 'conduzia', 'êxtase', 'alma', 'cobria', 'luxo', 'radioso', 'sensações', 'amor', 'i', 'love', 'you', 'amor', 'i', 'love', 'you', 'amor', 'i', 'love', 'you', 'amor', 'i', 'love', 'you', 'bis']"
Tõnemai,Luka,"['de', 'mãos', 'atadas', 'pés', 'descalços', 'com', 'mundo', 'andava', 'pernas', 'pro', 'ar', 'sempre', 'armada', 'segui', 'passos', 'atei', 'braços', 'pra', 'abandonar', 'já', 'lembro', 'nome', 'seu', 'telefone', 'fiz', 'questão', 'apagar', 'aceitei', 'erros', 'reinventei', 'virei', 'página', 'agora', 'tô', 'outra', 'tô', 'aí', 'tô', 'aí', 'pode', 'ficar', 'mundinho', 'eu', 'tô', 'aí', 'tô', 'aí', 'tô', 'aí', 'não', 'vem', 'falar', 'problemas', 'que', 'vou', 'ouvir', 'boca', 'fechada', 'embaraços', 'eu', 'dei', 'todas', 'chances', 'ser', 'bom', 'rapaz', 'mas', 'vencida', 'cansaço', 'nosso', 'amor', 'enterrado', 'descansa', 'paz', 'já', 'lembro', 'nome', 'seu', 'telefone', 'fiz', 'questão', 'apagar', 'aceitei', 'erros', 'reinventei', 'virei', 'página', 'agora', 'tô', 'outra', 'tô', 'aí', 'tô', 'aí', 'pode', 'ficar', 'mundinho', 'eu', 'tô', 'aí', 'tô', 'aí', 'tô', 'aí', 'não', 'vem', 'falar', 'problemas', 'que', 'vou', 'ouvir', 'tô', 'aí', 'tô', 'aí', 'pode', 'ficar', 'mundinho', 'eu', 'to', 'aí', 'tô', 'aí', 'tô', 'aí', 'não', 'vem', 'falar', 'problemas', 'que', 'vou', 'ouvir']"
VouDeixar,Skank,"['vou', 'deixar', 'vida', 'levar', 'pra', 'onde', 'quiser', 'estou', 'lugar', 'você', 'sabe', 'onde', 'não', 'conte', 'tempo', 'dois', 'pois', 'qualquer', 'hora', 'posso', 'estar', 'volta', 'depois', 'noite', 'terminar', 'vou', 'deixar', 'vida', 'levar', 'pra', 'onde', 'quiser', 'seguir', 'direção', 'de', 'estrela', 'qualquer', 'não', 'quero', 'hora', 'pra', 'voltar', 'conheço', 'bem', 'solidão', 'solta', 'deixa', 'sorte', 'buscar', 'eu', 'estrada', 'sozinho', 'enxergo', 'nada', 'mas', 'vou', 'ficar', 'aqui', 'até', 'dia', 'amanheça', 'vou', 'esquecer', 'mim', 'puder', 'esqueça', 'vou', 'deixar', 'o', 'coração', 'bater', 'na', 'madrugada', 'fim', 'deixar', 'sol', 'ver', 'ajoelhada', 'mim', 'sim', 'não', 'hora', 'pra', 'voltar', 'eu', 'agradeço', 'tanto', 'escolta', 'mas', 'deixa', 'noite', 'terminar', 'eu', 'estrada', 'sozinho', 'enxergo', 'nada', 'mas', 'vou', 'ficar', 'aqui', 'até', 'dia', 'amanheça', 'vou', 'esquecer', 'mim', 'puder', 'esqueça', 'não', 'quero', 'hora', 'pra', 'voltar', 'conheço', 'bem', 'solidão', 'solta', 'deixa', 'sorte', 'buscar', 'não', 'hora', 'pra', 'voltar', 'eu', 'agradeço', 'tanto', 'escolta', 'mas', 'deixa', 'noite', 'terminar']"
OSol,JotaQuest,"['ei', 'dor', 'escuto', 'você', 'leva', 'nada', 'ei', 'medo', 'escuto', 'você', 'leva', 'nada', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'ei', 'dor', 'escuto', 'você', 'leva', 'nada', 'ei', 'medo', 'escuto', 'você', 'leva', 'nada', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'é', 'pra', 'lá', 'vou', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'é', 'pra', 'lá', 'vou', 'yeah', 'caminho', 'sol', 'baby', 'naranara', 'laralara', 'caminho', 'sol', 'baby', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'é', 'pra', 'lá', 'vou', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'é', 'pra', 'lá', 'vou', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'é', 'pra', 'lá', 'vou', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'é', 'pra', 'lá', 'vou', 'naranara', 'laralara', 'é', 'pra', 'lá', 'vou', 'lalaralara', 'onde', 'sol', 'pra', 'lá', 'vou']"
