Music,Artist,Text,Unnamed: 3
HumildeResidência,MichelTeló,"['vou', 'esperar', 'aqui', 'mas', 'vê', 'atende', 'telefone', 'cobrar', 'hoje', 'vou', 'sair', 'porque', 'carro', 'tá', 'quebrado', 'tô', 'podendo', 'gastar', 'quando', 'chegar', 'aqui', 'me', 'dê', 'grito', 'lá', 'frente', 'vou', 'correndo', 'buscar', 'não', 'ninguém', 'aqui', 'mas', 'vou', 'deixar', 'luz', 'acesa', 'já', 'passei', 'celular', 'endereço', 'aquele', 'dia', 'vi', 'saí', 'casa', 'eu', 'tô', 'ligado', 'sempre', 'deu', 'moral', 'até', 'dizia', 'amava', 'agora', 'tá', 'mudada', 'formou', 'faculdade', 'no', 'cursinho', 'cheguei', 'metade', 'você', 'tá', 'diferente', 'vou', 'atrás', 'frente', 'tô', 'louco', 'pra', 'pegar', 'vou', 'esperar', 'na', 'humilde', 'residência', 'pra', 'gente', 'fazer', 'amor', 'mas', 'peço', 'só', 'pouquinho', 'paciência', 'cama', 'ta', 'quebrada', 'cobertor']",
VidroFumê,BrunoeMarrone,"['foi', 'telefonema', 'anonimo', 'uma', 'voz', 'disfarçada', 'me', 'falou', 'sendo', 'traído', 'eu', 'quis', 'acreditar', 'pensei', 'trote', 'mas', 'fundo', 'peito', 'já', 'desconfiava', 'dessa', 'sorte', 'no', 'calor', 'momento', 'na', 'loucura', 'pensamento', 'eu', 'atrás', 'busca', 'verdade', 'segredo', 'senti', 'amor', 'estremecer', 'na', 'hora', 'vi', 'entrando', 'num', 'carro', 'importado', 'vidro', 'fumê', 'quando', 'chegou', 'casa', 'eu', 'tratei', 'naturalmente', 'fiz', 'amor', 'contigo', 'noite', 'inteira', 'lentamente', 'foi', 'canção', 'despedida', 'foi', 'verdade', 'diferente', 'foi', 'última', 'noite', 'amor', 'gente']",
AcordandooPrédio,LuanSantana,"['aonde', 'parar', 'juízo', 'já', 'manhã', 'daqui', 'pouco', 'liga', 'síndico', 'será', 'moça', 'gritar', 'baixinho', 'sei', 'tá', 'bom', 'paredes', 'ouvido', 'pra', 'ser', 'escondido', 'já', 'vamo', 'acordar', 'prédio', 'fazer', 'inveja', 'pro', 'povo', 'enquanto', 'tão', 'indo', 'trabalhar', 'gente', 'faz', 'amor', 'gostoso', 'novo', 'vamo', 'acordar', 'prédio', 'fazer', 'inveja', 'pro', 'povo', 'enquanto', 'tão', 'indo', 'trabalhar', 'gente', 'faz', 'amor', 'gostoso', 'novo', 'de', 'novo', 'novo', 'deixa', 'mundo', 'saber', 'baby', 'problemas', 'gente', 'resolve', 'né', 'porque', 'desce', 'lua', 'desce', 'pra', 'ver', 'já', 'ganhou', 'agora', 'levar', 'pra', 'aonde', 'parar', 'juízo', 'já', 'manhã', 'daqui', 'pouco', 'liga', 'síndico', 'será', 'moça', 'gritar', 'baixinho', 'sei', 'tá', 'bom', 'paredes', 'ouvido', 'pra', 'ser', 'escondido', 'já', 'vamo', 'acordar', 'prédio', 'fazer', 'inveja', 'pro', 'povo', 'enquanto', 'tão', 'indo', 'trabalhar', 'gente', 'faz', 'amor', 'gostoso', 'novo', 'vamo', 'acordar', 'prédio', 'fazer', 'inveja', 'pro', 'povo', 'enquanto', 'tão', 'indo', 'trabalhar', 'gente', 'faz', 'amor', 'gostoso', 'novo', 'de', 'novo', 'novo', 'deixa', 'mundo', 'saber', 'baby', 'problemas', 'gente', 'resolve', 'né', 'porque', 'desce', 'lua', 'desce', 'pra', 'ver', 'já', 'ganhou', 'agora', 'levar', 'pra']",
SeuPolícia,ZéNetoeCristiano,"['seu', 'polícia', 'é', 'separei', 'recentemente', 'de', 'paixão', 'tô', 'doente', 'será', 'senhor', 'entende', 'os', 'vizinhos', 'tão', 'reclamando', 'do', 'volume', 'som', 'mas', 'enquanto', 'voltar', 'eu', 'vou', 'continuar', 'me', 'afogando', 'álcool', 'o', 'som', 'carro', 'talo', 'manda', 'multa', 'vou', 'pagar', 'mas', 'enquanto', 'voltar', 'sofrimento', 'mato', 'coração', 'pedaços', 'compreenda', 'favor', 'o', 'amor', 'deixou', 'seu', 'polícia', 'é', 'separei', 'recentemente', 'de', 'paixão', 'tô', 'doente', 'será', 'senhor', 'entende', 'os', 'vizinhos', 'tão', 'reclamando', 'do', 'volume', 'som', 'mas', 'enquanto', 'voltar', 'eu', 'vou', 'continuar', 'me', 'afogando', 'álcool', 'o', 'som', 'carro', 'talo', 'manda', 'multa', 'vou', 'pagar', 'mas', 'enquanto', 'voltar', 'sofrimento', 'mato', 'coração', 'pedaços', 'compreenda', 'favor', 'o', 'amor', 'deixou', 'me', 'afogando', 'álcool', 'o', 'som', 'carro', 'talo', 'manda', 'multa', 'vou', 'pagar', 'mas', 'enquanto', 'voltar', 'sofrimento', 'mato', 'coração', 'pedaços', 'compreenda', 'favor', 'o', 'amor', 'deixou']",
Escreveaí,LuanSantana,"['te', 'falo', 'tanta', 'coisa', 'enquanto', 'tento', 'segurar', 'lágrima', 'que', 'insiste', 'cair', 'entro', 'carro', 'abro', 'vidro', 'antes', 'ir', 'embora', 'digo', 'olha', 'aqui', 'ainda', 'vou', 'esquecer', 'escreve', 'aí', 'chego', 'casa', 'dou', 'cara', 'foto', 'uma', 'ducha', 'vinho', 'pra', 'acalmar', 'penso', 'vou', 'partir', 'pra', 'outra', 'logo', 'mas', 'tô', 'tentando', 'enganar', 'mas', 'tô', 'tentando', 'enganar', 'é', 'fazer', 'assim', 'que', 'volto', 'é', 'fazer', 'assim', 'que', 'volto', 'que', 'volto', 'é', 'amo', 'falo', 'cara', 'se', 'tirar', 'mim', 'não', 'sobra', 'nada', 'o', 'sorriso', 'desmonta', 'inteiro', 'até', 'simples', 'estalar', 'dedos', 'talvez', 'deixado', 'ir', 'pra', 'ter', 'gosto', 'ver', 'aqui', 'fraco', 'demais', 'continuar', 'juntando', 'forças', 'pra', 'poder', 'falar', 'que', 'volto', 'você', 'sorrir', 'que', 'volto', 'fazer', 'assim', 'que', 'volto', 'que', 'volto', 'que', 'volto', 'chego', 'casa', 'dou', 'cara', 'foto', 'uma', 'ducha', 'vinho', 'pra', 'acalmar', 'penso', 'vou', 'partir', 'pra', 'outra', 'logo', 'mas', 'tô', 'tentando', 'enganar', 'mas', 'tô', 'tentando', 'enganar', 'é', 'fazer', 'assim', 'que', 'volto', 'é', 'fazer', 'assim', 'que', 'volto', 'que', 'volto', 'é', 'amo', 'falo', 'cara', 'se', 'tirar', 'mim', 'não', 'sobra', 'nada', 'o', 'sorriso', 'desmonta', 'inteiro', 'até', 'simples', 'estalar', 'dedos', 'talvez', 'deixado', 'ir', 'pra', 'ter', 'gosto', 'ver', 'aqui', 'fraco', 'demais', 'continuar', 'juntando', 'forças', 'pra', 'poder', 'falar', 'que', 'volto', 'você', 'sorrir', 'que', 'volto', 'fazer', 'assim', 'que', 'volto', 'fazer', 'assim', 'que', 'volto', 'que', 'volto', 'que', 'volto']",
ApelidoCarinhoso,GusttavoLima,"['amor', 'segredo', 'gente', 'que', 'término', 'recente', 'arrumando', 'revirou', 'sentimento', 'pendente', 'que', 'insiste', 'bagunçar', 'mente', 'vai', 'passar', 'dia', 'ainda', 'passou', 'eu', 'sei', 'poderia', 'ter', 'escolhido', 'alguém', 'menos', 'complicado', 'que', 'presente', 'pessoa', 'passado', 'aceitar', 'situação', 'prova', 'amor', 'mas', 'preciso', 'faça', 'favor', 'ainda', 'chame', 'nego', 'ainda', 'chame', 'bebê', 'porque', 'assim', 'chamava', 'apelido', 'carinhoso', 'é', 'difícil', 'esquecer']",
CemMil,GusttavoLima,"['não', 'fale', 'nome', 'não', 'telefone', 'por', 'favor', 'pergunte', 'mim', 'vê', 'esquece', 'some', 'se', 'ver', 'longe', 'viro', 'cara', 'finjo', 'vi', 'mas', 'vou', 'mentir', 'tá', 'doendo', 'lá', 'fundo', 'sem', 'consigo', 'dormir', 'vamos', 'fazer', 'assim', 'melhor', 'procurar', 'porque', 'morro', 'medo', 'perdoar', 'eu', 'tô', 'falando', 'mal', 'iê', 'que', 'nunca', 'soube', 'fazer', 'iê', 'cem', 'mil', 'quiser', 'aposto', 'se', 'bater', 'dedo', 'volto', 'ela', 'vale', 'real', 'mas', 'adoro']",
Pravocê,PaulaFernandes,"['eu', 'quero', 'ser', 'pra', 'alegria', 'chegada', 'clarão', 'trazendo', 'dia', 'iluminando', 'sacada', 'eu', 'quero', 'ser', 'pra', 'confiança', 'faz', 'te', 'faz', 'sonhar', 'todo', 'dia', 'sabendo', 'pode', 'eu', 'quero', 'ser', 'lado', 'encontro', 'inesperado', 'o', 'arrepio', 'beijo', 'bom', 'eu', 'quero', 'ser', 'paz', 'melodia', 'capaz', 'de', 'fazer', 'dançar', 'eu', 'quero', 'ser', 'pra', 'lua', 'iluminando', 'sol', 'quero', 'acordar', 'todo', 'dia', 'pra', 'fazer', 'todo', 'amor', 'eu', 'quero', 'ser', 'pra', 'braços', 'abertos', 'envolver', 'cada', 'novo', 'sorriso', 'serei', 'feliz', 'amar', 'se', 'vivo', 'pra', 'se', 'canto', 'pra', 'pra']",
CêTopa,LuanSantana,"['já', 'pensou', 'gente', 'um', 'pouco', 'ousado', 'nesse', 'lance', 'já', 'pensou', 'transformar', 'nossa', 'amizade', 'lindo', 'romance', 'presta', 'atenção', 'tudo', 'gente', 'faz', 'já', 'felizes', 'muitos', 'casais', 'desapega', 'medo', 'deixa', 'acontecer', 'eu', 'proposta', 'fazer', 'escuta', 'aqui', 'eu', 'dois', 'filhos', 'cachorro', 'um', 'edredom', 'filme', 'bom', 'frio', 'agosto', 'ai', 'cê', 'topa', 'eu', 'dois', 'filhos', 'cachorro', 'um', 'edredom', 'filme', 'bom', 'frio', 'agosto', 'diz', 'aí', 'cê', 'topa', 'presta', 'atenção', 'tudo', 'gente', 'faz', 'já', 'felizes', 'muitos', 'casais', 'desapega', 'medo', 'deixa', 'acontecer', 'eu', 'proposta', 'fazer', 'eu', 'dois', 'filhos', 'cachorro', 'um', 'edredom', 'filme', 'bom', 'frio', 'agosto', 'ai', 'cê', 'topa', 'eu', 'dois', 'filhos', 'cachorro', 'um', 'edredom', 'filme', 'bom', 'frio', 'agosto', 'diz', 'aí', 'cê', 'topa']",
Assimvocêmataopapai,SorrisoMaroto,"['ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'essa', 'mina', 'tá', 'olhando', 'acho', 'tá', 'dando', 'mole', 'ela', 'tá', 'provocando', 'faz', 'tempo', 'isso', 'vai', 'prestar', 'vai', 'ela', 'maravilhosa', 'tem', 'sorriso', 'maroto', 'o', 'tá', 'querendo', 'vou', 'chamar', 'pra', 'dançar', 'vem', 'cá', 'mulher', 'vem', 'cá', 'dançar', 'comigo', 'agarradinho', 'vem', 'cá', 'que', 'vai', 'gostar', 'ah', 'vai', 'isso', 'assim', 'vem', 'pra', 'mim', 'que', 'delícia', 'tá', 'gostoso', 'demais', 'isso', 'vai', 'prestar', 'beija', 'boca', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'assim', 'mata', 'papai', 'ai', 'ai', 'ai', 'ai', 'boca', 'gostosa', 'quero', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'assim', 'mata', 'papai', 'ai', 'ai', 'ai', 'ai', 'tá', 'cheirosa', 'demais', 'essa', 'mina', 'tá', 'olhando', 'acho', 'tá', 'dando', 'mole', 'ela', 'tá', 'provocando', 'faz', 'tempo', 'isso', 'vai', 'prestar', 'vai', 'ela', 'maravilhosa', 'tem', 'sorriso', 'maroto', 'o', 'tá', 'querendo', 'vou', 'chamar', 'pra', 'dançar', 'vem', 'cá', 'mulher', 'vem', 'cá', 'dançar', 'comigo', 'agarradinho', 'vem', 'cá', 'que', 'vai', 'gostar', 'ah', 'vai', 'isso', 'assim', 'vem', 'pra', 'mim', 'que', 'delícia', 'tá', 'gostoso', 'demais', 'isso', 'vai', 'prestar', 'beija', 'boca', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'assim', 'mata', 'papai', 'ai', 'ai', 'ai', 'ai', 'boca', 'gostosa', 'quero', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'assim', 'mata', 'papai', 'ai', 'ai', 'ai', 'ai', 'tá', 'cheirosa', 'demais']",
