Music,Artist,Text,Language,Url,Search Status
BanhoDeLua,CellyCampello,"['praia', 'bronzear', 'queimei', 'escureci', 'mamãe', 'bronqueou', 'nada', 'sol', 'hoje', 'quero', 'luz', 'luar', 'tomo', 'banho', 'lua', 'fico', 'branca', 'neve', 'luar', 'amigo', 'censurar', 'ninguém', 'atreve', 'tão', 'bom', 'sonhar', 'contigo', 'oh', 'luar', 'tão', 'cândido', 'sob', 'banho', 'lua', 'noite', 'esplendor', 'sinto', 'força', 'magia', 'magia', 'amor', 'tão', 'bom', 'sonhar', 'contigo', 'oh', 'luar', 'tão', 'cândido', 'tim', 'tim', 'tim', 'raio', 'lua', 'tim', 'tim', 'tim', 'baixando', 'vem', 'mundo', 'oh', 'lua', 'oh', 'cândida', 'lua', 'vem', 'tim', 'tim', 'tim', 'raio', 'lua', 'tim', 'tim', 'tim', 'baixando', 'vem', 'mundo', 'oh', 'lua', 'oh', 'cândida', 'lua', 'vem', 'sob', 'banho', 'lua', 'noite', 'esplendor', 'sinto', 'força', 'magia', 'magia', 'amor', 'tão', 'bom', 'sonhar', 'contigo', 'oh', 'luar', 'tão', 'cândido']",PT-BR,https://api.vagalume.com.br/search.php?art= Celly Campello &mus=Banho-De-Lua&apikey=dc668952146a4a25b6d06586e7b69708,aprox
AsCurvasdaEstradadeSantos,RobertoCarlos,"['pretende', 'saber', 'posso', 'dizer', 'carro', 'estrada', 'santos', 'vai', 'conhecer', 'vai', 'pensar', 'gosto', 'mim', 'idade', 'velocidade', 'anda', 'junto', 'mim', 'ando', 'sozinho', 'caminho', 'tempo', 'cada', 'vez', 'menor', 'preciso', 'ajuda', 'favor', 'acuda', 'vivo', 'acaso', 'curva', 'lembro', 'mundo', 'piso', 'fundo', 'corrijo', 'segundo', 'posso', 'parar', 'prefiro', 'curvas', 'estrada', 'santos', 'onde', 'tento', 'esquecer', 'amor', 'vi', 'espelho', 'distância', 'perder', 'amor', 'perdi', 'novamente', 'encontrar', 'oh', 'curvas', 'acabam', 'estrada', 'santos', 'vou', 'passar', 'vou', 'passar', 'oh', 'prefiro', 'curvas', 'estrada', 'santos', 'onde', 'tento', 'esquecer', 'amor', 'vi', 'espelho', 'distância', 'perder', 'amor', 'perdi', 'novamente', 'encontrar', 'oh', 'oh', 'curvas', 'acabam', 'estrada', 'santos', 'vou', 'passar', 'estrada', 'santos', 'curvas', 'acabam', 'vou', 'passar', 'oh', 'estrada', 'santos', 'curvas', 'acabam']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=As-Curvas-da-Estrada-de-Santos&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Otrovadordetoledo,GildaLopes,"['noites', 'enluaradas', 'formosa', 'toledo', 'alguém', 'esconde', 'segredo', 'amor', 'proibido', 'janela', 'apagada', 'restou', 'nada', 'dentre', 'lembranças', 'noite', 'consigo', 'guardou', 'dia', 'trovas', 'amor', 'então', 'vai', 'dizendo', 'fala', 'coração', 'cheio', 'ternura', 'esquecer', 'procura', 'amor', 'negado', 'cala', 'segredo', 'infinda', 'amargura', 'trovador', 'toledo', 'noites', 'escuta', 'toda', 'gente', 'pergunta', 'segredo', 'janela', 'apagada', 'balcão', 'deserto', 'paixão', 'sufocada', 'longe', 'perto', 'coração', 'cheio', 'amargura', 'guarda', 'trovador', 'esperança', 'saber', 'carinho', 'então', 'procura', 'outro', 'espera', 'inútil', 'inútil']",PT-BR,https://api.vagalume.com.br/search.php?art= Gilda Lopes &mus=O-trovador-de-toledo&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Tremdasonze,Demôniosdagaroa,"['quais', 'quais', 'quais', 'quais', 'quais', 'quais', 'quaiscalingudum', 'quaiscalingudum', 'quaiscalingudum', 'posso', 'ficar', 'minuto', 'sinto', 'amor', 'pode', 'ser', 'moro', 'jaçanã', 'perder', 'trem', 'sai', 'agora', 'onze', 'horas', 'amanhã', 'manhã', 'posso', 'ficar', 'minuto', 'sinto', 'amor', 'pode', 'ser', 'moro', 'jaçanã', 'perder', 'trem', 'sai', 'agora', 'onze', 'horas', 'amanhã', 'manhã', 'além', 'disso', 'mulher', 'outra', 'coisa', 'mãe', 'dorme', 'enquanto', 'chegar', 'filho', 'único', 'casa', 'pra', 'olhar', 'posso', 'ficar', 'posso', 'ficar', 'minuto', 'sinto', 'amor', 'pode', 'ser', 'moro', 'jaçanã', 'perder', 'trem', 'sai', 'agora', 'onze', 'horas', 'amanhã', 'manhã', 'além', 'disso', 'mulher', 'outra', 'coisa', 'mãe', 'dorme', 'enquanto', 'chegar', 'filho', 'único', 'casa', 'pra', 'olhar', 'quais', 'quais', 'quais', 'quais', 'quais', 'quais', 'quaiscalingudum', 'quaiscalingudum', 'quaiscalingudum', 'quais', 'quais', 'quais', 'quais', 'quais', 'quais', 'quaiscalingudum', 'quaiscalingudum', 'quaiscalingudum']",PT-BR,https://api.vagalume.com.br/search.php?art= Demonios da garoa &mus=Trem-das-onze&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Queroquevátudoproinferno,RobertoCarlos,"['vale', 'céu', 'azul', 'sol', 'sempre', 'brilhar', 'vem', 'esperar', 'pensamento', 'ausência', 'todo', 'tormento', 'quero', 'aqueça', 'neste', 'inverno', 'tudo', 'vá', 'pro', 'inferno', 'vale', 'boa', 'vida', 'play-boy', 'entro', 'carro', 'solidão', 'dói', 'onde', 'quer', 'ande', 'tudo', 'tão', 'triste', 'interessa', 'existe', 'quero', 'aqueça', 'neste', 'inverno', 'tudo', 'vá', 'pro', 'inferno', 'suporto', 'longe', 'mim', 'quero', 'morrer', 'viver', 'assim', 'quero', 'aqueça', 'neste', 'inverno', 'tudo', 'vá', 'pro', 'inferno', 'instrumental', 'suporto', 'longe', 'mim', 'quero', 'morrer', 'viver', 'assim', 'quero', 'aqueça', 'neste', 'inverno', 'tudo', 'vá', 'pro', 'inferno', 'tudo', 'vá', 'pro', 'inferno', 'uoooooo', 'tudo', 'vá', 'pro', 'inferno', 'uoooooo']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=Quero-que-va-tudo-pro-inferno&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Prelúdioparaninargentegrande,LuizVieira,"['braços', 'sinto', 'mundo', 'bocejar', 'braços', 'sinto', 'vida', 'descansar', 'calor', 'carinho', 'menino', 'passarinho', 'vontade', 'voar', 'menino', 'passarinho', 'vontade', 'voar', 'repete', 'tudo']",PT-BR,https://api.vagalume.com.br/search.php?art= Luiz Vieira &mus=Preludio-para-ninar-gente-grande&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Sonharcontigo,AdilsonRamos,"['sonhar', 'contigo', 'toda', 'vida', 'sonhar', 'contigo', 'amor', 'querida', 'viver', 'pensando', 'ti', 'somente', 'viver', 'amando', 'ser', 'eternamente', 'maior', 'desejo', 'tomar', 'mãos', 'calar', 'voz', 'longo', 'beijo', 'ter-te', 'sempre', 'bem', 'junto', 'mim', 'viver', 'amando', 'ser', 'fim']",PT-BR,https://api.vagalume.com.br/search.php?art= Adilson Ramos &mus=Sonhar-contigo&apikey=dc668952146a4a25b6d06586e7b69708,aprox
OCalhambeque,RobertoCarlos,"['mandei', 'cadillac', 'pro', 'mecânico', 'outro', 'dia', 'pois', 'tempo', 'conserto', 'pedia', 'vou', 'viver', 'carango', 'pra', 'correr', 'cadillac', 'bip', 'bip', 'quero', 'consertar', 'cadillac', 'muita', 'paciência', 'rapaz', 'ofereceu', 'carro', 'todo', 'velho', 'lá', 'apareceu', 'enquanto', 'cadillac', 'consertava', 'usava', 'calhambeque', 'bip', 'bip', 'quero', 'buzinar', 'calhambeque', 'saí', 'oficina', 'pouquinho', 'desolado', 'confesso', 'pouco', 'envergonhado', 'olhando', 'lado', 'cara', 'malvado', 'calhambeque', 'bip', 'bip', 'buzinei', 'assim', 'calhambeque', 'logo', 'garota', 'fez', 'sinal', 'parar', 'calhambeque', 'fez', 'questão', 'passear', 'sei', 'pensei', 'acreditei', 'calhambeque', 'bip', 'bip', 'broto', 'quis', 'andar', 'calhambeque', 'muitos', 'outros', 'brotos', 'encontrei', 'caminho', 'falavam', 'estouro', 'beleza', 'carrinho', 'acostumando', 'carango', 'gostando', 'calhambeque', 'bip', 'bip', 'quero', 'conservar', 'calhambeque', 'cadillac', 'finalmente', 'ficou', 'pronto', 'lavado', 'consertado', 'bem', 'pintado', 'encanto', 'coração', 'hora', 'exata', 'trocar', 'calhambeque', 'bip', 'bip', 'coração', 'ficou', 'calhambeque']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=O-Calhambeque&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Coraçãodepapel,SérgioReis,"['pensa', 'coração', 'papel', 'vá', 'pensando', 'pois', 'igualzinho', 'sofre', 'porque', 'fazer', 'chorar', 'assim', 'ama', 'pensa', 'fazer', 'chorar', 'quer', 'pensa', 'dia', 'sentirá', 'amar', 'bom', 'demais', 'jogue', 'amor', 'léu', 'coração', 'papel', 'porque', 'fazer', 'chorar', 'porque', 'fazer', 'sofrer', 'coração', 'quer', 'amor', 'lindo', 'sei', 'todo', 'dei', 'quis', 'jogou', 'léu', 'coração', 'papel', '[', 'bis', ']', 'ah', 'ah', 'coração', 'papel']",PT-BR,https://api.vagalume.com.br/search.php?art= Sergio Reis &mus=Coracao-de-papel&apikey=dc668952146a4a25b6d06586e7b69708,aprox
ANoitedomeubem,DoloresDuran,"['hoje', 'quero', 'rosa', 'linda', 'primeira', 'estrela', 'vier', 'enfeitar', 'noite', 'bem', 'hoje', 'quero', 'paz', 'criança', 'dormindo', 'abandono', 'flores', 'abrindo', 'enfeitar', 'noite', 'bem', 'quero', 'alegria', 'barco', 'voltando', 'quero', 'ternura', 'mãos', 'encontrando', 'enfeitar', 'noite', 'bem', 'ah', 'quero', 'amor', 'amor', 'profundo', 'quero', 'toda', 'beleza', 'mundo', 'enfeitar', 'noite', 'bem', 'ah', 'bem', 'demorou', 'chegar', 'sei', 'olhar', 'toda', 'pureza', 'quero', 'dar']",PT-BR,https://api.vagalume.com.br/search.php?art= Dolores Duran &mus=A-Noite-do-meu-bem&apikey=dc668952146a4a25b6d06586e7b69708,aprox
