Music,Artist,Text,Language,Url,Search Status,Unnamed: 6
Detalhes,RobertoCarlos,"['não', 'adianta', 'tentar', 'esquecer', 'durante', 'tempo', 'vida', 'vou', 'viver', 'detalhes', 'tão', 'pequenos', 'dois', 'são', 'coisas', 'grandes', 'pra', 'esquecer', 'toda', 'hora', 'vão', 'estar', 'presentes', 'você', 'vai', 'ver', 'se', 'outro', 'cabeludo', 'aparecer', 'rua', 'trouxer', 'saudades', 'culpa', 'o', 'ronco', 'barulhento', 'carro', 'velha', 'calça', 'desbotada', 'coisa', 'assim', 'imediatamente', 'vai', 'lembrar', 'mim', 'eu', 'sei', 'outro', 'deve', 'estar', 'falando', 'ouvido', 'palavras', 'amor', 'falei', 'duvido', 'duvido', 'tanto', 'amor', 'erros', 'português', 'ruim', 'nessa', 'hora', 'vai', 'lembrar', 'mim', 'à', 'noite', 'envolvida', 'silêncio', 'quarto', 'antes', 'dormir', 'procura', 'retrato', 'mas', 'moldura', 'sorri', 'mas', 'vê', 'sorriso', 'assim', 'tudo', 'vai', 'fazer', 'lembrar', 'mim', 'se', 'alguém', 'tocar', 'corpo', 'diga', 'nada', 'não', 'vá', 'dizer', 'nome', 'querer', 'pessoa', 'errada', 'pensando', 'ter', 'amor', 'nesse', 'momento', 'desesperada', 'você', 'tenta', 'fim', 'nesse', 'momento', 'vai', 'lembrar', 'mim', 'eu', 'sei', 'detalhes', 'vão', 'sumir', 'longa', 'estrada', 'do', 'tempo', 'transforma', 'todo', 'amor', 'quase', 'nada', 'mas', 'quase', 'detalhe', 'um', 'grande', 'amor', 'vai', 'morrer', 'assim', 'por', 'vez', 'vai', 'vai', 'lembrar', 'mim', 'não', 'adianta', 'tentar', 'esquecer', 'durante', 'tempo', 'vida', 'vou', 'viver']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=Detalhes&apikey=dc668952146a4a25b6d06586e7b69708,exact,
JuventudeTransviada,LuizMelodia,"['lava', 'roupa', 'todo', 'dia', 'agonia', 'na', 'quebrada', 'soleira', 'chovia', 'até', 'sonhar', 'madrugada', 'moça', 'mancada', 'uma', 'mulher', 'deve', 'vacilar', 'eu', 'entendo', 'juventude', 'transviada', 'auxílio', 'luxuoso', 'pandeiro', 'até', 'sonhar', 'madrugada', 'moça', 'mancada', 'uma', 'mulher', 'deve', 'vacilar', 'cada', 'cara', 'representa', 'mentira', 'nascimento', 'vida', 'morte', 'diria', 'até', 'sonhar', 'madrugada', 'moça', 'mancada', 'uma', 'mulher', 'deve', 'vacilar', 'hoje', 'pode', 'transformar', 'diria', 'juventude', 'um', 'dia', 'vai', 'chorar', 'vejo', 'claras', 'fantasias']",PT-BR,https://api.vagalume.com.br/search.php?art= Luiz Melodia &mus=Juventude-Transviada&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
Amigo,RobertoCarloseErasmoCarlos,"['você', 'amigo', 'fé', 'irmão', 'camarada', 'amigo', 'tantos', 'caminhos', 'tantas', 'jornadas', 'cabeça', 'homem', 'coração', 'menino', 'aquele', 'lado', 'qualquer', 'caminhada', 'me', 'lembro', 'todas', 'lutas', 'bom', 'companheiro', 'você', 'tantas', 'vezes', 'provou', 'grande', 'guerreiro', 'o', 'coração', 'casa', 'portas', 'abertas', 'amigo', 'certo', 'horas', 'incertas', 'às', 'vezes', 'certos', 'momentos', 'difíceis', 'vida', 'precisamos', 'alguém', 'pra', 'ajudar', 'saída', 'palavra', 'força', 'fé', 'carinho', 'me', 'dá', 'certeza', 'nunca', 'sozinho', 'você', 'amigo', 'fé', 'irmão', 'camarada', 'sorriso', 'abraço', 'festivo', 'chegada', 'você', 'diz', 'verdades', 'frases', 'abertas', 'amigo', 'certo', 'horas', 'incertas', 'não', 'preciso', 'dizer', 'tudo', 'digo', 'mas', 'bom', 'saber', 'que', 'amigo', 'não', 'preciso', 'dizer', 'tudo', 'digo', 'mas', 'bom', 'saber', 'que', 'grande', 'amigo', 'não', 'preciso', 'dizer', 'tudo', 'digo', 'mas', 'bom', 'saber', 'que', 'amigo', 'não', 'preciso', 'dizer', 'tudo', 'digo', 'mas', 'bom', 'saber', 'que', 'grande', 'amigo']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos e Erasmo Carlos &mus=Amigo&apikey=dc668952146a4a25b6d06586e7b69708,exact,
OBêbadoeAEquilibrista,ElisRegina,"['caía', 'tarde', 'feito', 'viaduto', 'bêbado', 'trajando', 'luto', 'me', 'lembrou', 'carlitos', 'lua', 'tal', 'dona', 'bordel', 'pedia', 'cada', 'estrela', 'fria', 'um', 'brilho', 'aluguel', 'nuvens', 'lá', 'mata-borrão', 'céu', 'chupavam', 'manchas', 'torturadas', 'que', 'sufoco', 'louco', 'o', 'bêbado', 'chapéu-coco', 'fazia', 'irreverências', 'mil', 'pra', 'noite', 'brasil', 'meu', 'brasil', 'que', 'sonha', 'volta', 'do', 'irmão', 'henfil', 'com', 'tanta', 'gente', 'partiu', 'num', 'rabo', 'foguete', 'chora', 'pátria', 'mãe', 'gentil', 'choram', 'marias', 'clarices', 'no', 'solo', 'brasil', 'mas', 'sei', 'dor', 'assim', 'pungente', 'não', 'ser', 'inutilmente', 'esperança', 'dança', 'corda', 'bamba', 'de', 'sombrinha', 'cada', 'passo', 'dessa', 'linha', 'pode', 'machucar', 'azar', 'esperança', 'equilibrista', 'sabe', 'show', 'de', 'todo', 'artista', 'tem', 'continuar']",PT-BR,https://api.vagalume.com.br/search.php?art= Elis Regina &mus=O-Bebado-e-A-Equilibrista&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
Nosilênciodamadrugada,LuizAyrão,"['aproveitou', 'silêncio', 'madrugada', 'dizer', 'nada', 'catou', 'os', 'farrapos', 'roupeiro', 'pegou', 'todo', 'dinheiro', 'arribou', 'falsamente', 'aproveitou', 'o', 'silêncio', 'madrugada', 'como', 'ladra', 'realmente', 'roubou', 'todos', 'planos', 'todos', 'anos', 'que', 'vão', 'coração', 'amou', 'pegou', 'violão', 'seresteiro', 'que', 'custei', 'ano', 'inteiro', 'pra', 'pagar', 'prestação', 'pra', 'quero', 'viola', 'se', 'embora', 'levou', 'inspiração', 'aproveitou']",PT-BR,https://api.vagalume.com.br/search.php?art= Luiz Ayrao &mus=No-silencio-da-madrugada&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
RetalhosdeCetim,BenitoDiPaula,"['ensaiei', 'samba', 'ano', 'inteiro', 'comprei', 'surdo', 'tamborim', 'gastei', 'tudo', 'fantasia', 'era', 'queria', 'jurou', 'desfilar', 'pra', 'mim', 'minha', 'escola', 'tão', 'bonita', 'era', 'tudo', 'queria', 'ver', 'retalhos', 'cetim', 'eu', 'dormi', 'ano', 'inteiro', 'jurou', 'desfilar', 'pra', 'mim', 'mas', 'chegou', 'carnaval', 'desfilou', 'eu', 'chorei', 'avenida', 'chorei', 'não', 'pensei', 'mentia', 'cabrocha', 'que', 'tanto', 'amei']",PT-BR,https://api.vagalume.com.br/search.php?art= Benito Di Paula &mus=Retalhos-de-Cetim&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
IluAyê,ClaraNunes,"['ilu', 'ayê', 'ilu', 'ayê', 'odara', 'negro', 'cantava', 'nação', 'nagô', 'depois', 'chorou', 'lamentos', 'senzala', 'tão', 'longe', 'ilu', 'ayê', 'tempo', 'passou', 'terreirão', 'casa', 'grande', 'negro', 'diz', 'tudo', 'pode', 'dizer', 'é', 'samba', 'batuque', 'reza', 'é', 'dança', 'ladainha', 'negro', 'joga', 'capoeira', 'faz', 'louvação', 'rainha', 'hoje', 'negro', 'terra', 'negro', 'vida', 'na', 'mutação', 'tempo', 'desfilando', 'avenida', 'negro', 'sensacional', 'é', 'toda', 'festa', 'povo', 'é', 'dono', 'carnaval']",PT-BR,https://api.vagalume.com.br/search.php?art= Clara Nunes &mus=Ilu-Aye&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
FoiumRioquepassouemMinhaVida,PaulinhodaViola,"['se', 'dia', 'meu', 'coração', 'consultado', 'para', 'saber', 'andou', 'errado', 'será', 'difícil', 'negar', 'meu', 'coração', 'manias', 'amor', 'amor', 'fácil', 'achar', 'marca', 'desenganos', 'ficou', 'ficou', 'só', 'amor', 'pode', 'apagar', 'marca', 'desenganos', 'ficou', 'ficou', 'só', 'amor', 'pode', 'apagar', 'porém', 'ai', 'porém', 'há', 'caso', 'diferente', 'que', 'marcou', 'breve', 'tempo', 'meu', 'coração', 'sempre', 'era', 'dia', 'carnaval', 'carregava', 'tristeza', 'não', 'pensava', 'novo', 'amor', 'quando', 'alguém', 'lembro', 'anunciou', 'portela', 'portela', 'o', 'samba', 'trazendo', 'alvorada', 'meu', 'coração', 'conquistou', 'ai', 'portela', 'quando', 'vi', 'passar', 'senti', 'coração', 'apressado', 'todo', 'corpo', 'tomado', 'alegria', 'voltar', 'não', 'posso', 'definir', 'azul', 'não', 'céu', 'nem', 'mar', 'foi', 'rio', 'passou', 'minha', 'vida', 'coração', 'deixou', 'levar', 'foi', 'rio', 'passou', 'minha', 'vida']",PT-BR,https://api.vagalume.com.br/search.php?art= Paulinho da Viola &mus=Foi-um-Rio-que-passou-em-Minha-Vida&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
MoroOndeNãoMoraNinguém,Agepê,"['moro', 'onde', 'mora', 'ninguém', 'onde', 'passa', 'ninguém', 'onde', 'vive', 'ninguém', 'é', 'lá', 'onde', 'moro', 'que', 'sinto', 'bem', 'moro', 'onde', 'moro', 'moro', 'onde', 'mora', 'ninguém', 'onde', 'passa', 'ninguém', 'onde', 'vive', 'ninguém', 'é', 'lá', 'onde', 'moro', 'que', 'sinto', 'bem', 'moro', 'onde', 'moro', 'moro', 'onde', 'mora', 'ninguém', 'onde', 'passa', 'ninguém', 'onde', 'vive', 'ninguém', 'é', 'lá', 'onde', 'moro', 'que', 'sinto', 'bem', 'não', 'bloco', 'rua', 'não', 'carnaval', 'mas', 'saio', 'lá', 'meu', 'passarinho', 'canta', 'linda', 'cantiga', 'coisas', 'linda', 'vem', 'lado', 'lá', 'coisas', 'linda', 'vem', 'lado', 'lá', 'moro', 'onde', 'moro', 'moro', 'moro', 'onde', 'mora', 'ninguém', 'onde', 'passa', 'ninguém', 'onde', 'vive', 'ninguém', 'é', 'lá', 'onde', 'moro', 'que', 'sinto', 'bem', 'uma', 'casinha', 'branca', 'no', 'alto', 'serra', 'um', 'coqueiro', 'lado', 'um', 'cachorro', 'magro', 'amarrado', 'um', 'fogão', 'lenha', 'todo', 'enfumaçado', 'é', 'lá', 'onde', 'moro', 'aonde', 'passa', 'ninguém', 'é', 'lá', 'vivo', 'guerra', 'é', 'lá', 'sinto', 'bem', 'é', 'lá', 'onde', 'moro', 'aonde', 'passa', 'ninguém', 'é', 'lá', 'vivo', 'guerra', 'é', 'lá', 'sinto', 'bem', 'moro', 'onde', 'moro', 'moro', 'onde', 'mora', 'ninguém', 'onde', 'passa', 'ninguém', 'onde', 'vive', 'ninguém', 'é', 'lá', 'onde', 'moro', 'que', 'sinto', 'bem', 'moro', 'onde', 'moro', 'moro', 'moro', 'onde', 'mora', 'ninguém', 'onde', 'passa', 'ninguém', 'onde', 'vive', 'ninguém', 'é', 'lá', 'onde', 'moro', 'que', 'sinto', 'bem', 'moro', 'onde', 'moro']",PT-BR,https://api.vagalume.com.br/search.php?art= Agepe &mus=Moro-Onde-Nao-Mora-Ninguem&apikey=dc668952146a4a25b6d06586e7b69708,GoogleSearch OK,
Outravez,RobertoCarlos,"['você', 'maior', 'casos', 'de', 'todos', 'abraços', 'o', 'nunca', 'esqueci', 'você', 'amores', 'o', 'complicado', 'simples', 'pra', 'mim', 'você', 'melhor', 'erros', 'estranha', 'história', 'que', 'alguém', 'escreveu', 'outras', 'que', 'saudade', 'faz', 'lembrar', 'de', 'tudo', 'outra', 'vez', 'você', 'mentira', 'sincera', 'brincadeira', 'séria', 'aconteceu', 'você', 'o', 'caso', 'antigo', 'o', 'amor', 'amigo', 'apareceu', 'das', 'lembranças', 'trago', 'vida', 'você', 'saudade', 'gosto', 'ter', 'só', 'assim', 'sinto', 'bem', 'perto', 'mim', 'outra', 'vez', 'esqueci', 'tentar', 'esquecer', 'resolvi', 'querer', 'querer', 'decidi', 'lembrar', 'quantas', 'vezes', 'vontade', 'sem', 'nada', 'perder', 'você', 'toda', 'felicidade', 'você', 'maldade', 'fez', 'bem', 'você', 'o', 'melhor', 'planos', 'maior', 'enganos', 'pude', 'fazer', 'das', 'lembranças', 'trago', 'vida', 'você', 'saudade', 'gosto', 'ter', 'só', 'assim', 'sinto', 'bem', 'perto', 'mim', 'outra', 'vez']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=Outra-vez&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
