Music,Artist,Text,Language,Url,Search Status,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
CaetanoVeloso,Sozinho,"['às', 'vezes', 'silêncio', 'noite', 'eu', 'fico', 'imaginando', 'dois', 'eu', 'fico', 'ali', 'sonhando', 'acordado', 'juntando', 'antes', 'agora', 'por', 'deixa', 'tão', 'solto', 'por', 'cola', 'mim', 'sentindo', 'sozinho', 'não', 'quero', 'ser', 'dono', 'é', 'carinho', 'vezes', 'cai', 'bem', 'eu', 'segredos', 'planos', 'secretos', 'abro', 'pra', 'ninguém', 'por', 'esquece', 'some', 'interessar', 'alguém', 'repente', 'ganha', 'quando', 'gente', 'gosta', 'claro', 'gente', 'cuida', 'fala', 'ama', 'boca', 'pra', 'ou', 'engana', 'madura', 'onde', 'agora', 'quando', 'gente', 'gosta', 'claro', 'gente', 'cuida', 'fala', 'ama', 'boca', 'pra', 'ou', 'engana', 'madura', 'ei', 'ei', 'ei', 'onde', 'agora']",PT-BR,https://api.vagalume.com.br/search.php?art= Sozinho &mus=Caetano-Veloso&apikey=dc668952146a4a25b6d06586e7b69708,GoogleSearch OK,,,,,,,,,,,,,,
GarotaNacional,Skank,"['aqui', 'nesse', 'mundinho', 'fechado', 'incrível', 'com', 'vestidinho', 'preto', 'indefectível', 'eu', 'detesto', 'jeito', 'pensando', 'bem', 'ela', 'fecha', 'sonhos', 'ninguém', 'uh', 'beat', 'it', 'laun', 'daun', 'daun', 'beat', 'it', 'loom', 'dap´n', 'daun', 'beat', 'it', 'laun', 'baun', 'baun', 'conhece', 'ti', 'conheço', 'bem', 'sou', 'qualquer', 'vulgar', 'bem', 'vezes', 'esqueço', 'finjo', 'finjo', 'ignorar', 'sei', 'que', 'domina', 'primeiro', 'olhar', 'uh', 'beat', 'it', 'laun', 'daun', 'daun', 'beat', 'it', 'loom', 'dap´n', 'daun', 'beat', 'it', 'laun', 'baun', 'baun', 'eu', 'quero-te', 'provar', 'medo', 'amor', 'oh', 'quero-te', 'provar', 'porque', 'derrama', 'banquete', 'palacete', 'um', 'anjo', 'vestido', 'libido', 'cacete', 'ela', 'tão', 'tão', 'vistosa', 'talvez', 'mentira', 'quem', 'dera', 'cara', 'fôsse', 'sucupira', 'conhece', 'ti', 'conheço', 'bem', 'sou', 'qualquer', 'vulgar', 'bem', 'vezes', 'esqueço', 'finjo', 'finjo', 'ignorar', 'sei', 'que', 'domina', 'primeiro', 'olhar', 'uh', 'beat', 'it', 'laun', 'daun', 'daun', 'beat', 'it', 'loom', 'dap´n', 'daun', 'beat', 'it', 'laun', 'baun', 'baun', 'eu', 'quero', 'provar', 'sem', 'medo', 'amor', 'quero', 'provar', 'eu', 'quero', 'provar', 'cozida', 'vapor', 'quero', 'provar']",PT-BR,https://api.vagalume.com.br/search.php?art= Skank &mus=Garota-Nacional&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
Evidências,ChitãozinhoeXororó,"['quando', 'digo', 'deixei', 'amar', 'é', 'porque', 'amo', 'quando', 'digo', 'quero', 'é', 'porque', 'quero', 'eu', 'medo', 'dar', 'coração', 'confessar', 'mãos', 'mas', 'posso', 'imaginar', 'vai', 'ser', 'mim', 'se', 'perder', 'dia', 'eu', 'afasto', 'defendo', 'mas', 'entrego', 'faço', 'tipo', 'falo', 'coisas', 'mas', 'nego', 'mas', 'verdade', 'louco', 'medo', 'pensar', 'perder', 'eu', 'preciso', 'aceitar', 'dá', 'pra', 'separar', 'vidas', 'nessa', 'loucura', 'dizer', 'quero', 'vou', 'negando', 'aparências', 'disfarçando', 'evidências', 'mas', 'pra', 'viver', 'fingindo', 'se', 'posso', 'enganar', 'coração', 'eu', 'sei', 'amo', 'chega', 'mentiras', 'negar', 'desejo', 'eu', 'quero', 'tudo', 'eu', 'preciso', 'beijo', 'eu', 'entrego', 'vida', 'pra', 'fazer', 'quiser', 'mim', 'só', 'quero', 'ouvir', 'dizer', 'sim', 'diz', 'verdade', 'saudade', 'que', 'ainda', 'pensa', 'mim', 'diz', 'verdade', 'saudade', 'que', 'ainda', 'quer', 'viver', 'pra', 'mim']",PT-BR,https://api.vagalume.com.br/search.php?art= Chitaozinho e Xororo &mus=Evidencias&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
Quesechamaamor,Sópracontrariar,"['como', 'coisa', 'assim', 'machuca', 'tanto', 'toma', 'conta', 'todo', 'ser', 'é', 'saudade', 'imensa', 'partiu', 'coração', 'é', 'dor', 'funda', 'pessoa', 'pode', 'ter', 'é', 'virus', 'pega', 'mil', 'fantasias', 'num', 'simples', 'toque', 'olhar', 'me', 'sinto', 'tão', 'carente', 'consequência', 'desta', 'dor', 'que', 'nao', 'dia', 'hora', 'pra', 'acabar', 'ai', 'afogo', 'copo', 'cerveja', 'nela', 'solução', 'entao', 'chego', 'casa', 'todo', 'dia', 'embriagado', 'vou', 'enfrentar', 'quarto', 'dormir', 'solidão', '[', 'refrao', ']', 'meu', 'deus', 'eu', 'nao', 'posso', 'enfrentar', 'dor', 'que', 'chama', 'amor', 'tomou', 'conta', 'ser', 'dia-a-dia', 'pouco', 'pouco', 'já', 'ficando', 'louco', 'só', 'causa']",PT-BR,https://api.vagalume.com.br/search.php?art= So pra contrariar &mus=Que-se-chama-amor&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
MinadeFé,OsMorenos,"['eu', 'feliz', 'saber', 'isso', 'revolta', 'tudo', 'fiz', 'querer', 'será', 'volta', 'eu', 'dei', 'valor', 'dediquei', 'ao', 'grande', 'amor', 'como', 'vacilei', 'tô', 'doente', 'saudade', 'tanta', 'curtição', 'tanta', 'liberdade', 'quanta', 'azaração', 'quanta', 'falsidade', 'tô', 'doente', 'saudade', 'eu', 'aprendi', 'vale', 'nada', 'noite', 'farra', 'madrugada', 'eu', 'prometi', 'magoar', 'pode', 'confiar', 'foi', 'preciso', 'perder', 'pra', 'aprender', 'valorizar', 'mina', 'fé', 'mina', 'fé', 'eu', 'preciso', 'entender', 'não', 'deve', 'largar', 'jamais', 'mina', 'fé', 'mina', 'fé']",PT-BR,https://api.vagalume.com.br/search.php?art= Os Morenos &mus=Mina-de-Fe&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
Cadavoltaéumrecomeço,ZezéDiCamargoeLuciano,"['mais', 'vez', 'meu', 'coração', 'esquece', 'tudo', 'fez', 'volto', 'pra', 'amor', 'insano', 'pensar', 'mim', 'pra', 'recomeçar', 'sabendo', 'fim', 'mas', 'paixão', 'coisas', 'paixão', 'explicação', 'é', 'simplesmente', 'entregar', 'deixar', 'acontecer', 'eu', 'sempre', 'acabo', 'envolvendo', 'nesses', 'desencontros', 'insisto', 'encontrar', 'como', 'partisse', 'pensando', 'voltar', 'como', 'fundo', 'pudesse', 'existir', 'ter', 'toda', 'vez', 'volto', 'vejo', 'sempre', 'igual', 'como', 'saudade', 'coisa', 'banal', 'chegando', 'sempre', 'louco', 'pra', 'dizer', 'amo', 'que', 'leve', 'vida', 'coração', 'como', 'versos', 'pra', 'canção', 'volto', 'pra', 'volto', 'amor', 'não', 'importa', 'sonho', 'avesso', 'cada', 'volta', 'recomeço']",PT-BR,https://api.vagalume.com.br/search.php?art= Zeze Di Camargo e Luciano &mus=Cada-volta-e-um-recomeco&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
ViraVira,MamonasAssassinas,"['raios', 'fui', 'convidado', 'pra', 'tal', 'suruba', 'não', 'pude', 'ir', 'maria', 'lugar', 'depois', 'semana', 'voltou', 'pra', 'casa', 'toda', 'arregaçada', 'podia', 'sentar', 'quando', 'vi', 'fiquei', 'assustado', 'maria', 'chorando', 'começou', 'explicar', 'daí', 'então', 'fiquei', 'aliviado', 'dei', 'graças', 'deus', 'porque', 'lugar', 'refrão', 'roda-roda', 'vira', 'solta', 'roda', 'vem', 'me', 'passaram', 'mão', 'bunda', 'ainda', 'comi', 'ninguém', 'roda-roda', 'vira', 'solta', 'roda', 'vem', 'neste', 'raio', 'suruba', 'passaram', 'mão', 'bunda', 'ainda', 'comi', 'ninguém', 'oh', 'manoel', 'olha', 'cá', 'tu', 'imaginas', 'sofrendo', 'uma', 'teta', 'negão', 'arrancou', 'outra', 'sobrou', 'doendo', 'ôô', 'maria', 'vê', 'larga', 'frescura', 'eu', 'levo', 'hospital', 'manhã', 'tu', 'ficaste', 'tão', 'bonita', 'monoteta', 'mais', 'vale', 'mão', 'dois', 'sutiã', 'roda-roda', 'vira', 'solta', 'roda', 'vem', 'me', 'passaram', 'mão', 'bunda', 'ainda', 'comi', 'ninguém', 'roda-roda', 'vira', 'solta', 'roda', 'vem', 'neste', 'raio', 'suruba', 'passaram', 'mão', 'bunda', 'ainda', 'comi', 'ninguém', 'bate', 'pé', 'arrota', 'bate', 'pé', 'ôô', 'maria', 'suruba', 'excita', 'arrebita', 'arrebita', 'arrebita', 'então', 'vai', 'fazer', 'amor', 'cabrita', 'arrebita', 'arrebita', 'arrebita', 'mas', 'maria', 'bom', 'exercita', 'bate', 'pé', 'arrebita', 'arrebita', 'manoel', 'cabeça', 'titica', 'larga', 'putaria', 'vai', 'cuidar', 'padaria', 'roda-roda', 'vira', 'solta', 'roda', 'vem', 'me', 'passaram', 'mão', 'bunda', 'ainda', 'comi', 'ninguém', 'roda-roda', 'vira', 'solta', 'roda', 'vem', 'neste', 'raio', 'suruba', 'passaram', 'mão', 'bunda', 'ainda', 'comi', 'ninguém', 'vamos', 'lá', 'dançando', 'raios', 'todo', 'mundo', 'comigo', 'ueu', 'ueu', 'ueu', 'maria', 'deu', 'mal', 'vamos', 'lá', 'ai', 'dói']",PT-BR,https://api.vagalume.com.br/search.php?art= Mamonas Assassinas &mus=Vira-Vira&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
Palpite,VanessaRangel,"['tô', 'saudades', 'debaixo', 'cobertor', 'de', 'arrancar', 'suspiros', 'fazer', 'amor', 'tô', 'saudades', 'varanda', 'noite', 'quente', 'arrepio', 'frio', 'dá', 'gente', 'truque', 'desejo', 'guardo', 'boca', 'gosto', 'beijo', 'eu', 'sinto', 'falta', 'sinto', 'aí', 'será', 'volta', 'tudo', 'volta', 'triste', 'aí', 'o', 'amor', 'pode', 'acontecer', 'novo', 'pra', 'palpite', 'tô', 'saudades', 'banho', 'chuva', 'do', 'calor', 'pele', 'língua', 'tô', 'saudades', 'censurando', 'vestido', 'as', 'juras', 'amor', 'pé', 'ouvido', 'truque', 'desejo', 'guardo', 'boca', 'gosto', 'beijo', 'eu', 'sinto', 'falta', 'sinto', 'aí', 'será', 'volta', 'tudo', 'volta', 'triste', 'aí', 'o', 'amor', 'pode', 'acontecer', 'novo', 'pra', 'palpite']",PT-BR,https://api.vagalume.com.br/search.php?art= Vanessa Rangel &mus=Palpite&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
PraFalarAVerdade,Daniel,"['um', 'amigo', 'falou', 'que', 'poeira', 'vai', 'baixar', 'que', 'qualquer', 'carinho', 'novo', 'põe', 'coisas', 'lugar', 'que', 'falta', 'tende', 'desaparecer', 'distância', 'faz', 'gente', 'esquecer', 'que', 'amargo', 'solidão', 'que', 'corta', 'coração', 'de', 'repente', 'vão', 'embora', 'feito', 'chuva', 'verão', 'que', 'pranto', 'vai', 'secar', 'vou', 'acostumar', 'que', 'tempestade', 'logo', 'vai', 'passar', 'pra', 'falar', 'verdade', 'realidade', 'é', 'pra', 'amor', 'desencantou', 'bis', 'só', 'caso', 'saiu', 'tudo', 'errado', 'se', 'tempo', 'apaga', 'dessa', 'vez', 'apagou']",PT-BR,https://api.vagalume.com.br/search.php?art= Daniel &mus=Pra-Falar-A-Verdade&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
PeladosemSantos,MamonasAssassinas,"['mina', 'seus', 'cabelo', 'hora', 'seu', 'corpão', 'violão', 'meu', 'docinho', 'coco', 'tá', 'deixando', 'louco', 'minha', 'brasília', 'amarela', 'tá', 'portas', 'abertas', 'pra', 'mode', 'gente', 'amar', 'pelados', 'santos', 'pois', 'pitxula', 'me', 'deixa', 'legalzão', 'não', 'sinto', 'sozinho', 'você', 'chuchuzinho', 'music', 'is', 'very', 'good', 'oxente', 'ai', 'ai', 'ai', 'mas', 'comigo', 'quer', 'casar', 'na', 'brasília', 'amarela', 'roda', 'gaúcha', 'ela', 'quer', 'entrar', 'feijão', 'jabá', 'desgraçada', 'quer', 'compartilhar', 'mas', 'linda', 'muito', 'linda', 'very', 'very', 'beautiful', 'você', 'deixa', 'doidão', 'meu', 'docinho', 'coco', 'music', 'is', 'very', 'porreta', 'oxente', 'paraguai', 'pro', 'paraguai', 'quis', 'viajar', 'comprei', 'reebok', 'calça', 'fiorucci', 'ela', 'quer', 'usar', 'eu', 'sei', 'faço', 'pra', 'mulher', 'conquistar', 'por', 'linda', 'muito', 'linda', 'very', 'very', 'beautiful', 'você', 'deixa', 'doidão', 'meu', 'chuchuzinho', 'eu', 'i', 'love', 'youuuuu', 'perai', 'pouquinho', 'u', 'uuuuuuuuuuuu']",PT-BR,https://api.vagalume.com.br/search.php?art= Mamonas Assassinas &mus=Pelados-em-Santos&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
