Music,Artist,Text
Seeunãoteamassetantoassim,IveteSangalo,"['coração', 'direção', 'voando', 'voar', 'saber', 'onde', 'chegar', 'sonhando', 'encontrar', 'estrelas', 'hoje', 'descobri', 'olhar', 'estrelas', 'vão', 'guiar', 'amasse', 'tanto', 'assim', 'talvez', 'perdesse', 'sonhos', 'dentro', 'mim', 'vivesse', 'escuridão', 'amasse', 'tanto', 'assim', 'talvez', 'visse', 'flores', 'onde', 'vi', 'dentro', 'coração', 'hoje', 'sei', 'amei', 'vento', 'temporal', 'além', 'tempo', 'vendaval', 'desejos', 'beijo', 'jamais', 'provei', 'igual', 'estrelas', 'dão', 'sinal', 'amasse', 'tanto', 'assim', 'talvez', 'perdesse', 'sonhos', 'dentro', 'mim', 'vivesse', 'escuridão', 'amasse', 'tanto', 'assim', 'talvez', 'visse', 'flores', 'onde', 'vi', 'dentro', 'coração']"
QuemDeNósDois,AnaCarolina,"['assim', 'tão', 'complicado', 'difícil', 'perceber', 'doi', 'vai', 'dizer', 'impossível', 'amor', 'acontecer', 'disser', 'sinto', 'nada', 'estrada', 'segura', 'sei', 'vai', 'rir', 'cara', 'conheço', 'sorriso', 'leio', 'olhar', 'sorriso', 'disfarce', 'preciso', 'sinto', 'dizer', 'amo', 'tá', 'ruim', 'pra', 'disfarçar', 'doi', 'cabe', 'nenhum', 'segredo', 'além', 'combinamos', 'vão', 'coisas', 'gente', 'disse', 'cabe', 'sermos', 'somente', 'amigo', 'falo', 'quero', 'frase', 'fica', 'avesso', 'meio', 'contra', 'mão', 'finjo', 'esqueço', 'esqueci', 'nada', 'cada', 'vez', 'fujo', 'aproximo', 'perder', 'vista', 'assim', 'ruim', 'demais', 'atravesso', 'futuro', 'faço', 'lembranças', 'lugar', 'seguro', 'queira', 'reviver', 'nenhum', 'passado', 'revirar', 'sentimento', 'revirado', 'toda', 'vez', 'procuro', 'saída', 'acabo', 'entrando', 'querer', 'vida', 'procurei', 'qualquer', 'desculpa', 'pra', 'encarar', 'pra', 'dizer', 'novo', 'sempre', 'mesma', 'coisa', 'falar', 'falar', 'tô', 'aí', 'pra', 'conversa', 'história', 'doi', 'interessa', 'tento', 'esconder', 'meias', 'verdades', 'conhece', 'sorriso', 'lê', 'olhar', 'sorriso', 'disfarce', 'preciso', 'cada', 'vez', 'fujo', 'aproximo', 'perder', 'vista', 'assim', 'ruim', 'demais', 'atravesso', 'futuro', 'faço', 'lembranças', 'lugar', 'seguro', 'queira', 'reviver', 'nenhum', 'passado', 'revirar', 'sentimento', 'revirado', 'toda', 'vez', 'procuro', 'saída', 'acabo', 'entrando', 'querer', 'vida']"
Tribalistas,VelhaInfância,"['assim', 'sonho', 'pra', 'mim', 'vejo', 'penso', 'desde', 'amanhecer', 'deito', 'gosto', 'gosto', 'ficar', 'riso', 'tão', 'feliz', 'contigo', 'melhor', 'amigo', 'amor', 'gente', 'canta', 'gente', 'dança', 'gente', 'cansa', 'ser', 'criança', 'gente', 'brinca', 'velha', 'infância', 'gosto', 'gosto', 'ficar', 'riso', 'tão', 'feliz', 'contigo', 'melhor', 'amigo', 'amor', 'gente', 'canta', 'gente', 'dança', 'gente', 'cansa', 'ser', 'criança', 'gente', 'brinca', 'velha', 'infância', 'olhos', 'clarão', 'guiam', 'dentro', 'escuridão', 'pés', 'abrem', 'caminho', 'sigo', 'nunca', 'sinto', 'assim', 'sonho', 'pra', 'mim', 'assim', 'assim', 'sonho', 'pra', 'mim', 'assim', 'assim', 'sonho', 'pra', 'mim', 'assim', 'assim', 'sonho', 'pra', 'mim', 'assim', 'assim', 'sonho', 'pra', 'mim', 'assim']"
FuiEu,ZezéDiCamargoeLuciano,"['dia', 'noite', 'espero', 'alguém', 'mundo', 'quis', 'dei', 'sonhos', 'sonhei', 'imaginei', 'pra', 'vida', 'inteira', 'alguém', 'fez', 'tudo', 'diz', 'agora', 'faço', 'pra', 'viver', 'cada', 'dia', 'difícil', 'esquecer', 'tudo', 'faz', 'doer', 'demais', 'queria', 'voltar', 'atrás', 'ficar', 'contigo', 'diz', 'agora', 'faço', 'pra', 'aceitar', 'existe', 'outra', 'pessoa', 'lugar', 'tempo', 'vai', 'convencer', 'dia', 'vai', 'reconhecer', 'mim', 'pode', 'viver', 'yeh', 'yeh', 'yeah', 'yeah', 'sentimento', 'dói', 'dentro', 'solidão', 'quer', 'parar', 'machucar', 'sentimento', 'dói', 'dentro', 'coração', 'quer', 'ninguém', 'lugar', 'dei', 'sonhos', 'sonhei', 'imaginei', 'pra', 'vida', 'inteira', 'alguém', 'fez', 'tudo', 'diz', 'agora', 'faço', 'pra', 'viver', 'cada', 'dia', 'difícil', 'esquecer', 'tudo', 'faz', 'doer', 'demais', 'queria', 'voltar', 'atrás', 'ficar', 'contigo', 'diz', 'agora', 'faço', 'pra', 'aceitar', 'existe', 'outra', 'pessoa', 'lugar', 'tempo', 'vai', 'convencer', 'dia', 'vai', 'reconhecer', 'mim', 'pode', 'viver', 'sentimento', 'dói', 'dentro', 'solidão', 'quer', 'parar', 'machucar', 'sentimento', 'dói', 'dentro', 'coração', 'quer', 'ninguém', 'lugar', 'sentimento', 'dói', 'dentro', 'dói', 'dentro', 'solidão', 'quer', 'parar', 'machucar', 'sentimento', 'dói', 'dentro', 'coração', 'quer', 'ninguém', 'lugar', 'sentimento', 'sentimento', 'dói', 'dentro', 'dói', 'dentro', 'solidão', 'quer', 'parar', 'machucar', 'quer', 'parar', 'machucar', 'sentimento', 'dói', 'dentro', 'coração', 'quer', 'ninguém', 'lugar']"
NossoAmoréOuro/PãodeMel,ZezéDiCamargoeLuciano,"['amor', 'ouro', 'joia', 'rara', 'ver', 'chuva', 'sonhos', 'coloridos', 'prazer', 'desejo', 'paixão', 'querer', 'coração', 'boca', 'sorriso', 'olhar', 'suor', 'pele', 'música', 'ar', 'doi', 'ninho', 'entregues', 'sabor', 'amar', 'amor', 'sangue', 'coração', 'sonho', 'jamais', 'quero', 'acordar', 'apaixonadamente', 'apaixonados', 'peixe', 'mar', 'semente', 'chão', 'arca', 'tesouro', 'amor', 'forte', 'diamante', 'amor', 'ouro', 'agora', 'assim', 'ó', 'coração', 'boca', 'sorriso', 'olhar', 'suor', 'pele', 'música', 'ar', 'doi', 'ninho', 'entregues', 'sabor', 'amar', 'amor', 'sangue', 'coração', 'sonho', 'jamais', 'quero', 'acordar', 'apaixonadamente', 'apaixonados', 'peixe', 'mar', 'semente', 'chão', 'arca', 'tesouro', 'amor', 'forte', 'diamante', 'amor', 'ouro', 'amor', 'sangue', 'coração', 'sonho', 'jamais', 'quero', 'acordar', 'apaixonadamente', 'apaixonados', 'peixe', 'mar', 'semente', 'chão', 'arca', 'tesouro', 'amor', 'forte', 'diamante', 'amor', 'ouro', 'amor', 'forte', 'diamante', 'amor', 'ouro', 'continuum', 'mãos', 'pra', 'cima', 'balanço', 'galera', 'lá', 'cima', 'quero', 'ver', 'vem', 'vem', 'hey', 'hey', 'hey', 'luz', 'estrada', 'caminho', 'sei', 'andar', 'sozinho', 'tão', 'dependente', 'chama', 'alimenta', 'fogo', 'paixão', 'chuva', 'molhou', 'coração', 'tão', 'dependente', 'vem', 'céu', 'pão', 'mel', 'bem', 'querer', 'canta', 'paulo', 'vai', 'vem', 'céu', 'pão', 'mel', 'bem', 'querer', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'bom', 'demais', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'marcou', 'demais', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'ficou', 'mim', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'vai', 'ter', 'fim', 'balanço', 'cadê', 'luz', 'estrada', 'caminho', 'sei', 'andar', 'sozinho', 'tão', 'dependente', 'chama', 'alimenta', 'fogo', 'paixão', 'chuva', 'molhou', 'coração', 'tão', 'dependente', 'vem', 'céu', 'pão', 'mel', 'bem', 'querer', 'vem', 'céu', 'pão', 'mel', 'bem', 'querer', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'bom', 'demais', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'marcou', 'demais', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'ficou', 'mim', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'vai', 'ter', 'fim', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'bom', 'demais', 'ai', 'ai', 'ai', 'ai', 'ai', 'amor', 'marcou', 'demais', 'ai', 'ai', 'ai', 'ai', 'amor', 'amor', 'ficou', 'mim', 'ai', 'ai', 'ai', 'ai', 'amor', 'amor', 'vai', 'ter', 'fim', 'amor', 'vai', 'ter', 'fim', 'amor', 'vai', 'ter', 'fim']"
ToquedeMágica,PedroeThiago,"['noite', 'chegar', 'tô', 'pensando', 'sol', 'acordar', 'tô', 'pensando', 'coração', 'chorar', 'tô', 'pensando', 'amor', 'encontrar', 'tô', 'pensando', 'olha', 'pra', 'mim', 'tente', 'entender', 'vou', 'esquecer', 'vou', 'parar', 'mundo', 'pra', 'toda', 'estrelas', 'trazer', 'toque', 'magica', 'baby', 'vou', 'rodar', 'mundo', 'pra', 'encontrar', 'sonho', 'lindo', 'pra', 'dar', 'toque', 'magica', 'baby']"
Amoriloveyou,MarisaMonte,"['deixa', 'dizer', 'amo', 'deixa', 'pensar', 'acalma', 'acolhe', 'alma', 'ajuda', 'viver', 'hoje', 'contei', 'pras', 'paredes', 'coisas', 'coração', 'passeei', 'tempo', 'caminhei', 'horas', 'passo', 'paixão', 'espelho', 'razão', 'quer', 'amor', 'fique', 'aqui', 'deixa', 'dizer', 'amo', 'deixa', 'gostar', 'acalma', 'acolhe', 'alma', 'ajuda', 'viver', 'hoje', 'contei', 'pras', 'paredes', 'coisas', 'coração', 'passeei', 'tempo', 'caminhei', 'horas', 'passo', 'paixão', 'espelho', 'razão', 'quer', 'amor', 'fique', 'aqui', 'peito', 'agora', 'dispara', 'vivo', 'constante', 'alegria', 'amor', 'aqui', 'amor', 'i', 'love', 'you', 'amor', 'i', 'love', 'you', 'amor', 'i', 'love', 'you', 'amor', 'i', 'love', 'you', 'bi', 'suspirado', 'beijado', 'papel', 'devotamente', 'primeira', 'vez', 'escreviam', 'sentimentalidades', 'orgulho', 'dilatava-se', 'calor', 'amoroso', 'saia', 'corpo', 'ressequido', 'estira', 'banho', 'tépido', 'sentia', 'acréscimo', 'estima', 'si', 'mesma', 'parecia-lhe', 'entrava', 'enfim', 'existência', 'superiormente', 'interessante', 'onde', 'cada', 'hora', 'intuito', 'diferente', 'cada', 'passo', 'conduzia', 'êxtase', 'alma', 'cobria', 'luxo', 'radioso', 'sensações', 'amor', 'i', 'love', 'you', 'amor', 'i', 'love', 'you', 'amor', 'i', 'love', 'you', 'amor', 'i', 'love', 'you', 'bi']"
Tõnemai,Luka,"['mãos', 'atadas', 'pés', 'descalços', 'mundo', 'andava', 'pernas', 'pro', 'ar', 'sempre', 'armada', 'segui', 'passos', 'atei', 'braços', 'pra', 'abandonar', 'lembro', 'nome', 'telefone', 'fiz', 'questão', 'apagar', 'aceitei', 'erros', 'reinventei', 'virei', 'página', 'agora', 'tô', 'outra', 'tô', 'aí', 'tô', 'aí', 'pode', 'ficar', 'mundinho', 'tô', 'aí', 'tô', 'aí', 'tô', 'aí', 'vem', 'falar', 'problemas', 'vou', 'ouvir', 'boca', 'fechada', 'embaraços', 'dei', 'toda', 'chance', 'ser', 'bom', 'rapaz', 'vencida', 'cansaço', 'amor', 'enterrado', 'descansa', 'paz', 'lembro', 'nome', 'telefone', 'fiz', 'questão', 'apagar', 'aceitei', 'erros', 'reinventei', 'virei', 'página', 'agora', 'tô', 'outra', 'tô', 'aí', 'tô', 'aí', 'pode', 'ficar', 'mundinho', 'tô', 'aí', 'tô', 'aí', 'tô', 'aí', 'vem', 'falar', 'problemas', 'vou', 'ouvir', 'tô', 'aí', 'tô', 'aí', 'pode', 'ficar', 'mundinho', 'to', 'aí', 'tô', 'aí', 'tô', 'aí', 'vem', 'falar', 'problemas', 'vou', 'ouvir']"
VouDeixar,Skank,"['vou', 'deixar', 'vida', 'levar', 'pra', 'onde', 'quiser', 'lugar', 'sabe', 'onde', 'conte', 'tempo', 'doi', 'poi', 'qualquer', 'hora', 'posso', 'estar', 'volta', 'noite', 'terminar', 'vou', 'deixar', 'vida', 'levar', 'pra', 'onde', 'quiser', 'seguir', 'direção', 'estrela', 'qualquer', 'quero', 'hora', 'pra', 'voltar', 'conheço', 'bem', 'solidão', 'solta', 'deixa', 'sorte', 'buscar', 'estrada', 'sozinho', 'enxergo', 'nada', 'vou', 'ficar', 'aqui', 'dia', 'amanheça', 'vou', 'esquecer', 'mim', 'puder', 'esqueça', 'vou', 'deixar', 'coração', 'bater', 'madrugada', 'fim', 'deixar', 'sol', 'ver', 'ajoelhada', 'mim', 'sim', 'hora', 'pra', 'voltar', 'agradeço', 'tanto', 'escolta', 'deixa', 'noite', 'terminar', 'estrada', 'sozinho', 'enxergo', 'nada', 'vou', 'ficar', 'aqui', 'dia', 'amanheça', 'vou', 'esquecer', 'mim', 'puder', 'esqueça', 'quero', 'hora', 'pra', 'voltar', 'conheço', 'bem', 'solidão', 'solta', 'deixa', 'sorte', 'buscar', 'hora', 'pra', 'voltar', 'agradeço', 'tanto', 'escolta', 'deixa', 'noite', 'terminar']"
OSol,JotaQuest,"['ei', 'dor', 'escuto', 'lev', 'nada', 'ei', 'medo', 'escuto', 'lev', 'nada', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'ei', 'dor', 'escuto', 'lev', 'nada', 'ei', 'medo', 'escuto', 'lev', 'nada', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'pra', 'lá', 'vou', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'pra', 'lá', 'vou', 'yeah', 'caminho', 'sol', 'baby', 'naranara', 'laralara', 'caminho', 'sol', 'baby', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'pra', 'lá', 'vou', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'pra', 'lá', 'vou', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'pra', 'lá', 'vou', 'quiser', 'saber', 'pra', 'onde', 'vou', 'pra', 'onde', 'sol', 'pra', 'lá', 'vou', 'pra', 'lá', 'vou', 'naranara', 'laralara', 'pra', 'lá', 'vou', 'lalaralara', 'onde', 'sol', 'pra', 'lá', 'vou']"
