Music,Artist,Text,Unnamed: 3
HumildeResidência,MichelTeló,"['vou', 'esperar', 'aqui', 'vê', 'atende', 'telefone', 'cobrar', 'hoje', 'vou', 'sair', 'porque', 'carro', 'tá', 'quebrado', 'tô', 'podendo', 'gastar', 'chegar', 'aqui', 'dê', 'grito', 'lá', 'frente', 'vou', 'correndo', 'buscar', 'ninguém', 'aqui', 'vou', 'deixar', 'luz', 'acesa', 'passei', 'celular', 'endereço', 'dia', 'vi', 'saí', 'casa', 'tô', 'ligado', 'sempre', 'deu', 'moral', 'dizia', 'amava', 'agora', 'tá', 'mudada', 'formou', 'faculdade', 'cursinho', 'cheguei', 'metade', 'tá', 'diferente', 'vou', 'atrás', 'frente', 'tô', 'louco', 'pra', 'pegar', 'vou', 'esperar', 'humilde', 'residência', 'pra', 'gente', 'fazer', 'amor', 'peço', 'pouquinho', 'paciência', 'cama', 'ta', 'quebrada', 'cobertor']",
VidroFumê,BrunoeMarrone,"['telefonema', 'anonimo', 'voz', 'disfarçada', 'falou', 'sendo', 'traído', 'quis', 'acreditar', 'pensei', 'trote', 'fundo', 'peito', 'desconfiava', 'dessa', 'sorte', 'calor', 'momento', 'loucura', 'pensamento', 'atrás', 'busca', 'verdade', 'segredo', 'sent', 'amor', 'estremecer', 'hora', 'vi', 'entrando', 'carro', 'importado', 'vidro', 'fumê', 'chegou', 'casa', 'tratei', 'naturalmente', 'fiz', 'amor', 'contigo', 'noite', 'inteira', 'lentamente', 'canção', 'despedida', 'verdade', 'diferente', 'última', 'noite', 'amor', 'gente']",
AcordandooPrédio,LuanSantana,"['aonde', 'parar', 'juízo', 'manhã', 'daqui', 'pouco', 'liga', 'síndico', 'moça', 'gritar', 'baixinho', 'sei', 'tá', 'bom', 'paredes', 'ouvido', 'pra', 'ser', 'escondido', 'vamo', 'acordar', 'prédio', 'fazer', 'inveja', 'pro', 'povo', 'enquanto', 'tão', 'indo', 'trabalhar', 'gente', 'faz', 'amor', 'gostoso', 'novo', 'vamo', 'acordar', 'prédio', 'fazer', 'inveja', 'pro', 'povo', 'enquanto', 'tão', 'indo', 'trabalhar', 'gente', 'faz', 'amor', 'gostoso', 'novo', 'novo', 'novo', 'deixa', 'mundo', 'saber', 'baby', 'problemas', 'gente', 'resolve', 'né', 'porque', 'desce', 'lua', 'desce', 'pra', 'ver', 'ganhou', 'agora', 'levar', 'pra', 'aonde', 'parar', 'juízo', 'manhã', 'daqui', 'pouco', 'liga', 'síndico', 'moça', 'gritar', 'baixinho', 'sei', 'tá', 'bom', 'paredes', 'ouvido', 'pra', 'ser', 'escondido', 'vamo', 'acordar', 'prédio', 'fazer', 'inveja', 'pro', 'povo', 'enquanto', 'tão', 'indo', 'trabalhar', 'gente', 'faz', 'amor', 'gostoso', 'novo', 'vamo', 'acordar', 'prédio', 'fazer', 'inveja', 'pro', 'povo', 'enquanto', 'tão', 'indo', 'trabalhar', 'gente', 'faz', 'amor', 'gostoso', 'novo', 'novo', 'novo', 'deixa', 'mundo', 'saber', 'baby', 'problemas', 'gente', 'resolve', 'né', 'porque', 'desce', 'lua', 'desce', 'pra', 'ver', 'ganhou', 'agora', 'levar', 'pra']",
SeuPolícia,ZéNetoeCristiano,"['polícia', 'separei', 'recentemente', 'paixão', 'tô', 'doente', 'senhor', 'entende', 'vizinhos', 'tão', 'reclamando', 'volume', 'som', 'enquanto', 'voltar', 'vou', 'continuar', 'afogando', 'álcool', 'som', 'carro', 'talo', 'manda', 'multa', 'vou', 'pagar', 'enquanto', 'voltar', 'sofrimento', 'mato', 'coração', 'pedaços', 'compreenda', 'favor', 'amor', 'deixou', 'polícia', 'separei', 'recentemente', 'paixão', 'tô', 'doente', 'senhor', 'entende', 'vizinhos', 'tão', 'reclamando', 'volume', 'som', 'enquanto', 'voltar', 'vou', 'continuar', 'afogando', 'álcool', 'som', 'carro', 'talo', 'manda', 'multa', 'vou', 'pagar', 'enquanto', 'voltar', 'sofrimento', 'mato', 'coração', 'pedaços', 'compreenda', 'favor', 'amor', 'deixou', 'afogando', 'álcool', 'som', 'carro', 'talo', 'manda', 'multa', 'vou', 'pagar', 'enquanto', 'voltar', 'sofrimento', 'mato', 'coração', 'pedaços', 'compreenda', 'favor', 'amor', 'deixou']",
Escreveaí,LuanSantana,"['falo', 'tanta', 'coisa', 'enquanto', 'tento', 'segurar', 'lágrima', 'insiste', 'cair', 'entro', 'carro', 'abro', 'vidro', 'ante', 'ir', 'embora', 'digo', 'olha', 'aqui', 'ainda', 'vou', 'esquecer', 'escreve', 'aí', 'chego', 'casa', 'dou', 'cara', 'foto', 'ducha', 'vinho', 'pra', 'acalmar', 'penso', 'vou', 'partir', 'pra', 'outra', 'logo', 'tô', 'tentando', 'enganar', 'tô', 'tentando', 'enganar', 'fazer', 'assim', 'volto', 'fazer', 'assim', 'volto', 'volto', 'amo', 'falo', 'cara', 'tirar', 'mim', 'sobra', 'nada', 'sorriso', 'desmonta', 'inteiro', 'simple', 'estalar', 'dedos', 'talvez', 'deixado', 'ir', 'pra', 'ter', 'gosto', 'ver', 'aqui', 'fraco', 'demais', 'continuar', 'juntando', 'forças', 'pra', 'poder', 'falar', 'volto', 'sorrir', 'volto', 'fazer', 'assim', 'volto', 'volto', 'volto', 'chego', 'casa', 'dou', 'cara', 'foto', 'ducha', 'vinho', 'pra', 'acalmar', 'penso', 'vou', 'partir', 'pra', 'outra', 'logo', 'tô', 'tentando', 'enganar', 'tô', 'tentando', 'enganar', 'fazer', 'assim', 'volto', 'fazer', 'assim', 'volto', 'volto', 'amo', 'falo', 'cara', 'tirar', 'mim', 'sobra', 'nada', 'sorriso', 'desmonta', 'inteiro', 'simple', 'estalar', 'dedos', 'talvez', 'deixado', 'ir', 'pra', 'ter', 'gosto', 'ver', 'aqui', 'fraco', 'demais', 'continuar', 'juntando', 'forças', 'pra', 'poder', 'falar', 'volto', 'sorrir', 'volto', 'fazer', 'assim', 'volto', 'fazer', 'assim', 'volto', 'volto', 'volto']",
ApelidoCarinhoso,GusttavoLima,"['amor', 'segredo', 'gente', 'término', 'recente', 'arrumando', 'revirou', 'sentimento', 'pendente', 'insiste', 'bagunçar', 'mente', 'vai', 'passar', 'dia', 'ainda', 'passou', 'sei', 'poderia', 'ter', 'escolhido', 'alguém', 'menos', 'complicado', 'presente', 'pessoa', 'passado', 'aceitar', 'situação', 'prova', 'amor', 'preciso', 'faça', 'favor', 'ainda', 'chame', 'nego', 'ainda', 'chame', 'bebê', 'porque', 'assim', 'chamava', 'apelido', 'carinhoso', 'difícil', 'esquecer']",
CemMil,GusttavoLima,"['fale', 'nome', 'telefone', 'favor', 'pergunte', 'mim', 'vê', 'esquece', 'some', 'ver', 'longe', 'viro', 'cara', 'finjo', 'vi', 'vou', 'mentir', 'tá', 'doendo', 'lá', 'fundo', 'consigo', 'dormir', 'vamos', 'fazer', 'assim', 'melhor', 'procurar', 'porque', 'morro', 'medo', 'perdoar', 'tô', 'falando', 'mal', 'iê', 'nunca', 'soube', 'fazer', 'iê', 'cem', 'mil', 'quiser', 'aposto', 'bater', 'dedo', 'volto', 'vale', 'real', 'adoro']",
Pravocê,PaulaFernandes,"['quero', 'ser', 'pra', 'alegria', 'chegada', 'clarão', 'trazendo', 'dia', 'iluminando', 'sacada', 'quero', 'ser', 'pra', 'confiança', 'faz', 'faz', 'sonhar', 'todo', 'dia', 'sabendo', 'pode', 'quero', 'ser', 'lado', 'encontro', 'inesperado', 'arrepio', 'beijo', 'bom', 'quero', 'ser', 'paz', 'melodia', 'capaz', 'fazer', 'dançar', 'quero', 'ser', 'pra', 'lua', 'iluminando', 'sol', 'quero', 'acordar', 'todo', 'dia', 'pra', 'fazer', 'todo', 'amor', 'quero', 'ser', 'pra', 'braços', 'abertos', 'envolver', 'cada', 'novo', 'sorriso', 'feliz', 'amar', 'vivo', 'pra', 'canto', 'pra', 'pra']",
CêTopa,LuanSantana,"['pensou', 'gente', 'pouco', 'ousado', 'nesse', 'lance', 'pensou', 'transformar', 'amizade', 'lindo', 'romance', 'presta', 'atenção', 'tudo', 'gente', 'faz', 'felizes', 'muitos', 'casais', 'desapega', 'medo', 'deixa', 'acontecer', 'proposta', 'fazer', 'escuta', 'aqui', 'doi', 'filhos', 'cachorro', 'edredom', 'filme', 'bom', 'frio', 'agosto', 'ai', 'cê', 'topa', 'doi', 'filhos', 'cachorro', 'edredom', 'filme', 'bom', 'frio', 'agosto', 'diz', 'aí', 'cê', 'topa', 'presta', 'atenção', 'tudo', 'gente', 'faz', 'felizes', 'muitos', 'casais', 'desapega', 'medo', 'deixa', 'acontecer', 'proposta', 'fazer', 'doi', 'filhos', 'cachorro', 'edredom', 'filme', 'bom', 'frio', 'agosto', 'ai', 'cê', 'topa', 'doi', 'filhos', 'cachorro', 'edredom', 'filme', 'bom', 'frio', 'agosto', 'diz', 'aí', 'cê', 'topa']",
Assimvocêmataopapai,SorrisoMaroto,"['ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'mina', 'tá', 'olhando', 'acho', 'tá', 'dando', 'mole', 'tá', 'provocando', 'faz', 'tempo', 'vai', 'prestar', 'vai', 'maravilhosa', 'sorriso', 'maroto', 'tá', 'querendo', 'vou', 'chamar', 'pra', 'dançar', 'vem', 'cá', 'mulher', 'vem', 'cá', 'dançar', 'comigo', 'agarradinho', 'vem', 'cá', 'vai', 'gostar', 'ah', 'vai', 'assim', 'vem', 'pra', 'mim', 'delícia', 'tá', 'gostoso', 'demais', 'vai', 'prestar', 'beija', 'boca', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'assim', 'mata', 'papai', 'ai', 'ai', 'ai', 'ai', 'boca', 'gostosa', 'quero', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'assim', 'mata', 'papai', 'ai', 'ai', 'ai', 'ai', 'tá', 'cheirosa', 'demais', 'mina', 'tá', 'olhando', 'acho', 'tá', 'dando', 'mole', 'tá', 'provocando', 'faz', 'tempo', 'vai', 'prestar', 'vai', 'maravilhosa', 'sorriso', 'maroto', 'tá', 'querendo', 'vou', 'chamar', 'pra', 'dançar', 'vem', 'cá', 'mulher', 'vem', 'cá', 'dançar', 'comigo', 'agarradinho', 'vem', 'cá', 'vai', 'gostar', 'ah', 'vai', 'assim', 'vem', 'pra', 'mim', 'delícia', 'tá', 'gostoso', 'demais', 'vai', 'prestar', 'beija', 'boca', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'assim', 'mata', 'papai', 'ai', 'ai', 'ai', 'ai', 'boca', 'gostosa', 'quero', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'assim', 'mata', 'papai', 'ai', 'ai', 'ai', 'ai', 'tá', 'cheirosa', 'demais']",
