Music,Artist,Text,Language,Url,Search Status
BanhoDeLua,CellyCampello,"['fui', 'praia', 'bronzear', 'queimei', 'escureci', 'mamãe', 'bronqueou', 'nada', 'sol', 'hoje', 'quero', 'luz', 'luar', 'tomo', 'banho', 'lua', 'fico', 'branca', 'neve', 'se', 'luar', 'amigo', 'censurar', 'ninguém', 'atreve', 'é', 'tão', 'bom', 'sonhar', 'contigo', 'oh', 'luar', 'tão', 'cândido', 'sob', 'banho', 'lua', 'noite', 'esplendor', 'sinto', 'força', 'magia', 'magia', 'amor', 'é', 'tão', 'bom', 'sonhar', 'contigo', 'oh', 'luar', 'tão', 'cândido', 'tim', 'tim', 'tim', 'raio', 'lua', 'tim', 'tim', 'tim', 'baixando', 'vem', 'mundo', 'oh', 'lua', 'oh', 'cândida', 'lua', 'vem', 'tim', 'tim', 'tim', 'raio', 'lua', 'tim', 'tim', 'tim', 'baixando', 'vem', 'mundo', 'oh', 'lua', 'oh', 'cândida', 'lua', 'vem', 'sob', 'banho', 'lua', 'noite', 'esplendor', 'sinto', 'força', 'magia', 'magia', 'amor', 'ma', 'tão', 'bom', 'sonhar', 'contigo', 'oh', 'luar', 'tão', 'cândido']",PT-BR,https://api.vagalume.com.br/search.php?art= Celly Campello &mus=Banho-De-Lua&apikey=dc668952146a4a25b6d06586e7b69708,aprox
AsCurvasdaEstradadeSantos,RobertoCarlos,"['se', 'pretende', 'saber', 'eu', 'posso', 'dizer', 'entre', 'carro', 'estrada', 'santos', 'vai', 'conhecer', 'você', 'vai', 'pensar', 'não', 'gosto', 'mim', 'idade', 'só', 'velocidade', 'anda', 'junto', 'mim', 'só', 'ando', 'sozinho', 'caminho', 'o', 'tempo', 'cada', 'vez', 'menor', 'preciso', 'ajuda', 'favor', 'acuda', 'eu', 'vivo', 'se', 'acaso', 'curva', 'eu', 'lembro', 'mundo', 'eu', 'piso', 'fundo', 'corrijo', 'segundo', 'não', 'posso', 'parar', 'eu', 'prefiro', 'curvas', 'estrada', 'santos', 'onde', 'tento', 'esquecer', 'um', 'amor', 'vi', 'espelho', 'na', 'distância', 'perder', 'ma', 'amor', 'perdi', 'eu', 'novamente', 'encontrar', 'oh', 'a', 'curvas', 'acabam', 'estrada', 'santos', 'não', 'vou', 'passar', 'não', 'vou', 'passar', 'oh', 'eu', 'prefiro', 'curvas', 'estrada', 'santos', 'onde', 'tento', 'esquecer', 'um', 'amor', 'vi', 'espelho', 'na', 'distância', 'perder', 'ma', 'amor', 'perdi', 'eu', 'novamente', 'encontrar', 'oh', 'oh', 'a', 'curvas', 'acabam', 'estrada', 'santos', 'eu', 'vou', 'passar', 'não', 'na', 'estrada', 'santos', 'curvas', 'acabam', 'vou', 'passar', 'não', 'oh', 'estrada', 'santos', 'curvas', 'acabam']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=As-Curvas-da-Estrada-de-Santos&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Otrovadordetoledo,GildaLopes,"['na', 'noites', 'enluaradas', 'na', 'formosa', 'toledo', 'alguém', 'esconde', 'segredo', 'um', 'amor', 'proibido', 'janela', 'apagada', 'é', 'restou', 'nada', 'dentre', 'lembranças', 'noite', 'consigo', 'guardou', 'dia', 'trovas', 'amor', 'que', 'então', 'vai', 'dizendo', 'fala', 'coração', 'cheio', 'ternura', 'que', 'esquecer', 'procura', 'um', 'amor', 'negado', 'cala', 'segredo', 'infinda', 'amargura', 'trovador', 'toledo', 'pelas', 'noites', 'escuta', 'toda', 'gente', 'pergunta', 'qual', 'segredo', 'de', 'janela', 'apagada', 'de', 'balcão', 'deserto', 'de', 'paixão', 'sufocada', 'por', 'longe', 'perto', 'ma', 'coração', 'cheio', 'amargura', 'guarda', 'trovador', 'esperança', 'sem', 'saber', 'carinho', 'então', 'procura', 'já', 'outro', 'espera', 'é', 'inútil', 'inútil']",PT-BR,https://api.vagalume.com.br/search.php?art= Gilda Lopes &mus=O-trovador-de-toledo&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Tremdasonze,Demôniosdagaroa,"['quais', 'quais', 'quais', 'quais', 'quais', 'quais', 'quaiscalingudum', 'quaiscalingudum', 'quaiscalingudum', 'não', 'posso', 'ficar', 'nem', 'minuto', 'sinto', 'amor', 'ma', 'pode', 'ser', 'moro', 'jaçanã', 'se', 'perder', 'trem', 'que', 'sai', 'agora', 'onze', 'horas', 'só', 'amanhã', 'manhã', 'não', 'posso', 'ficar', 'nem', 'minuto', 'sinto', 'amor', 'ma', 'pode', 'ser', 'moro', 'jaçanã', 'se', 'perder', 'trem', 'que', 'sai', 'agora', 'onze', 'horas', 'só', 'amanhã', 'manhã', 'além', 'disso', 'mulher', 'tem', 'outra', 'coisa', 'minha', 'mãe', 'dorme', 'enquanto', 'chegar', 'sou', 'filho', 'único', 'tenho', 'casa', 'pra', 'olhar', 'eu', 'posso', 'ficar', 'não', 'posso', 'ficar', 'nem', 'minuto', 'sinto', 'amor', 'ma', 'pode', 'ser', 'moro', 'jaçanã', 'se', 'perder', 'trem', 'que', 'sai', 'agora', 'onze', 'horas', 'só', 'amanhã', 'manhã', 'além', 'disso', 'mulher', 'tem', 'outra', 'coisa', 'minha', 'mãe', 'dorme', 'enquanto', 'chegar', 'sou', 'filho', 'único', 'tenho', 'casa', 'pra', 'olhar', 'quais', 'quais', 'quais', 'quais', 'quais', 'quais', 'quaiscalingudum', 'quaiscalingudum', 'quaiscalingudum', 'quais', 'quais', 'quais', 'quais', 'quais', 'quais', 'quaiscalingudum', 'quaiscalingudum', 'quaiscalingudum']",PT-BR,https://api.vagalume.com.br/search.php?art= Demonios da garoa &mus=Trem-das-onze&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Queroquevátudoproinferno,RobertoCarlos,"['de', 'vale', 'céu', 'azul', 'sol', 'sempre', 'brilhar', 'se', 'vem', 'esperar', 'só', 'pensamento', 'ausência', 'todo', 'tormento', 'quero', 'aqueça', 'neste', 'inverno', 'tudo', 'vá', 'pro', 'inferno', 'de', 'vale', 'boa', 'vida', 'play-boy', 'se', 'entro', 'carro', 'solidão', 'dói', 'onde', 'quer', 'ande', 'tudo', 'tão', 'triste', 'não', 'interessa', 'existe', 'quero', 'aqueça', 'neste', 'inverno', 'tudo', 'vá', 'pro', 'inferno', 'não', 'suporto', 'longe', 'mim', 'quero', 'morrer', 'viver', 'assim', 'só', 'quero', 'aqueça', 'neste', 'inverno', 'tudo', 'vá', 'pro', 'inferno', 'instrumental', 'não', 'suporto', 'longe', 'mim', 'quero', 'morrer', 'viver', 'assim', 'só', 'quero', 'aqueça', 'neste', 'inverno', 'tudo', 'vá', 'pro', 'inferno', 'tudo', 'vá', 'pro', 'inferno', 'uoooooo', 'tudo', 'vá', 'pro', 'inferno', 'uoooooo']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=Quero-que-va-tudo-pro-inferno&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Prelúdioparaninargentegrande,LuizVieira,"['quando', 'braços', 'sinto', 'mundo', 'bocejar', 'quando', 'braços', 'sinto', 'vida', 'descansar', 'no', 'calor', 'carinho', 'sou', 'menino', 'passarinho', 'com', 'vontade', 'voar', 'sou', 'menino', 'passarinho', 'com', 'vontade', 'voar', 'repete', 'tudo']",PT-BR,https://api.vagalume.com.br/search.php?art= Luiz Vieira &mus=Preludio-para-ninar-gente-grande&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Sonharcontigo,AdilsonRamos,"['sonhar', 'contigo', 'toda', 'vida', 'sonhar', 'contigo', 'amor', 'querida', 'viver', 'pensando', 'ti', 'somente', 'viver', 'amando', 'ser', 'eternamente', 'este', 'maior', 'desejo', 'tomar', 'mãos', 'calar', 'voz', 'num', 'longo', 'beijo', 'ter-te', 'sempre', 'bem', 'junto', 'mim', 'viver', 'amando', 'ser', 'fim']",PT-BR,https://api.vagalume.com.br/search.php?art= Adilson Ramos &mus=Sonhar-contigo&apikey=dc668952146a4a25b6d06586e7b69708,aprox
OCalhambeque,RobertoCarlos,"['mandei', 'cadillac', 'pro', 'mecânico', 'outro', 'dia', 'poi', 'tempo', 'conserto', 'pedia', 'como', 'vou', 'viver', 'carango', 'pra', 'correr', 'meu', 'cadillac', 'bip', 'bip', 'quero', 'consertar', 'cadillac', 'com', 'muita', 'paciência', 'rapaz', 'ofereceu', 'um', 'carro', 'todo', 'velho', 'lá', 'apareceu', 'enquanto', 'cadillac', 'consertava', 'usava', 'o', 'calhambeque', 'bip', 'bip', 'quero', 'buzinar', 'calhambeque', 'saí', 'oficina', 'pouquinho', 'desolado', 'confesso', 'pouco', 'envergonhado', 'olhando', 'lado', 'cara', 'malvado', 'o', 'calhambeque', 'bip', 'bip', 'buzinei', 'assim', 'calhambeque', 'logo', 'garota', 'fez', 'sinal', 'parar', 'calhambeque', 'fez', 'questão', 'passear', 'não', 'sei', 'pensei', 'acreditei', 'que', 'calhambeque', 'bip', 'bip', 'broto', 'quis', 'andar', 'calhambeque', 'muitos', 'outros', 'brotos', 'encontrei', 'caminho', 'falavam', 'estouro', 'beleza', 'carrinho', 'acostumando', 'carango', 'gostando', 'o', 'calhambeque', 'bip', 'bip', 'quero', 'conservar', 'calhambeque', 'ma', 'cadillac', 'finalmente', 'ficou', 'pronto', 'lavado', 'consertado', 'bem', 'pintado', 'encanto', 'ma', 'coração', 'hora', 'exata', 'trocar', 'o', 'calhambeque', 'bip', 'bip', 'meu', 'coração', 'ficou', 'calhambeque']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=O-Calhambeque&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Coraçãodepapel,SérgioReis,"['se', 'pensa', 'coração', 'papel', 'vá', 'pensando', 'poi', 'igualzinho', 'sofre', 'porque', 'fazer', 'chorar', 'assim', 'ama', 'se', 'pensa', 'fazer', 'chorar', 'quer', 'pensa', 'dia', 'sentirá', 'amar', 'bom', 'demais', 'jogue', 'amor', 'léu', 'coração', 'papel', 'porque', 'fazer', 'chorar', 'porque', 'fazer', 'sofrer', 'coração', 'quer', 'o', 'amor', 'lindo', 'sei', 'todo', 'dei', 'quis', 'jogou', 'léu', 'coração', 'papel', '[', 'bi', ']', 'ah', 'ah', 'coração', 'papel']",PT-BR,https://api.vagalume.com.br/search.php?art= Sergio Reis &mus=Coracao-de-papel&apikey=dc668952146a4a25b6d06586e7b69708,aprox
ANoitedomeubem,DoloresDuran,"['hoje', 'quero', 'rosa', 'linda', 'primeira', 'estrela', 'vier', 'para', 'enfeitar', 'noite', 'bem', 'hoje', 'quero', 'paz', 'criança', 'dormindo', 'abandono', 'flores', 'abrindo', 'para', 'enfeitar', 'noite', 'bem', 'quero', 'alegria', 'barco', 'voltando', 'quero', 'ternura', 'mãos', 'encontrando', 'para', 'enfeitar', 'noite', 'bem', 'ah', 'quero', 'amor', 'amor', 'profundo', 'quero', 'toda', 'beleza', 'mundo', 'para', 'enfeitar', 'noite', 'bem', 'ah', 'bem', 'demorou', 'chegar', 'eu', 'sei', 'olhar', 'toda', 'pureza', 'quero', 'dar']",PT-BR,https://api.vagalume.com.br/search.php?art= Dolores Duran &mus=A-Noite-do-meu-bem&apikey=dc668952146a4a25b6d06586e7b69708,aprox
