Music,Artist,Text,Language,Url,Search Status,Unnamed: 6
MeninaVeneno,Ritchie,"['meia-noite', 'quarto', 'vai', 'subir', 'ouço', 'passos', 'escada', 'vejo', 'porta', 'abrir', 'abajur', 'cor', 'carne', '*', 'lençol', 'azul', 'cortina', 'seda', 'corpo', 'nu', 'menina', 'veneno', 'mundo', 'pequeno', 'demais', 'doi', 'toda', 'cama', 'durmo', 'dá', 'olhos', 'verdes', 'espelho', 'brilham', 'mim', 'corpo', 'inteiro', 'prazer', 'princípio', 'sim', 'sozinho', 'quarto', 'acordo', 'fico', 'falando', 'pras', 'paredes', 'anoitecer', 'menina', 'veneno', 'jeito', 'sereno', 'ser', 'toda', 'noite', 'quarto', 'vem', 'entorpecer', 'entorpecer', 'menina', 'veneno', 'mundo', 'pequeno', 'demais', 'pra', 'doi', 'toda', 'cama', 'durmo', 'dá', 'meia-noite', 'quarto', 'vai', 'surgir', 'ouço', 'passos', 'escada', 'vejo', 'porta', 'abrir', 'vem', 'sei', 'onde', 'sei', 'vem', 'amar', 'sei', 'nome', 'preciso', 'chamar', 'menina', 'veneno', 'jeito', 'sereno', 'ser', 'toda', 'noite', 'quarto', 'vem', 'entorpecer', 'entorpecer', 'menina', 'veneno', '*', 'segundo', 'site', 'oficial', 'cantor']",PT-BR,https://api.vagalume.com.br/search.php?art= Ritchie &mus=Menina-Veneno&apikey=dc668952146a4a25b6d06586e7b69708,exact,
Balancê,GalCosta,"['ô', 'balancê', 'balancê', 'quero', 'dançar', 'entra', 'roda', 'morena', 'pra', 'ver', 'ô', 'balancê', 'balancê', 'mim', 'passa', 'fingindo', 'vê', 'coração', 'quase', 'despedaça', 'balancê', 'balancê', 'refrão', 'cartilha', 'abc', 'maior', 'maravilha', 'balancê', 'balancê', 'refrão', 'levo', 'vida', 'pensando', 'pensando', 'tempo', 'passa', 'vou', 'acabando', 'balancê', 'balancê']",PT-BR,https://api.vagalume.com.br/search.php?art= Gal Costa &mus=Balance&apikey=dc668952146a4a25b6d06586e7b69708,exact,
SoniferaIlha,Titãs,"['posso', 'viver', 'assim', 'ladinho', 'colo', 'ouvido', 'radinho', 'pilha', 'pra', 'sintonizar', 'sozinha', 'ilha', 'sonífera', 'ilha', 'descansa', 'olhos', 'sossega', 'boca', 'enche', 'luz', 'sonífera', 'ilha', 'descansa', 'olhos', 'sossega', 'boca', 'enche', 'luz', 'quero', 'viver', 'assim', 'ladinho', 'colo', 'ouvido', 'radinho', 'pilha', 'pra', 'sintonizar', 'sozinha', 'ilha', 'refrão', 'sonífera', 'ilha', 'descansa', 'olhos', 'sossega', 'boca', 'enche', 'luz', 'sonífera', 'ilha', 'ohho', 'descansa', 'olhos', 'sossega', 'boca', 'enche', 'luz', 'sonífera', 'ilha', 'descansa', 'olhos', 'sossega', 'boca', 'enche', 'luz']",PT-BR,https://api.vagalume.com.br/search.php?art= Titas &mus=Sonifera-Ilha&apikey=dc668952146a4a25b6d06586e7b69708,exact,
FazPartedoMeuShow,Cazuza,"['pego', 'escola', 'encho', 'bola', 'todo', 'amor', 'levo', 'pra', 'festa', 'testo', 'sexo', 'ar', 'professor', 'faço', 'promessas', 'malucas', 'tão', 'curtas', 'quanto', 'sonho', 'bom', 'escondo', 'verdade', 'baby', 'pra', 'proteger', 'solidão', 'faz', 'parte', 'show', 'faz', 'parte', 'show', 'amor', 'confundo', 'coxa', 'outras', 'moças', 'mostro', 'toda', 'dor', 'faço', 'filho', 'dou', 'outra', 'vida', 'pra', 'mostrar', 'vago', 'lua', 'deserta', 'pedras', 'arpoador', 'digo', 'alô', 'inimigo', 'encontro', 'abrigo', 'peito', 'traidor', 'faz', 'parte', 'show', 'faz', 'parte', 'show', 'amor', 'invento', 'desculpas', 'provoco', 'briga', 'digo', 'vivo', 'clip', 'nexo', 'pierrô-retrocesso', 'meio', 'bossa', 'nova', 'rock', 'n', 'roll', 'faz', 'parte', 'show', 'faz', 'parte', 'show', 'amor', '©', 'warner', 'chappell']",PT-BR,https://api.vagalume.com.br/search.php?art= Cazuza &mus=Faz-Parte-do-Meu-Show&apikey=dc668952146a4a25b6d06586e7b69708,exact,
BemQueSeQuis,MarisaMonte,"['bem', 'quis', 'tudo', 'ainda', 'ser', 'feliz', 'caminhos', 'pra', 'voltar', 'vida', 'fez', 'vida', 'gente', 'faz', 'amor', 'tanto', 'faz', 'esqueci', 'esquecer', 'porque', 'desejo', 'melhor', 'prazer', 'destino', 'querer', 'sempre', 'estrada', 'corre', 'pro', 'mar', 'agora', 'vem', 'pra', 'perto', 'vem', 'vem', 'depressa', 'vem', 'fim', 'dentro', 'mim', 'quero', 'sentir', 'corpo', 'pesando', 'sobre', 'vem', 'amor', 'vem', 'pra', 'mim', 'abraça', 'devagar', 'beija', 'faz', 'esquecer', 'bem', 'quis', 'tudo', 'ainda', 'ser', 'feliz', 'caminhos', 'pra', 'voltar', 'vida', 'fez', 'vida', 'gente', 'faz', 'amor', 'tanto', 'faz', 'esqueci', 'esquecer', 'porque', 'desejo', 'melhor', 'prazer', 'destino', 'querer', 'sempre', 'estrada', 'corre', 'pro', 'mar', 'agora', 'vem', 'pra', 'perto', 'vem', 'vem', 'depressa', 'vem', 'fim', 'dentro', 'mim', 'quero', 'sentir', 'corpo', 'pesando', 'sobre', 'vem', 'amor', 'vem', 'pra', 'mim', 'abraça', 'devagar', 'beija', 'faz', 'esquecer', 'bem', 'quis']",PT-BR,https://api.vagalume.com.br/search.php?art= Marisa Monte &mus=Bem-Que-Se-Quis&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
muitoestranho,Dalto,"['hum', 'dia', 'chegar', 'estranho', 'deixa', 'água', 'corpo', 'lembrar', 'banho', 'hum', 'dia', 'chegar', 'louco', 'deixa', 'noite', 'saber', 'dia', 'pouco', 'cuida', 'bem', 'mim', 'então', 'misture', 'tudo', 'dentro', 'porque', 'ninguém', 'vai', 'dormir', 'sonho', 'hum', 'cara', 'pra', 'tantos', 'plano', 'quero', 'amar', 'amar', 'amar', 'muitos', 'ano', 'hum', 'tantas', 'vezes', 'quis', 'ficar', 'solto', 'lua', 'brincar', 'rosto', 'cuida', 'bem', 'mim', 'então', 'misture', 'tudo', 'dentro', 'porque', 'ninguém', 'vai', 'dormir', 'sonho']",PT-BR,https://api.vagalume.com.br/search.php?art= Dalto &mus=muito-estranho&apikey=dc668952146a4a25b6d06586e7b69708,exact,
BailaComigo,RitaLee,"['deus', 'quiser', 'dia', 'quero', 'ser', 'índio', 'viver', 'pelado', 'pintado', 'verde', 'eterno', 'domingo', 'ser', 'bicho', 'preguiça', 'espantar', 'turista', 'tomar', 'banho', 'sol', 'banho', 'sol', 'banho', 'sol', 'sol', 'deus', 'quiser', 'dia', 'acabo', 'voando', 'tão', 'banal', 'assim', 'pardal', 'meio', 'contrabando', 'desviar', 'estilingue', 'deixar', 'xinguem', 'tomar', 'banho', 'sol', 'banho', 'sol', 'banho', 'sol', 'banho', 'sol', 'baila', 'comigo', 'baila', 'tribo', 'baila', 'comigo', 'lá', 'esconderijo', 'deus', 'quiser', 'dia', 'viro', 'semente', 'chuva', 'molhar', 'jardim', 'ah', 'fico', 'contente', 'primavera', 'vou', 'brotar', 'terra', 'tomar', 'banho', 'sol', 'banho', 'sol', 'banho', 'sol', 'sol', 'deus', 'quiser', 'dia', 'morro', 'bem', 'velha', 'hora', 'h', 'bomba', 'estourar', 'quero', 'ver', 'janela', 'entrar', 'pacote', 'camarote']",PT-BR,https://api.vagalume.com.br/search.php?art= Rita Lee &mus=Baila-Comigo&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
Comoeuquero,KidAbelha,"['diz', 'pra', 'ficar', 'muda', 'faz', 'cara', 'mistério', 'tira', 'bermuda', 'quero', 'sério', 'tramas', 'sucesso', 'mundo', 'particular', 'solo', 'guitarra', 'vão', 'conquistar', 'refrão', 'uuuuu', 'quero', 'quero', 'bi', 'precisa', 'retoque', 'total', 'vou', 'transformar', 'rascunho', 'arte', 'final', 'agora', 'jeito', 'cê', 'tá', 'cilada', 'cada', 'si', 'mim', 'nada', 'refrão', 'uuuuu', 'quero', 'quero', 'bi', 'longe', 'domínio', 'cê', 'vai', 'mal', 'pior', 'vem', 'ensino', 'ser', 'bem', 'melhor', 'bi', 'refrão', 'uuuuu', 'quero', 'quero', 'bi']",PT-BR,https://api.vagalume.com.br/search.php?art= Kid Abelha &mus=Como-eu-quero&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
Dona,RoupaNova,"['dona', 'des', 'traiçoeiros', 'sonhos', 'sempre', 'verdadeiros', 'oh', 'dona', 'des', 'animais', 'dona', 'ideais', 'ruas', 'onde', 'andas', 'onde', 'manda', 'todos', 'sempre', 'mensageiros', 'esperando', 'voz', 'desejos', 'ordem', 'nada', 'nunca', 'nunca', 'ten', 'certeza', 'dentro', 'coração', 'tã', 'tã', 'tã', 'batem', 'porta', 'precisa', 'ver', 'pra', 'sentir', 'impaciência', 'pulso', 'mulher', 'olhar', 'atira', 'cama', 'beijo', 'faz', 'amar', 'levanto', 'escondo', 'porque', 'sei', 'és', 'dona', 'dona', 'des', 'traiçoeiros', 'sonhos', 'sempre', 'verdadeiros', 'oh', 'dona', 'des', 'animais', 'dona', 'ideais', 'pedra', 'caminho', 'ondas', 'mar', 'vento', 'tempestade', 'impeçam', 'voar', 'cobra', 'passarinho', 'pomba', 'gavião', 'ódio', 'carinho', 'carregam', 'mão', 'moça', 'cantiga', 'mulher', 'criação', 'uma', 'vezes', 'amiga', 'outras', 'perdição', 'poder', 'levanta', 'força', 'faz', 'cair', 'ainda', 'sabe', 'tudo', 'faz', 'dona', 'dona']",PT-BR,https://api.vagalume.com.br/search.php?art= Roupa Nova &mus=Dona&apikey=dc668952146a4a25b6d06586e7b69708,exact,
Quepaíséesse?,LegiãoUrbana,"['favelas', 'senado', 'sujeira', 'pra', 'todo', 'lado', 'ninguém', 'respeita', 'constituição', 'todos', 'acreditam', 'futuro', 'nação', 'país', 'país', 'país', 'amazona', 'araguaia', 'baixada', 'fluminense', 'mato', 'grosso', 'mina', 'gerais', 'nordeste', 'tudo', 'paz', 'morte', 'descanso', 'sangue', 'anda', 'solto', 'manchando', 'papéis', 'documentos', 'fiéisao', 'descanso', 'patrão', 'país', 'país', 'país', 'país', 'terceiro', 'mundo', 'piada', 'exterior', 'brasil', 'vai', 'ficar', 'rico', 'vamos', 'faturar', 'milhão', 'vendermos', 'toda', 'almas', 'índios', 'leilão', 'país', 'país', 'país', 'país']",PT-BR,https://api.vagalume.com.br/search.php?art= Legiao Urbana &mus=Que-pais-e-esse?&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
