Music,Artist,Text,Language,Url,Search Status,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
CaetanoVeloso,Sozinho,"['vezes', 'silêncio', 'noite', 'fico', 'imaginando', 'doi', 'fico', 'ali', 'sonhando', 'acordado', 'juntando', 'ante', 'agora', 'deixa', 'tão', 'solto', 'cola', 'mim', 'sentindo', 'sozinho', 'quero', 'ser', 'dono', 'carinho', 'vezes', 'cai', 'bem', 'segredos', 'plano', 'secretos', 'abro', 'pra', 'ninguém', 'esquece', 'some', 'interessar', 'alguém', 'repente', 'ganha', 'gente', 'gosta', 'claro', 'gente', 'cuida', 'fala', 'ama', 'boca', 'pra', 'engana', 'madura', 'onde', 'agora', 'gente', 'gosta', 'claro', 'gente', 'cuida', 'fala', 'ama', 'boca', 'pra', 'engana', 'madura', 'ei', 'ei', 'ei', 'onde', 'agora']",PT-BR,https://api.vagalume.com.br/search.php?art= Sozinho &mus=Caetano-Veloso&apikey=dc668952146a4a25b6d06586e7b69708,GoogleSearch OK,,,,,,,,,,,,,,
GarotaNacional,Skank,"['aqui', 'nesse', 'mundinho', 'fechado', 'incrível', 'vestidinho', 'preto', 'indefectível', 'detesto', 'jeito', 'pensando', 'bem', 'fecha', 'sonhos', 'ninguém', 'uh', 'beat', 'it', 'laun', 'daun', 'daun', 'beat', 'it', 'loom', 'dap´n', 'daun', 'beat', 'it', 'laun', 'baun', 'baun', 'conhece', 'ti', 'conheço', 'bem', 'qualquer', 'vulgar', 'bem', 'vezes', 'esqueço', 'finjo', 'finjo', 'ignorar', 'sei', 'domina', 'primeiro', 'olhar', 'uh', 'beat', 'it', 'laun', 'daun', 'daun', 'beat', 'it', 'loom', 'dap´n', 'daun', 'beat', 'it', 'laun', 'baun', 'baun', 'quero-te', 'provar', 'medo', 'amor', 'oh', 'quero-te', 'provar', 'porque', 'derrama', 'banquete', 'palacete', 'anjo', 'vestido', 'libido', 'cacete', 'tão', 'tão', 'vistosa', 'talvez', 'mentira', 'dera', 'cara', 'fôsse', 'sucupira', 'conhece', 'ti', 'conheço', 'bem', 'qualquer', 'vulgar', 'bem', 'vezes', 'esqueço', 'finjo', 'finjo', 'ignorar', 'sei', 'domina', 'primeiro', 'olhar', 'uh', 'beat', 'it', 'laun', 'daun', 'daun', 'beat', 'it', 'loom', 'dap´n', 'daun', 'beat', 'it', 'laun', 'baun', 'baun', 'quero', 'provar', 'medo', 'amor', 'quero', 'provar', 'quero', 'provar', 'cozida', 'vapor', 'quero', 'provar']",PT-BR,https://api.vagalume.com.br/search.php?art= Skank &mus=Garota-Nacional&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
Evidências,ChitãozinhoeXororó,"['digo', 'deixei', 'amar', 'porque', 'amo', 'digo', 'quero', 'porque', 'quero', 'medo', 'dar', 'coração', 'confessar', 'mãos', 'posso', 'imaginar', 'vai', 'ser', 'mim', 'perder', 'dia', 'afasto', 'defendo', 'entrego', 'faço', 'tipo', 'falo', 'coisas', 'nego', 'verdade', 'louco', 'medo', 'pensar', 'perder', 'preciso', 'aceitar', 'dá', 'pra', 'separar', 'vidas', 'nessa', 'loucura', 'dizer', 'quero', 'vou', 'negando', 'aparências', 'disfarçando', 'evidências', 'pra', 'viver', 'fingindo', 'posso', 'enganar', 'coração', 'sei', 'amo', 'chega', 'mentiras', 'negar', 'desejo', 'quero', 'tudo', 'preciso', 'beijo', 'entrego', 'vida', 'pra', 'fazer', 'quiser', 'mim', 'quero', 'ouvir', 'dizer', 'sim', 'diz', 'verdade', 'saudade', 'ainda', 'pensa', 'mim', 'diz', 'verdade', 'saudade', 'ainda', 'quer', 'viver', 'pra', 'mim']",PT-BR,https://api.vagalume.com.br/search.php?art= Chitaozinho e Xororo &mus=Evidencias&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
Quesechamaamor,Sópracontrariar,"['coisa', 'assim', 'machuca', 'tanto', 'toma', 'conta', 'todo', 'ser', 'saudade', 'imensa', 'partiu', 'coração', 'dor', 'funda', 'pessoa', 'pode', 'ter', 'virus', 'pega', 'mil', 'fantasia', 'simple', 'toque', 'olhar', 'sinto', 'tão', 'carente', 'consequência', 'desta', 'dor', 'nao', 'dia', 'hora', 'pra', 'acabar', 'ai', 'afogo', 'copo', 'cerveja', 'nela', 'solução', 'entao', 'chego', 'casa', 'todo', 'dia', 'embriagado', 'vou', 'enfrentar', 'quarto', 'dormir', 'solidão', '[', 'refrao', ']', 'deus', 'nao', 'posso', 'enfrentar', 'dor', 'chama', 'amor', 'tomou', 'conta', 'ser', 'dia-a-dia', 'pouco', 'pouco', 'ficando', 'louco', 'causa']",PT-BR,https://api.vagalume.com.br/search.php?art= So pra contrariar &mus=Que-se-chama-amor&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
MinadeFé,OsMorenos,"['feliz', 'saber', 'revolta', 'tudo', 'fiz', 'querer', 'volta', 'dei', 'valor', 'dediquei', 'grande', 'amor', 'vacilei', 'tô', 'doente', 'saudade', 'tanta', 'curtição', 'tanta', 'liberdade', 'quantum', 'azaração', 'quantum', 'falsidade', 'tô', 'doente', 'saudade', 'aprendi', 'vale', 'nada', 'noite', 'farra', 'madrugada', 'prometi', 'magoar', 'pode', 'confiar', 'preciso', 'perder', 'pra', 'aprender', 'valorizar', 'mina', 'fé', 'mina', 'fé', 'preciso', 'entender', 'deve', 'largar', 'jamais', 'mina', 'fé', 'mina', 'fé']",PT-BR,https://api.vagalume.com.br/search.php?art= Os Morenos &mus=Mina-de-Fe&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
Cadavoltaéumrecomeço,ZezéDiCamargoeLuciano,"['vez', 'coração', 'esquece', 'tudo', 'fez', 'volto', 'pra', 'amor', 'insano', 'pensar', 'mim', 'pra', 'recomeçar', 'sabendo', 'fim', 'paixão', 'coisas', 'paixão', 'explicação', 'simplesmente', 'entregar', 'deixar', 'acontecer', 'sempre', 'acabo', 'envolvendo', 'ness', 'desencontros', 'insisto', 'encontrar', 'partisse', 'pensando', 'voltar', 'fundo', 'pudesse', 'existir', 'ter', 'toda', 'vez', 'volto', 'vejo', 'sempre', 'igual', 'saudade', 'coisa', 'banal', 'chegando', 'sempre', 'louco', 'pra', 'dizer', 'amo', 'leve', 'vida', 'coração', 'verso', 'pra', 'canção', 'volto', 'pra', 'volto', 'amor', 'importa', 'sonho', 'avesso', 'cada', 'volta', 'recomeço']",PT-BR,https://api.vagalume.com.br/search.php?art= Zeze Di Camargo e Luciano &mus=Cada-volta-e-um-recomeco&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
ViraVira,MamonasAssassinas,"['raios', 'convidado', 'pra', 'tal', 'suruba', 'pude', 'ir', 'maria', 'lugar', 'semana', 'voltou', 'pra', 'casa', 'toda', 'arregaçada', 'podium', 'sentar', 'vi', 'fiquei', 'assustado', 'maria', 'chorando', 'começou', 'explicar', 'daí', 'então', 'fiquei', 'aliviado', 'dei', 'graças', 'deus', 'porque', 'lugar', 'refrão', 'roda-roda', 'vira', 'solta', 'roda', 'vem', 'passaram', 'mão', 'bunda', 'ainda', 'comi', 'ninguém', 'roda-roda', 'vira', 'solta', 'roda', 'vem', 'neste', 'raio', 'suruba', 'passaram', 'mão', 'bunda', 'ainda', 'comi', 'ninguém', 'oh', 'manoel', 'olha', 'cá', 'imaginas', 'sofrendo', 'teta', 'negão', 'arrancou', 'outra', 'sobrou', 'doendo', 'ôô', 'maria', 'vê', 'larga', 'frescura', 'levo', 'hospital', 'manhã', 'ficaste', 'tão', 'bonita', 'monoteta', 'vale', 'mão', 'doi', 'sutiã', 'roda-roda', 'vira', 'solta', 'roda', 'vem', 'passaram', 'mão', 'bunda', 'ainda', 'comi', 'ninguém', 'roda-roda', 'vira', 'solta', 'roda', 'vem', 'neste', 'raio', 'suruba', 'passaram', 'mão', 'bunda', 'ainda', 'comi', 'ninguém', 'bate', 'pé', 'arrota', 'bate', 'pé', 'ôô', 'maria', 'suruba', 'excita', 'arrebita', 'arrebita', 'arrebita', 'então', 'vai', 'fazer', 'amor', 'cabrita', 'arrebita', 'arrebita', 'arrebita', 'maria', 'bom', 'exercita', 'bate', 'pé', 'arrebita', 'arrebita', 'manoel', 'cabeça', 'titica', 'larga', 'putaria', 'vai', 'cuidar', 'padaria', 'roda-roda', 'vira', 'solta', 'roda', 'vem', 'passaram', 'mão', 'bunda', 'ainda', 'comi', 'ninguém', 'roda-roda', 'vira', 'solta', 'roda', 'vem', 'neste', 'raio', 'suruba', 'passaram', 'mão', 'bunda', 'ainda', 'comi', 'ninguém', 'vamos', 'lá', 'dançando', 'raios', 'todo', 'mundo', 'comigo', 'ueu', 'ueu', 'ueu', 'maria', 'deu', 'mal', 'vamos', 'lá', 'ai', 'dói']",PT-BR,https://api.vagalume.com.br/search.php?art= Mamonas Assassinas &mus=Vira-Vira&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
Palpite,VanessaRangel,"['tô', 'saudades', 'debaixo', 'cobertor', 'arrancar', 'suspiros', 'fazer', 'amor', 'tô', 'saudades', 'varanda', 'noite', 'quente', 'arrepio', 'frio', 'dá', 'gente', 'truque', 'desejo', 'guardo', 'boca', 'gosto', 'beijo', 'sinto', 'falta', 'sinto', 'aí', 'volta', 'tudo', 'volta', 'triste', 'aí', 'amor', 'pode', 'acontecer', 'novo', 'pra', 'palpite', 'tô', 'saudades', 'banho', 'chuva', 'calor', 'pele', 'língua', 'tô', 'saudades', 'censurando', 'vestido', 'juras', 'amor', 'pé', 'ouvido', 'truque', 'desejo', 'guardo', 'boca', 'gosto', 'beijo', 'sinto', 'falta', 'sinto', 'aí', 'volta', 'tudo', 'volta', 'triste', 'aí', 'amor', 'pode', 'acontecer', 'novo', 'pra', 'palpite']",PT-BR,https://api.vagalume.com.br/search.php?art= Vanessa Rangel &mus=Palpite&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
PraFalarAVerdade,Daniel,"['amigo', 'falou', 'poeira', 'vai', 'baixar', 'qualquer', 'carinho', 'novo', 'põe', 'coisas', 'lugar', 'falta', 'tende', 'desaparecer', 'distância', 'faz', 'gente', 'esquecer', 'amargo', 'solidão', 'corta', 'coração', 'repente', 'vão', 'embora', 'feito', 'chuva', 'verão', 'pranto', 'vai', 'secar', 'vou', 'acostumar', 'tempestade', 'logo', 'vai', 'passar', 'pra', 'falar', 'verdade', 'realidade', 'pra', 'amor', 'desencantou', 'bi', 'caso', 'saiu', 'tudo', 'errado', 'tempo', 'apaga', 'dessa', 'vez', 'apagou']",PT-BR,https://api.vagalume.com.br/search.php?art= Daniel &mus=Pra-Falar-A-Verdade&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
PeladosemSantos,MamonasAssassinas,"['mina', 'cabelo', 'hora', 'corpão', 'violão', 'docinho', 'coco', 'tá', 'deixando', 'louco', 'brasília', 'amarela', 'tá', 'porta', 'abertas', 'pra', 'mode', 'gente', 'amar', 'pelados', 'santos', 'poi', 'pitxula', 'deixa', 'legalzão', 'sinto', 'sozinho', 'chuchuzinho', 'music', 'is', 'very', 'good', 'oxente', 'ai', 'ai', 'ai', 'comigo', 'quer', 'casar', 'brasília', 'amarela', 'roda', 'gaúcha', 'quer', 'entrar', 'feijão', 'jabá', 'desgraçada', 'quer', 'compartilhar', 'linda', 'linda', 'very', 'very', 'beautiful', 'deixa', 'doidão', 'docinho', 'coco', 'music', 'is', 'very', 'porreta', 'oxente', 'paraguai', 'pro', 'paraguai', 'quis', 'viajar', 'comprei', 'reebok', 'calça', 'fiorucci', 'quer', 'usar', 'sei', 'faço', 'pra', 'mulher', 'conquistar', 'linda', 'linda', 'very', 'very', 'beautiful', 'deixa', 'doidão', 'chuchuzinho', 'i', 'love', 'youuuuu', 'perai', 'pouquinho', 'u', 'uuuuuuuuuuuu']",PT-BR,https://api.vagalume.com.br/search.php?art= Mamonas Assassinas &mus=Pelados-em-Santos&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
