Music,Artist,Text,Unnamed: 3
HumildeResidência,MichelTeló,"['vou', 'esper', 'aqu', 'vê', 'atend', 'telefon', 'cobr', 'hoj', 'vou', 'sair', 'porqu', 'carr', 'tá', 'quebr', 'tô', 'pod', 'gast', 'cheg', 'aqu', 'dê', 'grit', 'lá', 'frent', 'vou', 'corr', 'busc', 'ninguém', 'aqu', 'vou', 'deix', 'luz', 'aces', 'pass', 'celul', 'endereç', 'dia', 'vi', 'saí', 'cas', 'tô', 'lig', 'sempr', 'deu', 'moral', 'diz', 'am', 'agor', 'tá', 'mud', 'form', 'faculdad', 'curs', 'cheg', 'metad', 'tá', 'difer', 'vou', 'atrás', 'frent', 'tô', 'louc', 'pra', 'peg', 'vou', 'esper', 'humild', 'resid', 'pra', 'gent', 'faz', 'am', 'peç', 'pouq', 'paci', 'cam', 'ta', 'quebr', 'cober']",
VidroFumê,BrunoeMarrone,"['telefonem', 'anon', 'voz', 'disfarç', 'fal', 'send', 'tra', 'quil', 'acredit', 'pens', 'trot', 'fund', 'peit', 'desconf', 'dess', 'sort', 'cal', 'moment', 'louc', 'pens', 'atrás', 'busc', 'verdad', 'segred', 'sent', 'am', 'estremec', 'hor', 'vi', 'entr', 'carr', 'import', 'vidr', 'fum', 'cheg', 'cas', 'trat', 'natur', 'fiz', 'am', 'contig', 'noit', 'int', 'lent', 'cançã', 'desped', 'verdad', 'difer', 'últ', 'noit', 'am', 'gent']",
AcordandooPrédio,LuanSantana,"['aond', 'par', 'juíz', 'manhã', 'daqu', 'pouc', 'lig', 'sínd', 'moç', 'grit', 'baix', 'sei', 'tá', 'bom', 'pared', 'ouv', 'pra', 'ser', 'escond', 'vam', 'acord', 'prédi', 'faz', 'invej', 'pro', 'pov', 'enquant', 'tão', 'ind', 'trabalh', 'gent', 'faz', 'am', 'gost', 'nov', 'vam', 'acord', 'prédi', 'faz', 'invej', 'pro', 'pov', 'enquant', 'tão', 'ind', 'trabalh', 'gent', 'faz', 'am', 'gost', 'nov', 'nov', 'nov', 'deix', 'mund', 'sab', 'baby', 'problem', 'gent', 'resolv', 'né', 'porqu', 'desc', 'lua', 'desc', 'pra', 'ver', 'ganh', 'agor', 'lev', 'pra', 'aond', 'par', 'juíz', 'manhã', 'daqu', 'pouc', 'lig', 'sínd', 'moç', 'grit', 'baix', 'sei', 'tá', 'bom', 'pared', 'ouv', 'pra', 'ser', 'escond', 'vam', 'acord', 'prédi', 'faz', 'invej', 'pro', 'pov', 'enquant', 'tão', 'ind', 'trabalh', 'gent', 'faz', 'am', 'gost', 'nov', 'vam', 'acord', 'prédi', 'faz', 'invej', 'pro', 'pov', 'enquant', 'tão', 'ind', 'trabalh', 'gent', 'faz', 'am', 'gost', 'nov', 'nov', 'nov', 'deix', 'mund', 'sab', 'baby', 'problem', 'gent', 'resolv', 'né', 'porqu', 'desc', 'lua', 'desc', 'pra', 'ver', 'ganh', 'agor', 'lev', 'pra']",
SeuPolícia,ZéNetoeCristiano,"['políci', 'sep', 'recent', 'paix', 'tô', 'doent', 'senh', 'entend', 'vi', 'tão', 'reclam', 'volum', 'som', 'enquant', 'volt', 'vou', 'continu', 'afog', 'álcool', 'som', 'carr', 'tal', 'mand', 'mult', 'vou', 'pag', 'enquant', 'volt', 'sofr', 'mat', 'coraçã', 'pedaç', 'compreend', 'favor', 'am', 'deix', 'políci', 'sep', 'recent', 'paix', 'tô', 'doent', 'senh', 'entend', 'vi', 'tão', 'reclam', 'volum', 'som', 'enquant', 'volt', 'vou', 'continu', 'afog', 'álcool', 'som', 'carr', 'tal', 'mand', 'mult', 'vou', 'pag', 'enquant', 'volt', 'sofr', 'mat', 'coraçã', 'pedaç', 'compreend', 'favor', 'am', 'deix', 'afog', 'álcool', 'som', 'carr', 'tal', 'mand', 'mult', 'vou', 'pag', 'enquant', 'volt', 'sofr', 'mat', 'coraçã', 'pedaç', 'compreend', 'favor', 'am', 'deix']",
Escreveaí,LuanSantana,"['fal', 'tant', 'cois', 'enquant', 'tent', 'segur', 'lágr', 'insist', 'cair', 'entr', 'carr', 'abr', 'vidr', 'ant', 'ir', 'emb', 'dig', 'olh', 'aqu', 'aind', 'vou', 'esquec', 'escrev', 'aí', 'cheg', 'cas', 'dou', 'car', 'fot', 'duch', 'vinh', 'pra', 'acalm', 'pens', 'vou', 'part', 'pra', 'outr', 'log', 'tô', 'tent', 'engan', 'tô', 'tent', 'engan', 'faz', 'assim', 'volt', 'faz', 'assim', 'volt', 'volt', 'amo', 'fal', 'car', 'tir', 'mim', 'sobr', 'nad', 'sorris', 'desmont', 'int', 'simpl', 'estal', 'ded', 'talv', 'deix', 'ir', 'pra', 'ter', 'gost', 'ver', 'aqu', 'frac', 'demal', 'continu', 'junt', 'forç', 'pra', 'pod', 'fal', 'volt', 'sorr', 'volt', 'faz', 'assim', 'volt', 'volt', 'volt', 'cheg', 'cas', 'dou', 'car', 'fot', 'duch', 'vinh', 'pra', 'acalm', 'pens', 'vou', 'part', 'pra', 'outr', 'log', 'tô', 'tent', 'engan', 'tô', 'tent', 'engan', 'faz', 'assim', 'volt', 'faz', 'assim', 'volt', 'volt', 'amo', 'fal', 'car', 'tir', 'mim', 'sobr', 'nad', 'sorris', 'desmont', 'int', 'simpl', 'estal', 'ded', 'talv', 'deix', 'ir', 'pra', 'ter', 'gost', 'ver', 'aqu', 'frac', 'demal', 'continu', 'junt', 'forç', 'pra', 'pod', 'fal', 'volt', 'sorr', 'volt', 'faz', 'assim', 'volt', 'faz', 'assim', 'volt', 'volt', 'volt']",
ApelidoCarinhoso,GusttavoLima,"['am', 'segred', 'gent', 'términ', 'recent', 'arrum', 'revir', 'sent', 'pend', 'insist', 'bagunç', 'ment', 'vai', 'pass', 'dia', 'aind', 'pass', 'sei', 'pod', 'ter', 'escolh', 'alguém', 'menos', 'complic', 'pres', 'pesso', 'pass', 'aceit', 'situ', 'prov', 'am', 'precis', 'faç', 'favor', 'aind', 'cham', 'neg', 'aind', 'cham', 'bebê', 'porqu', 'assim', 'cham', 'apel', 'carinh', 'difícil', 'esquec']",
CemMil,GusttavoLima,"['fal', 'nom', 'telefon', 'favor', 'pergunt', 'mim', 'vê', 'esquec', 'som', 'ver', 'long', 'vir', 'car', 'finj', 'vi', 'vou', 'ment', 'tá', 'doend', 'lá', 'fund', 'consig', 'dorm', 'vam', 'faz', 'assim', 'melhor', 'procur', 'porqu', 'morr', 'med', 'perdo', 'tô', 'fal', 'mal', 'iê', 'nunc', 'soub', 'faz', 'iê', 'cem', 'mil', 'quis', 'apost', 'bat', 'ded', 'volt', 'val', 'real', 'ador']",
Pravocê,PaulaFernandes,"['quer', 'ser', 'pra', 'alegr', 'cheg', 'cl', 'traz', 'dia', 'ilumin', 'sac', 'quer', 'ser', 'pra', 'confianç', 'faz', 'faz', 'sonh', 'tod', 'dia', 'sab', 'pod', 'quer', 'ser', 'lad', 'encontr', 'inesper', 'arrepi', 'beij', 'bom', 'quer', 'ser', 'paz', 'melod', 'capaz', 'faz', 'danç', 'quer', 'ser', 'pra', 'lua', 'ilumin', 'sol', 'quer', 'acord', 'tod', 'dia', 'pra', 'faz', 'tod', 'am', 'quer', 'ser', 'pra', 'braç', 'abert', 'envolv', 'cad', 'nov', 'sorris', 'feliz', 'am', 'viv', 'pra', 'cant', 'pra', 'pra']",
CêTopa,LuanSantana,"['pens', 'gent', 'pouc', 'ous', 'ness', 'lanc', 'pens', 'transform', 'amizad', 'lind', 'romanc', 'prest', 'atenç', 'tud', 'gent', 'faz', 'feliz', 'muit', 'casal', 'desapeg', 'med', 'deix', 'acontec', 'propost', 'faz', 'escut', 'aqu', 'doi', 'filh', 'cachorr', 'edredom', 'film', 'bom', 'fri', 'agost', 'ai', 'cê', 'top', 'doi', 'filh', 'cachorr', 'edredom', 'film', 'bom', 'fri', 'agost', 'diz', 'aí', 'cê', 'top', 'prest', 'atenç', 'tud', 'gent', 'faz', 'feliz', 'muit', 'casal', 'desapeg', 'med', 'deix', 'acontec', 'propost', 'faz', 'doi', 'filh', 'cachorr', 'edredom', 'film', 'bom', 'fri', 'agost', 'ai', 'cê', 'top', 'doi', 'filh', 'cachorr', 'edredom', 'film', 'bom', 'fri', 'agost', 'diz', 'aí', 'cê', 'top']",
Assimvocêmataopapai,SorrisoMaroto,"['ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'min', 'tá', 'olh', 'ach', 'tá', 'dand', 'mol', 'tá', 'provoc', 'faz', 'temp', 'vai', 'prest', 'vai', 'maravilh', 'sorris', 'marot', 'tá', 'quer', 'vou', 'cham', 'pra', 'danç', 'vem', 'cá', 'mulh', 'vem', 'cá', 'danç', 'comig', 'agarr', 'vem', 'cá', 'vai', 'gost', 'ah', 'vai', 'assim', 'vem', 'pra', 'mim', 'delíc', 'tá', 'gost', 'demal', 'vai', 'prest', 'beij', 'boc', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'assim', 'mat', 'pap', 'ai', 'ai', 'ai', 'ai', 'boc', 'gost', 'quer', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'assim', 'mat', 'pap', 'ai', 'ai', 'ai', 'ai', 'tá', 'cheir', 'demal', 'min', 'tá', 'olh', 'ach', 'tá', 'dand', 'mol', 'tá', 'provoc', 'faz', 'temp', 'vai', 'prest', 'vai', 'maravilh', 'sorris', 'marot', 'tá', 'quer', 'vou', 'cham', 'pra', 'danç', 'vem', 'cá', 'mulh', 'vem', 'cá', 'danç', 'comig', 'agarr', 'vem', 'cá', 'vai', 'gost', 'ah', 'vai', 'assim', 'vem', 'pra', 'mim', 'delíc', 'tá', 'gost', 'demal', 'vai', 'prest', 'beij', 'boc', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'assim', 'mat', 'pap', 'ai', 'ai', 'ai', 'ai', 'boc', 'gost', 'quer', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'assim', 'mat', 'pap', 'ai', 'ai', 'ai', 'ai', 'tá', 'cheir', 'demal']",
