Music,Artist,Text,Language,Url,Search Status
BanhoDeLua,CellyCampello,"['prai', 'bronz', 'queim', 'escurec', 'mamã', 'bronqu', 'nad', 'sol', 'hoj', 'quer', 'luz', 'lu', 'tom', 'banh', 'lua', 'fic', 'branc', 'nev', 'lu', 'amig', 'censur', 'ninguém', 'atrev', 'tão', 'bom', 'sonh', 'contig', 'oh', 'lu', 'tão', 'cândid', 'sob', 'banh', 'lua', 'noit', 'esplen', 'sint', 'forç', 'mag', 'mag', 'am', 'tão', 'bom', 'sonh', 'contig', 'oh', 'lu', 'tão', 'cândid', 'tim', 'tim', 'tim', 'rai', 'lua', 'tim', 'tim', 'tim', 'baix', 'vem', 'mund', 'oh', 'lua', 'oh', 'cândid', 'lua', 'vem', 'tim', 'tim', 'tim', 'rai', 'lua', 'tim', 'tim', 'tim', 'baix', 'vem', 'mund', 'oh', 'lua', 'oh', 'cândid', 'lua', 'vem', 'sob', 'banh', 'lua', 'noit', 'esplen', 'sint', 'forç', 'mag', 'mag', 'am', 'tão', 'bom', 'sonh', 'contig', 'oh', 'lu', 'tão', 'cândid']",PT-BR,https://api.vagalume.com.br/search.php?art= Celly Campello &mus=Banho-De-Lua&apikey=dc668952146a4a25b6d06586e7b69708,aprox
AsCurvasdaEstradadeSantos,RobertoCarlos,"['pretend', 'sab', 'poss', 'diz', 'carr', 'estr', 'sant', 'vai', 'conhec', 'vai', 'pens', 'gost', 'mim', 'idad', 'veloc', 'and', 'junt', 'mim', 'and', 'so', 'caminh', 'temp', 'cad', 'vez', 'men', 'precis', 'ajud', 'favor', 'acud', 'viv', 'acas', 'curv', 'lembr', 'mund', 'pis', 'fund', 'corrij', 'segund', 'poss', 'par', 'prefir', 'curv', 'estr', 'sant', 'ond', 'tent', 'esquec', 'am', 'vi', 'espelh', 'dist', 'perd', 'am', 'perd', 'nov', 'encontr', 'oh', 'curv', 'acab', 'estr', 'sant', 'vou', 'pass', 'vou', 'pass', 'oh', 'prefir', 'curv', 'estr', 'sant', 'ond', 'tent', 'esquec', 'am', 'vi', 'espelh', 'dist', 'perd', 'am', 'perd', 'nov', 'encontr', 'oh', 'oh', 'curv', 'acab', 'estr', 'sant', 'vou', 'pass', 'estr', 'sant', 'curv', 'acab', 'vou', 'pass', 'oh', 'estr', 'sant', 'curv', 'acab']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=As-Curvas-da-Estrada-de-Santos&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Otrovadordetoledo,GildaLopes,"['noit', 'enluar', 'form', 'toled', 'alguém', 'escond', 'segred', 'am', 'proib', 'janel', 'apag', 'rest', 'nad', 'dentr', 'lembranç', 'noit', 'consig', 'guard', 'dia', 'trov', 'am', 'ent', 'vai', 'diz', 'fal', 'coraçã', 'chei', 'tern', 'esquec', 'proc', 'am', 'neg', 'cal', 'segred', 'infind', 'amarg', 'trov', 'toled', 'noit', 'escut', 'tod', 'gent', 'pergunt', 'segred', 'janel', 'apag', 'balc', 'desert', 'paix', 'sufoc', 'long', 'pert', 'coraçã', 'chei', 'amarg', 'guard', 'trov', 'esperanç', 'sab', 'car', 'ent', 'proc', 'outr', 'esper', 'inútil', 'inútil']",PT-BR,https://api.vagalume.com.br/search.php?art= Gilda Lopes &mus=O-trovador-de-toledo&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Tremdasonze,Demôniosdagaroa,"['qual', 'qual', 'qual', 'qual', 'qual', 'qual', 'quaiscalingudum', 'quaiscalingudum', 'quaiscalingudum', 'poss', 'fic', 'minut', 'sint', 'am', 'pod', 'ser', 'mor', 'jaçanã', 'perd', 'tr', 'sai', 'agor', 'onz', 'hor', 'amanhã', 'manhã', 'poss', 'fic', 'minut', 'sint', 'am', 'pod', 'ser', 'mor', 'jaçanã', 'perd', 'tr', 'sai', 'agor', 'onz', 'hor', 'amanhã', 'manhã', 'além', 'diss', 'mulh', 'outr', 'cois', 'mãe', 'dorm', 'enquant', 'cheg', 'filh', 'únic', 'cas', 'pra', 'olh', 'poss', 'fic', 'poss', 'fic', 'minut', 'sint', 'am', 'pod', 'ser', 'mor', 'jaçanã', 'perd', 'tr', 'sai', 'agor', 'onz', 'hor', 'amanhã', 'manhã', 'além', 'diss', 'mulh', 'outr', 'cois', 'mãe', 'dorm', 'enquant', 'cheg', 'filh', 'únic', 'cas', 'pra', 'olh', 'qual', 'qual', 'qual', 'qual', 'qual', 'qual', 'quaiscalingudum', 'quaiscalingudum', 'quaiscalingudum', 'qual', 'qual', 'qual', 'qual', 'qual', 'qual', 'quaiscalingudum', 'quaiscalingudum', 'quaiscalingudum']",PT-BR,https://api.vagalume.com.br/search.php?art= Demonios da garoa &mus=Trem-das-onze&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Queroquevátudoproinferno,RobertoCarlos,"['val', 'céu', 'azul', 'sol', 'sempr', 'brilh', 'vem', 'esper', 'pens', 'aus', 'tod', 'torment', 'quer', 'aqueç', 'nest', 'invern', 'tud', 'vá', 'pro', 'infern', 'val', 'boa', 'vid', 'play-boy', 'entr', 'carr', 'solid', 'dói', 'ond', 'qu', 'and', 'tud', 'tão', 'trist', 'interess', 'exist', 'quer', 'aqueç', 'nest', 'invern', 'tud', 'vá', 'pro', 'infern', 'suport', 'long', 'mim', 'quer', 'morr', 'viv', 'assim', 'quer', 'aqueç', 'nest', 'invern', 'tud', 'vá', 'pro', 'infern', 'instrument', 'suport', 'long', 'mim', 'quer', 'morr', 'viv', 'assim', 'quer', 'aqueç', 'nest', 'invern', 'tud', 'vá', 'pro', 'infern', 'tud', 'vá', 'pro', 'infern', 'uooooo', 'tud', 'vá', 'pro', 'infern', 'uooooo']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=Quero-que-va-tudo-pro-inferno&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Prelúdioparaninargentegrande,LuizVieira,"['braç', 'sint', 'mund', 'bocej', 'braç', 'sint', 'vid', 'descans', 'cal', 'car', 'menin', 'pass', 'vontad', 'vo', 'menin', 'pass', 'vontad', 'vo', 'repet', 'tud']",PT-BR,https://api.vagalume.com.br/search.php?art= Luiz Vieira &mus=Preludio-para-ninar-gente-grande&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Sonharcontigo,AdilsonRamos,"['sonh', 'contig', 'tod', 'vid', 'sonh', 'contig', 'am', 'quer', 'viv', 'pens', 'ti', 'soment', 'viv', 'am', 'ser', 'etern', 'mai', 'desej', 'tom', 'mão', 'cal', 'voz', 'long', 'beij', 'ter-t', 'sempr', 'bem', 'junt', 'mim', 'viv', 'am', 'ser', 'fim']",PT-BR,https://api.vagalume.com.br/search.php?art= Adilson Ramos &mus=Sonhar-contigo&apikey=dc668952146a4a25b6d06586e7b69708,aprox
OCalhambeque,RobertoCarlos,"['mand', 'cadillac', 'pro', 'mecân', 'outr', 'dia', 'poi', 'temp', 'consert', 'ped', 'vou', 'viv', 'carang', 'pra', 'corr', 'cadillac', 'bip', 'bip', 'quer', 'consert', 'cadillac', 'muit', 'paci', 'rapaz', 'oferec', 'carr', 'tod', 'velh', 'lá', 'aparec', 'enquant', 'cadillac', 'consert', 'us', 'calhambequ', 'bip', 'bip', 'quer', 'buzin', 'calhambequ', 'saí', 'oficin', 'pouq', 'desol', 'confess', 'pouc', 'envergonh', 'olh', 'lad', 'car', 'malv', 'calhambequ', 'bip', 'bip', 'buzin', 'assim', 'calhambequ', 'log', 'garot', 'fez', 'sinal', 'par', 'calhambequ', 'fez', 'quest', 'pass', 'sei', 'pens', 'acredit', 'calhambequ', 'bip', 'bip', 'brot', 'quil', 'and', 'calhambequ', 'muit', 'outr', 'brot', 'encontr', 'caminh', 'fal', 'estour', 'bel', 'carr', 'acostum', 'carang', 'gost', 'calhambequ', 'bip', 'bip', 'quer', 'conserv', 'calhambequ', 'cadillac', 'final', 'fic', 'pront', 'lav', 'consert', 'bem', 'pint', 'encant', 'coraçã', 'hor', 'exat', 'troc', 'calhambequ', 'bip', 'bip', 'coraçã', 'fic', 'calhambequ']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=O-Calhambeque&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Coraçãodepapel,SérgioReis,"['pens', 'coraçã', 'papel', 'vá', 'pens', 'poi', 'igual', 'sofr', 'porqu', 'faz', 'chor', 'assim', 'ama', 'pens', 'faz', 'chor', 'qu', 'pens', 'dia', 'sentir', 'am', 'bom', 'demal', 'jog', 'am', 'léu', 'coraçã', 'papel', 'porqu', 'faz', 'chor', 'porqu', 'faz', 'sofr', 'coraçã', 'qu', 'am', 'lind', 'sei', 'tod', 'dei', 'quil', 'jog', 'léu', 'coraçã', 'papel', '[', 'bi', ']', 'ah', 'ah', 'coraçã', 'papel']",PT-BR,https://api.vagalume.com.br/search.php?art= Sergio Reis &mus=Coracao-de-papel&apikey=dc668952146a4a25b6d06586e7b69708,aprox
ANoitedomeubem,DoloresDuran,"['hoj', 'quer', 'ros', 'lind', 'prim', 'estrel', 'vi', 'enfeit', 'noit', 'bem', 'hoj', 'quer', 'paz', 'crianç', 'dorm', 'abandon', 'fl', 'abr', 'enfeit', 'noit', 'bem', 'quer', 'alegr', 'barc', 'volt', 'quer', 'tern', 'mão', 'encontr', 'enfeit', 'noit', 'bem', 'ah', 'quer', 'am', 'am', 'profund', 'quer', 'tod', 'bel', 'mund', 'enfeit', 'noit', 'bem', 'ah', 'bem', 'demor', 'cheg', 'sei', 'olh', 'tod', 'pur', 'quer', 'dar']",PT-BR,https://api.vagalume.com.br/search.php?art= Dolores Duran &mus=A-Noite-do-meu-bem&apikey=dc668952146a4a25b6d06586e7b69708,aprox
