Music,Artist,Text,Language,Url,Search Status,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
CaetanoVeloso,Sozinho,"['vez', 'silênci', 'noit', 'fic', 'imagin', 'doi', 'fic', 'ali', 'sonh', 'acord', 'junt', 'ant', 'agor', 'deix', 'tão', 'solt', 'col', 'mim', 'sent', 'so', 'quer', 'ser', 'don', 'car', 'vez', 'cai', 'bem', 'segred', 'plan', 'secret', 'abr', 'pra', 'ninguém', 'esquec', 'som', 'interess', 'alguém', 'repent', 'ganh', 'gent', 'gost', 'clar', 'gent', 'cuid', 'fal', 'ama', 'boc', 'pra', 'engan', 'madur', 'ond', 'agor', 'gent', 'gost', 'clar', 'gent', 'cuid', 'fal', 'ama', 'boc', 'pra', 'engan', 'madur', 'ei', 'ei', 'ei', 'ond', 'agor']",PT-BR,https://api.vagalume.com.br/search.php?art= Sozinho &mus=Caetano-Veloso&apikey=dc668952146a4a25b6d06586e7b69708,GoogleSearch OK,,,,,,,,,,,,,,
GarotaNacional,Skank,"['aqu', 'ness', 'mund', 'fech', 'incr', 'vestid', 'pret', 'indefect', 'detest', 'jeit', 'pens', 'bem', 'fech', 'sonh', 'ninguém', 'uh', 'beat', 'it', 'laun', 'daun', 'daun', 'beat', 'it', 'loom', 'dap´n', 'daun', 'beat', 'it', 'laun', 'baun', 'baun', 'conhec', 'ti', 'conheç', 'bem', 'qualqu', 'vulg', 'bem', 'vez', 'esqueç', 'finj', 'finj', 'ignor', 'sei', 'domin', 'prim', 'olh', 'uh', 'beat', 'it', 'laun', 'daun', 'daun', 'beat', 'it', 'loom', 'dap´n', 'daun', 'beat', 'it', 'laun', 'baun', 'baun', 'quero-t', 'prov', 'med', 'am', 'oh', 'quero-t', 'prov', 'porqu', 'derram', 'banquet', 'palacet', 'anj', 'vest', 'lib', 'cacet', 'tão', 'tão', 'vist', 'talv', 'ment', 'der', 'car', 'fôss', 'sucup', 'conhec', 'ti', 'conheç', 'bem', 'qualqu', 'vulg', 'bem', 'vez', 'esqueç', 'finj', 'finj', 'ignor', 'sei', 'domin', 'prim', 'olh', 'uh', 'beat', 'it', 'laun', 'daun', 'daun', 'beat', 'it', 'loom', 'dap´n', 'daun', 'beat', 'it', 'laun', 'baun', 'baun', 'quer', 'prov', 'med', 'am', 'quer', 'prov', 'quer', 'prov', 'coz', 'vap', 'quer', 'prov']",PT-BR,https://api.vagalume.com.br/search.php?art= Skank &mus=Garota-Nacional&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
Evidências,ChitãozinhoeXororó,"['dig', 'deix', 'am', 'porqu', 'amo', 'dig', 'quer', 'porqu', 'quer', 'med', 'dar', 'coraçã', 'confess', 'mão', 'poss', 'imagin', 'vai', 'ser', 'mim', 'perd', 'dia', 'afast', 'def', 'entreg', 'faç', 'tip', 'fal', 'cois', 'neg', 'verdad', 'louc', 'med', 'pens', 'perd', 'precis', 'aceit', 'dá', 'pra', 'separ', 'vid', 'ness', 'louc', 'diz', 'quer', 'vou', 'neg', 'apar', 'disfarç', 'evid', 'pra', 'viv', 'fing', 'poss', 'engan', 'coraçã', 'sei', 'amo', 'cheg', 'ment', 'neg', 'desej', 'quer', 'tud', 'precis', 'beij', 'entreg', 'vid', 'pra', 'faz', 'quis', 'mim', 'quer', 'ouv', 'diz', 'sim', 'diz', 'verdad', 'saudad', 'aind', 'pens', 'mim', 'diz', 'verdad', 'saudad', 'aind', 'qu', 'viv', 'pra', 'mim']",PT-BR,https://api.vagalume.com.br/search.php?art= Chitaozinho e Xororo &mus=Evidencias&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
Quesechamaamor,Sópracontrariar,"['cois', 'assim', 'machuc', 'tant', 'tom', 'cont', 'tod', 'ser', 'saudad', 'imens', 'part', 'coraçã', 'dor', 'fund', 'pesso', 'pod', 'ter', 'viru', 'peg', 'mil', 'fantas', 'simpl', 'toqu', 'olh', 'sint', 'tão', 'carent', 'consequ', 'dest', 'dor', 'nao', 'dia', 'hor', 'pra', 'acab', 'ai', 'afog', 'cop', 'cervej', 'nel', 'soluç', 'enta', 'cheg', 'cas', 'tod', 'dia', 'embriag', 'vou', 'enfrent', 'quart', 'dorm', 'solid', '[', 'refra', ']', 'deu', 'nao', 'poss', 'enfrent', 'dor', 'cham', 'am', 'tom', 'cont', 'ser', 'dia-a-d', 'pouc', 'pouc', 'fic', 'louc', 'caus']",PT-BR,https://api.vagalume.com.br/search.php?art= So pra contrariar &mus=Que-se-chama-amor&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
MinadeFé,OsMorenos,"['feliz', 'sab', 'revolt', 'tud', 'fiz', 'quer', 'volt', 'dei', 'val', 'dediq', 'grand', 'am', 'vacil', 'tô', 'doent', 'saudad', 'tant', 'curt', 'tant', 'liberdad', 'quant', 'azar', 'quant', 'fals', 'tô', 'doent', 'saudad', 'aprend', 'val', 'nad', 'noit', 'farr', 'madrug', 'promet', 'mago', 'pod', 'confi', 'precis', 'perd', 'pra', 'aprend', 'valor', 'min', 'fé', 'min', 'fé', 'precis', 'entend', 'dev', 'larg', 'jamal', 'min', 'fé', 'min', 'fé']",PT-BR,https://api.vagalume.com.br/search.php?art= Os Morenos &mus=Mina-de-Fe&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
Cadavoltaéumrecomeço,ZezéDiCamargoeLuciano,"['vez', 'coraçã', 'esquec', 'tud', 'fez', 'volt', 'pra', 'am', 'insan', 'pens', 'mim', 'pra', 'recomeç', 'sab', 'fim', 'paix', 'cois', 'paix', 'explic', 'simples', 'entreg', 'deix', 'acontec', 'sempr', 'acab', 'envolv', 'ness', 'desencontr', 'insist', 'encontr', 'part', 'pens', 'volt', 'fund', 'pud', 'exist', 'ter', 'tod', 'vez', 'volt', 'vej', 'sempr', 'igual', 'saudad', 'cois', 'banal', 'cheg', 'sempr', 'louc', 'pra', 'diz', 'amo', 'lev', 'vid', 'coraçã', 'vers', 'pra', 'cançã', 'volt', 'pra', 'volt', 'am', 'import', 'sonh', 'avess', 'cad', 'volt', 'recomeç']",PT-BR,https://api.vagalume.com.br/search.php?art= Zeze Di Camargo e Luciano &mus=Cada-volta-e-um-recomeco&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
ViraVira,MamonasAssassinas,"['rai', 'convid', 'pra', 'tal', 'surub', 'pud', 'ir', 'mar', 'lug', 'seman', 'volt', 'pra', 'cas', 'tod', 'arregaç', 'pod', 'sent', 'vi', 'fiq', 'assust', 'mar', 'chor', 'começ', 'explic', 'daí', 'ent', 'fiq', 'alivi', 'dei', 'graç', 'deu', 'porqu', 'lug', 'refr', 'roda-rod', 'vir', 'solt', 'rod', 'vem', 'pass', 'mão', 'bund', 'aind', 'com', 'ninguém', 'roda-rod', 'vir', 'solt', 'rod', 'vem', 'nest', 'rai', 'surub', 'pass', 'mão', 'bund', 'aind', 'com', 'ninguém', 'oh', 'manoel', 'olh', 'cá', 'imagin', 'sofr', 'tet', 'neg', 'arranc', 'outr', 'sobr', 'doend', 'ôô', 'mar', 'vê', 'larg', 'fresc', 'lev', 'hospit', 'manhã', 'fic', 'tão', 'bonit', 'monotet', 'val', 'mão', 'doi', 'sutiã', 'roda-rod', 'vir', 'solt', 'rod', 'vem', 'pass', 'mão', 'bund', 'aind', 'com', 'ninguém', 'roda-rod', 'vir', 'solt', 'rod', 'vem', 'nest', 'rai', 'surub', 'pass', 'mão', 'bund', 'aind', 'com', 'ninguém', 'bat', 'pé', 'arrot', 'bat', 'pé', 'ôô', 'mar', 'surub', 'excit', 'arrebit', 'arrebit', 'arrebit', 'ent', 'vai', 'faz', 'am', 'cabrit', 'arrebit', 'arrebit', 'arrebit', 'mar', 'bom', 'exercit', 'bat', 'pé', 'arrebit', 'arrebit', 'manoel', 'cabeç', 'titic', 'larg', 'put', 'vai', 'cuid', 'pad', 'roda-rod', 'vir', 'solt', 'rod', 'vem', 'pass', 'mão', 'bund', 'aind', 'com', 'ninguém', 'roda-rod', 'vir', 'solt', 'rod', 'vem', 'nest', 'rai', 'surub', 'pass', 'mão', 'bund', 'aind', 'com', 'ninguém', 'vam', 'lá', 'danç', 'rai', 'tod', 'mund', 'comig', 'ueu', 'ueu', 'ueu', 'mar', 'deu', 'mal', 'vam', 'lá', 'ai', 'dói']",PT-BR,https://api.vagalume.com.br/search.php?art= Mamonas Assassinas &mus=Vira-Vira&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
Palpite,VanessaRangel,"['tô', 'saudad', 'debaix', 'cober', 'arranc', 'suspir', 'faz', 'am', 'tô', 'saudad', 'varand', 'noit', 'quent', 'arrepi', 'fri', 'dá', 'gent', 'truqu', 'desej', 'guard', 'boc', 'gost', 'beij', 'sint', 'falt', 'sint', 'aí', 'volt', 'tud', 'volt', 'trist', 'aí', 'am', 'pod', 'acontec', 'nov', 'pra', 'palpit', 'tô', 'saudad', 'banh', 'chuv', 'cal', 'pel', 'língu', 'tô', 'saudad', 'censur', 'vest', 'jur', 'am', 'pé', 'ouv', 'truqu', 'desej', 'guard', 'boc', 'gost', 'beij', 'sint', 'falt', 'sint', 'aí', 'volt', 'tud', 'volt', 'trist', 'aí', 'am', 'pod', 'acontec', 'nov', 'pra', 'palpit']",PT-BR,https://api.vagalume.com.br/search.php?art= Vanessa Rangel &mus=Palpite&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
PraFalarAVerdade,Daniel,"['amig', 'fal', 'poe', 'vai', 'baix', 'qualqu', 'car', 'nov', 'põe', 'cois', 'lug', 'falt', 'tend', 'desaparec', 'dist', 'faz', 'gent', 'esquec', 'amarg', 'solid', 'cort', 'coraçã', 'repent', 'vão', 'emb', 'feit', 'chuv', 'ver', 'prant', 'vai', 'sec', 'vou', 'acostum', 'tempestad', 'log', 'vai', 'pass', 'pra', 'fal', 'verdad', 'real', 'pra', 'am', 'desencant', 'bi', 'cas', 'saiu', 'tud', 'err', 'temp', 'apag', 'dess', 'vez', 'apag']",PT-BR,https://api.vagalume.com.br/search.php?art= Daniel &mus=Pra-Falar-A-Verdade&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
PeladosemSantos,MamonasAssassinas,"['min', 'cabel', 'hor', 'corp', 'viol', 'doc', 'coc', 'tá', 'deix', 'louc', 'brasíl', 'amarel', 'tá', 'port', 'abert', 'pra', 'mod', 'gent', 'am', 'pel', 'sant', 'poi', 'pitxul', 'deix', 'legal', 'sint', 'so', 'chuchu', 'music', 'is', 'very', 'good', 'oxent', 'ai', 'ai', 'ai', 'comig', 'qu', 'cas', 'brasíl', 'amarel', 'rod', 'gaúch', 'qu', 'entr', 'feij', 'jab', 'desgraç', 'qu', 'compartilh', 'lind', 'lind', 'very', 'very', 'beautiful', 'deix', 'doid', 'doc', 'coc', 'music', 'is', 'very', 'porret', 'oxent', 'paragu', 'pro', 'paragu', 'quil', 'viaj', 'compr', 'reebok', 'calç', 'fiorucc', 'qu', 'us', 'sei', 'faç', 'pra', 'mulh', 'conquist', 'lind', 'lind', 'very', 'very', 'beautiful', 'deix', 'doid', 'chuchu', 'i', 'lov', 'youuuuu', 'per', 'pouq', 'u', 'uuuuuuuuuuuu']",PT-BR,https://api.vagalume.com.br/search.php?art= Mamonas Assassinas &mus=Pelados-em-Santos&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
